|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
2021,55,City of Aberdeen - (MS),,MS,TVA,0,19,1,0,20,,Y,Y,,,,,,,,,,,,,,,,,
2021,84,A & N Electric Coop,,VA,PJM,2,5,.,.,7,Y,Y,,,,,,,,,,,,,,,,,,
2021,97,Adams Electric Coop,Y,IL,MISO,54,8,.,.,62,,,,,,,,,,,,,,,,,,,,
2021,108,Adams-Columbia Electric Coop,,WI,MISO,826,"1,071",24,.,"1,921",Y,Y,Y,,,,,,,,,,,Y,Y,,,,Y,
2021,162,Aiken Electric Coop Inc,,SC,SC,2,66,.,.,68,Y,Y,,,,,,,,,,,,,,,,,,
2021,195,Alabama Power Co,,AL,SOCO,"2,761","4,455","1,103",.,"8,319",Y,Y,Y,,,,Y,,,,,,Y,,,,,,,
2021,213,Alaska Electric Light & Power Co.,,AK,NA,43,4,.,.,47,Y,Y,,,,,,,,,,,,,,,,,,
2021,240,Albemarle Electric Member Corp,,NC,PJM,20,11,.,.,31,Y,Y,,,,,,,,,,,,,,,,,,
2021,241,Albertville Municipal Utilities Board,,AL,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2021,276,Alcorn County Elec Power Assn,,MS,TVA,0,1,4,0,5,,Y,Y,,,,,,,,,,,,,,,,,
