,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
53,2017,50046.0,"Texas Retail Energy, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,29301.1,632063,211,0,0,0,0,0,0,29301.1,632063,211
54,2017,54820.0,Direct Energy Services,B,Energy,O,IL,Retail Power Marketer,MISO,72836.1,735986,88039,40015.3,547281,22015,0,0,0,0,0,0,112851.4,1283267,110054
55,2017,54862.0,Champion Energy Services,B,Energy,O,IL,Retail Power Marketer,MISO,1907,24975,2473,56195,1096642,1258,0,0,0,0,0,0,58102,1121617,3731
56,2017,55722.0,AEP Energy,B,Energy,O,IL,Retail Power Marketer,PJM,4252,64614,6278,144017,2002413,7343,0,0,0,0,0,0,148269,2067027,13621
57,2017,55781.0,Liberty Power Corp.,B,Energy,O,IL,Retail Power Marketer,MISO,37713,347756,59556,22661,371022,2409,0,0,0,0,0,0,60374,718778,61965
58,2017,55815.0,"IDT Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,25108.4,227904,40307,1331.8,13739,605,0,0,0,0,0,0,26440.2,241643,40912
59,2017,55874.0,"Energy Services Providers, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,18929.7,215877,22885,7688.3,114069,1674,0,0,0,0,0,0,26618,329946,24559
60,2017,55878.0,Hudson Energy Services,B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,89984.1,1567300,2224,0,0,0,0,0,0,89984.1,1567300,2224
61,2017,56212.0,"Ambit Energy Holdings, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,38813.9,505581,55907,11713.6,207057,6829,0,0,0,0,0,0,50527.5,712638,62736
62,2017,56265.0,Energy Plus Holdings LLC,B,Energy,O,IL,Retail Power Marketer,PJM,23152,176163,21230,2741.8,20864,924,0,0,0,0,0,0,25893.8,197027,22154
