,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2017,IL,97.0,Adams Electric Coop,MISO,AC,0.033,.,.,.,0.033,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.013,.,.,.,0.013,3,.,.,.,3,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.046,0,0,0,0.046,8,0,0,0,8,0,0,0,0,0
1,2017,IL,3931.0,Coles-Moultrie Electric Coop,MISO,DC,0.065,0.321,.,.,0.386,8,2,.,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.01,.,.,.,0.01,1,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.075,0.321,0,0,0.396,9,2,0,0,11,0,0,0,0,0
2,2017,IL,4110.0,Commonwealth Edison Co,PJM,AC,5.794,9.797,.,.,15.591,952,157,.,.,1109,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.287,2.553,.,.,2.84,39,12,.,.,51,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,6.081,12.35,0,0,18.431,991,169,0,0,1160,0,0,0,0,0
3,2017,IL,4362.0,Corn Belt Energy Corporation,MISO,AC,0.267,.,.,.,0.267,35,.,.,.,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.041,.,.,.,0.041,4,.,.,.,4,.,.,.,.,0,.,.,2.6,.,2.6,.,.,1,.,1,.,.,.,.,0,0.308,0,2.6,0,2.908,39,0,1,0,40,0,0,0,0,0
4,2017,IL,5585.0,Eastern Illinois Elec Coop,MISO,AC,0.219,0.003,.,.,0.222,27,1,.,.,28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98.304,0,.,.,98.304,0.01,.,.,.,0.01,1,.,.,.,1,0.08,.,.,.,0.08,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.229,0.003,0,0,0.232,28,1,0,0,29,98.384,0,0,0,98.384
5,2017,IL,7096.0,City of Geneva- (IL),PJM,AC,0.034,0.022,.,.,0.056,6,1,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.034,0.022,0,0,0.056,6,1,0,0,7,0,0,0,0,0
6,2017,IL,8824.0,M J M Electric Cooperative Inc,MISO,AC,0.448,0.25,.,.,0.698,53,1,.,.,54,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.003,.,.,.,0.003,2,.,.,.,2,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.451,0.25,0,0,0.701,55,1,0,0,56,0,0,0,0,0
7,2017,IL,9750.0,"Jo-Carroll Energy, Inc",MISO,AC,0.457,0.071,.,.,0.528,72,5,.,.,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,351,36,.,.,387,0.016,.,.,.,0.016,7,.,.,.,7,1.2,.,.,.,1.2,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.473,0.071,0,0,0.544,79,5,0,0,84,352.2,36,0,0,388.2
8,2017,IL,12341.0,MidAmerican Energy Co,MISO,AC,0.078,0.675,.,.,0.753,15,8,.,.,23,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.317,.,.,.,5.317,0.002,0.62,.,.,0.622,1,2,.,.,3,.,.,.,.,0,.,1.2,.,.,1.2,.,1,.,.,1,.,.,.,.,0,0.08,2.495,0,0,2.575,16,11,0,0,27,5.317,0,0,0,5.317
9,2017,IL,12395.0,Menard Electric Coop,MISO,DC,0.109,.,.,.,0.109,19,.,.,.,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,59.326,.,.,.,59.326,0.023,.,.,.,0.023,3,.,.,.,3,6.689,.,.,.,6.689,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.132,0,0,0,0.132,22,0,0,0,22,66.015,0,0,0,66.015
10,2017,IL,12803.0,"Monroe County Elec Coop, Inc",MISO,AC,0.286,.,.,.,0.286,26,.,.,.,26,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,34.9,.,.,.,34.9,0.001,.,.,.,0.001,1,.,.,.,1,0,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.287,0,0,0,0.287,27,0,0,0,27,34.9,0,0,0,34.9
11,2017,IL,13032.0,Mt Carmel Public Utility Co,MISO,AC,0.015,0.01,.,.,0.025,3,1,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.147,2.28,.,.,10.427,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.015,0.01,0,0,0.025,3,1,0,0,4,8.147,2.28,0,0,10.427
12,2017,IL,13208.0,City of Naperville - (IL),PJM,AC,0.132,0.629,.,.,0.761,23,10,.,.,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,0.001,.,.,0.001,.,1,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.132,0.63,0,0,0.762,23,11,0,0,34,0,0,0,0,0
13,2017,IL,13292.0,Norris Electric Coop,MISO,DC,0.637,0.36,.,.,0.997,39,4,.,.,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.02,.,.,.,0.02,2,.,.,.,2,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.657,0.36,0,0,1.017,41,4,0,0,45,0,0,0,0,0
14,2017,IL,16179.0,Rochelle Municipal Utilities,PJM,AC,0.04,0.01,.,.,0.05,4,1,.,.,5,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.04,0.01,0,0,0.05,4,1,0,0,5,0,0,0,0,0
15,2017,IL,16420.0,Rural Electric Conven Coop,MISO,AC,0.227,0.071,.,.,0.298,21,4,.,.,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.012,0.02,.,.,0.032,2,1,.,.,3,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.239,0.091,0,0,0.33,23,5,0,0,28,0,0,0,0,0
16,2017,IL,16740.0,Scenic Rivers Energy Coop,MISO,AC,0.019,.,0,.,0.019,1,.,0,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.008,.,0,.,0.008,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.019,0,0,0,0.019,1,0,0,0,1,0.008,0,0,0,0.008
17,2017,IL,17040.0,"Shelby Electric Coop, Inc",MISO,DC,0.246,.,.,.,0.246,17,.,.,.,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.013,.,.,.,0.013,2,.,.,.,2,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.259,0,0,0,0.259,19,0,0,0,19,0,0,0,0,0
18,2017,IL,17585.0,"Southeastern IL Elec Coop, Inc",MISO,AC,0.18,0.039,.,.,0.219,21,1,.,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.18,0.039,0,0,0.219,21,1,0,0,22,1,0,0,0,1
19,2017,IL,17631.0,Southern Illinois Elec Coop,MISO,DC,0.085,.,.,.,0.085,11,.,.,.,11,0.003,.,.,.,0.003,1,.,.,.,1,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,0.085,0,0,0,0.085,11,0,0,0,11,0,0,0,0,0
20,2017,IL,17828.0,City of Springfield - (IL),MISO,AC,0.374,1.389,.,.,1.763,50,47,.,.,97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,0.01,.,.,0.01,.,1,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.374,1.399,0,0,1.773,50,48,0,0,98,0,0,0,0,0
