,Unnamed: 0,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
0,2022,1,01/02/2022 1:21 PM,01/02/2022 5:38 PM,,"4 Hours, 17 Minutes",Pacific Gas & Electric Co,WECC,California: Tuolumne County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe nan,Weather,3,1706
1,2022,1,01/03/2022 1:00 AM,01/03/2022 2:00 PM,,"13 Hours, 0 Minutes",Southern Company,SERC,Georgia: Alabama: Mississippi:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,283,40885
2,2022,1,01/03/2022 5:00 AM,01/04/2022 6:00 PM,,"37 Hours, 0 Minutes",Dominion Energy South Carolina,SERC,South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,60424
3,2022,1,01/03/2022 5:30 AM,01/04/2022 12:30 PM,,"31 Hours, 0 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,142000
4,2022,1,01/05/2022 12:32 PM,01/05/2022 12:45 PM,,"0 Hours, 13 Minutes",Eversource Energy Company (NSTAR),NPCC,Massachusetts: Plymouth County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,0,0
5,2022,1,01/08/2022 2:56 AM,01/08/2022 3:03 AM,,"0 Hours, 7 Minutes",American Electric Power - Texas,TRE,"Texas: Cameron County, Willacy County;","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,0,0
6,2022,1,01/09/2022 6:08 PM,.,.,". Hours, . Minutes",Entergy - Transmission Operations Engineering,SERC,Mississippi: Adams County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,Unknown,Unknown
7,,,,,,,,TRE/WEC,Texas: Potter County; New,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission",,,
8,2022,1,01/14/2022 8:34 AM,01/14/2022 8:42 AM,,"0 Hours, 8 Minutes",Southwestern Public Service,C,Mexico:,,Interruption,0,0
9,2022,1,01/16/2022 5:15 AM,01/17/2022 12:06 AM,"18 Hours, 51 Minutes",,Southern Company,SERC,Georgia: Alabama:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,436,61113
10,2022,1,01/16/2022 12:05 PM,01/17/2022 8:45 AM,"20 Hours, 40 Minutes",,Duke Energy Carolinas,SERC,North Carolina: Jackson County; South Carolina: Greenville County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,51289
11,2022,1,01/16/2022 1:15 PM,01/16/2022 5:15 PM,,"4 Hours, 0 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,74638
12,2022,1,01/24/2022 10:27 AM,01/24/2022 10:51 AM,,"0 Hours, 24 Minutes",Public Utility District #1 of Chelan County (CHPD),WECC,Washington: Chelan County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,0,0
13,2022,1,01/28/2022 3:41 PM,01/28/2022 9:30 PM,,"5 Hours, 49 Minutes",Public Service Company of Colorado,WECC,"Colorado: Douglas County, Pueblo County, El Paso County, Prowers County;","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0
14,2022,1,01/29/2022 8:45 AM,01/30/2022 1:00 AM,"16 Hours, 15 Minutes",,ISO New England,NPCC,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,120,12000
15,2022,2,02/01/2022 12:13 PM,02/01/2022 12:25 PM,,"0 Hours, 12 Minutes",Pacific Gas & Electric Co,WECC,California: Yuba County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-System nan,Operations,10,8124
16,2022,2,02/03/2022 10:00 AM,02/07/2022 8:00 PM,"106 Hours, 0 Minutes",,Memphis Light Gas and Water Division,SERC,Tennessee: Shelby County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather/Transmission nan",Interruption,Unknown,255000
17,2022,2,02/03/2022 12:56 PM,.,.,". Hours, . Minutes",American Electric Power,RF,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather/Transmission nan",Interruption,Unknown,51000
18,2022,2,02/03/2022 12:56 PM,02/04/2022 8:30 PM,"31 Hours, 34 Minutes",,"(8400 Smiths Mill Road, New Albany Ohio 43054)",RF,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather/Transmission nan",Interruption,Unknown,51000
19,2022,2,02/04/2022 1:10 PM,.,.,". Hours, . Minutes",Central Hudson Gas & Elec Corp,NPCC,New York: Ulster County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather/Transmission nan",Interruption,Unknown,67404
20,Restoration Date and,,,,,,,NERC,,,,Customers,
21,Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
22,2022,2,02/04/2022 6:21 PM,02/04/2022 10:00 PM,,"3 Hours, 39 Minutes",ERCOT,TRE,Texas:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission nan,Interruption,Unknown,Unknown
23,2022,2,02/18/2022 7:10 AM,02/18/2022 4:25 PM,,"9 Hours, 15 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Vermont: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,7,7047
24,2022,2,02/24/2022 10:25 AM,02/24/2022 10:31 AM,,"0 Hours, 6 Minutes",Entergy - Transmission Operations Engineering,TRE,Texas: Montgomery County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,3,1405
25,2022,3,03/01/2022 1:43 PM,03/01/2022 1:47 PM,,"0 Hours, 4 Minutes",Duke Energy Midwest,RF,"Indiana: Marion County, Shelby County, Hendricks County;","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,0,0
26,2022,3,03/05/2022 10:58 PM,03/06/2022 7:38 PM,"20 Hours, 40 Minutes",,Company (ComEd) NCR08013,SERC/RF,Illinois: DuPage County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,0,0
27,2022,3,03/08/2022 1:50 PM,03/08/2022 2:39 PM,,"0 Hours, 49 Minutes",Southern Company,TRE,Georgia: Terrell County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,48,5855
28,2022,3,03/10/2022 8:51 AM,03/10/2022 3:15 PM,,"6 Hours, 24 Minutes",Western Area Power Administration,MRO,Nebraska: Scotts Bluff County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0
29,2022,3,03/12/2022 8:33 AM,.,.,". Hours, . Minutes",Southern Company,SERC,Alabama: Georgia: Mississippi: Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",139,,19380
30,2022,3,03/18/2022 4:32 PM,.,.,". Hours, . Minutes",Florida Power & Light,SERC,Florida: Palm Beach County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,78,20423
31,2022,3,03/21/2022 7:00 PM,03/24/2022 12:00 AM,,"53 Hours, 0 Minutes",Oncor Electric Delivery Company LLC,TRE,"Texas: Anderson County, Bell County, Bosque County, Comanche County, Coryell County, Falls County, Freestone County, Hamilton County, Henderson County, Hill County, Lampasas County, Leon County, Limestone County, McLennan County, Milam County, Mills County, Robertson County, Collin County, Cooke County, Dallas County, Denton County, Ellis County, Erath County, Fannin County, Grayson County, Hood C","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,170000
32,2022,3,03/22/2022 12:06 AM,03/22/2022 4:29 AM,,"4 Hours, 23 Minutes",Plains Region - (NCR01036),MRO,South Dakota:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0
33,2022,3,03/30/2022 3:45 PM,.,.,". Hours, . Minutes",Entergy Corp,SERC,Louisiana: Mississippi: Arkansas:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,66448
34,2022,3,03/31/2022 12:04 AM,03/31/2022 9:20 AM,,"9 Hours, 16 Minutes",Southern Company,SERC,Georgia: Alabama: Mississippi: Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",157,,22000
35,2022,3,03/31/2022 8:59 AM,04/01/2022 7:30 PM,"34 Hours, 31 Minutes",,Detroit Edison Co,RF,"Michigan: Huron County, Tuscola County, St. Clair County, Washtenaw County, Macomb County, Wayne County, Monroe County, Oakland County, Livingston County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,60,70000
36,2022,4,04/05/2022 4:40 AM,04/05/2022 5:21 PM,"12 Hours, 41 Minutes",,Evergy,SERC/RF,Missouri: Jackson County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,73,16299
37,Restoration Date and,,,,,,,NERC,,,,Customers,
38,Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
39,2022,4,04/10/2022 3:41 PM,04/10/2022 3:50 PM,,"0 Hours, 9 Minutes",Entergy - Transmission Operations Engineering,SERC,Arkansas: Pulaski County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-System nan,Operations,5,Unknown
40,2022,4,04/10/2022 3:41 PM,04/10/2022 3:50 PM,,"0 Hours, 9 Minutes",Entergy Arkansas Inc,SERC,Arkansas: Pulaski County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-System nan,Operations,5,Unknown
41,2022,4,04/11/2022 9:15 AM,04/13/2022 8:00 AM,"46 Hours, 45 Minutes",,Portland General Electric Co,WECC,"Oregon: Multnomah County, Clackamas County, Marion County, Yamhill County, Washington County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,3140,73717
42,2022,4,04/13/2022 10:04 PM,04/14/2022 12:02 AM,,"1 Hours, 58 Minutes",Entergy - Transmission Operations Engineering,SERC,Louisiana: Iberia Parish;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,7,2429
43,2022,4,04/14/2022 5:59 AM,04/14/2022 6:13 AM,,"0 Hours, 14 Minutes",Los Angeles Department of Water & Power,WECC,California: Los Angeles County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,164,262268
44,2022,4,04/16/2022 11:08 AM,.,.,". Hours, . Minutes",MidAmerican Energy Co,O,Iowa: Polk County; Illinois:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,0,0
45,2022,4,04/16/2022 5:44 PM,.,.,". Hours, . Minutes",Pacific Gas & Electric Co,WECC,California:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-System nan,Operations,9290,Unknown
46,2022,4,04/19/2022 4:07 AM,.,.,". Hours, . Minutes",New York State Electric & Gas,NPCC,"New York: Broome County, Chemung County, Chenango County, Clinton County, Columbia County, Cortland County, Delaware County, Dutchess County, Erie County, Essex County, Greene County, Hamilton County, Herkimer County, Madison County, Oneida County, Otsego County, Putnam County, Saratoga County, Schoharie County, Schuyler County, Steuben County, Sullivan County, Tioga County, Tompkins County, Ulste","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,84033
47,2022,4,04/19/2022 6:00 AM,.,.,". Hours, . Minutes",National Grid,NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,97000
48,2022,4,04/19/2022 8:41 AM,04/19/2022 12:10 PM,,"3 Hours, 29 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,67754
49,2022,4,04/22/2022 11:00 PM,04/24/2022 4:00 PM,,"41 Hours, 0 Minutes","Southwest Power Pool, Inc.",MRO,North Dakota:,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident- Severe Weather,,1000,Unknown
50,,,,,,,Western Area Power Administration - Upper Great,WECC/MR,"North Dakota: Mountrail County, Williams County, Ward County, Burke County, Bottineau County, McLean County, Walsh County, Bowman County, Stark County, Dunn County, Mercer County; Montana: Wibaux","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic",,,
51,2022,4,04/22/2022 11:16 PM,04/24/2022 4:00 PM,"40 Hours, 44 Minutes",,Plains Region - (NCR01036),O,"County, Richland County;",reclosing).-Severe Weather,Unknown,,Unknown
52,2022,4,04/23/2022 3:38 PM,04/24/2022 4:00 AM,"12 Hours, 22 Minutes",,Mountrail-Williams Elec Coop,MRO,"North Dakota: Mountrail County, Williams County;",Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident- Severe Weather,,480,18430
53,,,,,,,,SERC/MR,"Iowa: Polk County, Warren","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic",,,
54,2022,4,04/23/2022 7:42 PM,04/24/2022 4:17 PM,"20 Hours, 35 Minutes",,MidAmerican Energy Co,O,County; Illinois:,reclosing).-Severe Weather,,43,22400
55,2022,4,04/28/2022 7:56 AM,04/28/2022 8:48 AM,,"0 Hours, 52 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-System Operations",,74,Unknown
56,Restoration Date and,,,,,,,NERC,,,,Customers,
57,Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
58,2022,5,05/05/2022 1:06 PM,05/05/2022 2:06 PM,,"1 Hours, 0 Minutes",Entergy - Transmission Operations Engineering,SERC,Arkansas:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,Unknown,0
59,2022,5,05/11/2022 6:00 PM,05/11/2022 10:42 PM,,"4 Hours, 42 Minutes",Northern States Power Co,MRO,Minnesota:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,105000
60,2022,5,05/12/2022 10:44 AM,05/12/2022 1:34 PM,,"2 Hours, 50 Minutes",Empire District Electric Co,SERC,"Missouri: Barry County, Dade County, Lawrence County;","Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,800,0
61,,,,,,,Western Area Power Administration - Upper Great,,South Dakota: Davison,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission",,,
62,2022,5,05/12/2022 4:50 PM,05/13/2022 2:48 AM,,"9 Hours, 58 Minutes",Plains Region - (NCR01036),MRO,County;,,Interruption,Unknown,Unknown
