,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,Weather/Transmission,,,
2022,2,02/03/2022 10:00 AM,02/07/2022 8:00 PM,"106 Hours, 0 Minutes",,Memphis Light Gas and Water Division,SERC,Tennessee: Shelby County;,,Interruption,Unknown,255000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2022,2,02/03/2022 12:56 PM,.,.,". Hours, . Minutes",American Electric Power,RF,Ohio:,,Interruption,Unknown,51000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more-Severe,,,
,,,,,,American Electric Power - (RFC Reliability Region),,,Weather/Transmission,,,
2022,2,02/03/2022 12:56 PM,02/04/2022 8:30 PM,"31 Hours, 34 Minutes",,"(8400 Smiths Mill Road, New Albany Ohio 43054)",RF,Ohio:,,Interruption,Unknown,51000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,hour or more-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2022,2,02/04/2022 1:10 PM,.,.,". Hours, . Minutes",Central Hudson Gas & Elec Corp,NPCC,New York: Ulster County;,,Interruption,Unknown,67404
,,,,,,,,,,,2/27/2023 12:01:01 PM,
"Table B.1 Major Disturbances and Unusual Occurrences, Year-to-Date 2022",,,,,,,,,,,,
,,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system-Transmission,,,
2022,2,02/04/2022 6:21 PM,02/04/2022 10:00 PM,,"3 Hours, 39 Minutes",ERCOT,TRE,Texas:,,Interruption,Unknown,Unknown
,,,,,,,,Connecticut: Maine:,,,,
,,,,,,,,Massachusetts: New,Loss of electric service to more,,,
,,,,,,,,Hampshire: Vermont: Rhode,"than 50,000 customers for 1",,,
2022,2,02/18/2022 7:10 AM,02/18/2022 4:25 PM,,"9 Hours, 15 Minutes",ISO New England,NPCC,Island:,hour or more-Severe Weather,,7,7047
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2022,2,02/24/2022 10:25 AM,02/24/2022 10:31 AM,,"0 Hours, 6 Minutes",Entergy - Transmission Operations Engineering,TRE,Texas: Montgomery County;,,Interruption,3,1405
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,"Indiana: Marion County,",disturbance (excluding,,,
