,Data Year,Utility Number,Utility Name,Short Form,State,County
36,2020,3931,Coles-Moultrie Electric Coop,,IL,Edgar
37,2020,3931,Coles-Moultrie Electric Coop,,IL,Moultrie
38,2020,3931,Coles-Moultrie Electric Coop,,IL,Piatt
39,2020,3931,Coles-Moultrie Electric Coop,,IL,Shelby
40,2020,4110,Commonwealth Edison Co,,IL,Boone
41,2020,4110,Commonwealth Edison Co,,IL,Bureau
42,2020,4110,Commonwealth Edison Co,,IL,Carroll
43,2020,4110,Commonwealth Edison Co,,IL,Cook
44,2020,4110,Commonwealth Edison Co,,IL,DeKalb
45,2020,4110,Commonwealth Edison Co,,IL,DuPage
46,2020,4110,Commonwealth Edison Co,,IL,Ford
47,2020,4110,Commonwealth Edison Co,,IL,Grundy
48,2020,4110,Commonwealth Edison Co,,IL,Jo Daviess
49,2020,4110,Commonwealth Edison Co,,IL,Kane
50,2020,4110,Commonwealth Edison Co,,IL,Kankakee
51,2020,4110,Commonwealth Edison Co,,IL,Kendall
52,2020,4110,Commonwealth Edison Co,,IL,LaSalle
53,2020,4110,Commonwealth Edison Co,,IL,Lake
54,2020,4110,Commonwealth Edison Co,,IL,Lee
55,2020,4110,Commonwealth Edison Co,,IL,Livingston
56,2020,4110,Commonwealth Edison Co,,IL,Marshall
57,2020,4110,Commonwealth Edison Co,,IL,McHenry
58,2020,4110,Commonwealth Edison Co,,IL,Ogle
59,2020,4110,Commonwealth Edison Co,,IL,Stephenson
60,2020,4110,Commonwealth Edison Co,,IL,Whiteside
61,2020,4110,Commonwealth Edison Co,,IL,Will
62,2020,4110,Commonwealth Edison Co,,IL,Winnebago
63,2020,4110,Commonwealth Edison Co,,IL,Woodford
64,2020,4362,Corn Belt Energy Corporation,,IL,Bureau
65,2020,4362,Corn Belt Energy Corporation,,IL,Champaign
66,2020,4362,Corn Belt Energy Corporation,,IL,DeWitt
67,2020,4362,Corn Belt Energy Corporation,,IL,Ford
68,2020,4362,Corn Belt Energy Corporation,,IL,Henry
69,2020,4362,Corn Belt Energy Corporation,,IL,Kendall
70,2020,4362,Corn Belt Energy Corporation,,IL,Knox
71,2020,4362,Corn Belt Energy Corporation,,IL,LaSalle
72,2020,4362,Corn Belt Energy Corporation,,IL,Livingston
73,2020,4362,Corn Belt Energy Corporation,,IL,Logan
74,2020,4362,Corn Belt Energy Corporation,,IL,Macon
75,2020,4362,Corn Belt Energy Corporation,,IL,Marshall
76,2020,4362,Corn Belt Energy Corporation,,IL,McLean
77,2020,4362,Corn Belt Energy Corporation,,IL,Piatt
78,2020,4362,Corn Belt Energy Corporation,,IL,Putnam
79,2020,4362,Corn Belt Energy Corporation,,IL,Stark
80,2020,4362,Corn Belt Energy Corporation,,IL,Tazewell
81,2020,4362,Corn Belt Energy Corporation,,IL,Woodford
82,2020,5531,Enerstar Power Corp,Y,IL,Clark
83,2020,5531,Enerstar Power Corp,Y,IL,Coles
84,2020,5531,Enerstar Power Corp,Y,IL,Douglas
85,2020,5531,Enerstar Power Corp,Y,IL,Edgar
86,2020,5531,Enerstar Power Corp,Y,IL,Vermilion
87,2020,5535,Egyptian Electric Coop Assn,,IL,Franklin
88,2020,5535,Egyptian Electric Coop Assn,,IL,Jackson
89,2020,5535,Egyptian Electric Coop Assn,,IL,Johnson
90,2020,5535,Egyptian Electric Coop Assn,,IL,Monroe
91,2020,5535,Egyptian Electric Coop Assn,,IL,Perry
92,2020,5535,Egyptian Electric Coop Assn,,IL,Randolph
93,2020,5535,Egyptian Electric Coop Assn,,IL,St Clair
94,2020,5535,Egyptian Electric Coop Assn,,IL,Union
95,2020,5535,Egyptian Electric Coop Assn,,IL,Washington
96,2020,5535,Egyptian Electric Coop Assn,,IL,Williamson
97,2020,5585,Eastern Illinois Elec Coop,,IL,Champaign
98,2020,5585,Eastern Illinois Elec Coop,,IL,Douglas
99,2020,5585,Eastern Illinois Elec Coop,,IL,Edgar
100,2020,5585,Eastern Illinois Elec Coop,,IL,Ford
101,2020,5585,Eastern Illinois Elec Coop,,IL,Iroquois
102,2020,5585,Eastern Illinois Elec Coop,,IL,Livingston
103,2020,5585,Eastern Illinois Elec Coop,,IL,McLean
