Utility Characteristics,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2021,55,City of Aberdeen - (MS),MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2021,84,A & N Electric Coop,VA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,N,,Y,,,,,Y,Y
2021,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,,,Y,,N,,,,,,,,,Y,,,,,Y,Y,Y,,,,,
2021,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,,
2021,155,Agralite Electric Coop,MN,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,Y,Y,N,,,,Y,Y
2021,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,
2021,176,Ajo Improvement Co,AZ,Investor Owned,WECC,,,,,,,,Y,,,,,,,,,,,,,,,,Y,N,
2021,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,Y,Y,Y,,,Y,,N,Y,Y
2021,195,Alabama Power Co,AL,Investor Owned,SERC,,,,,,Y,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2021,207,Alameda Municipal Power,CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,,,,Y,,,N,,Y,Y
2021,213,Alaska Electric Light & Power Co.,AK,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,Y,Y
2021,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,,,,,,,,,,,,,,,,,Y,Y,,Y,,Y,Y,,,
2021,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,
2021,230,Albany Utility Board,GA,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2021,232,City of Albemarle - (NC),NC,Municipal,SERC,,,,,,Y,,,,,,,,,,Y,,N,,Y,,,,,,
2021,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2021,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2021,261,AGC Division of APGI Inc,PA,Investor Owned,RFC,,,,,Y,,,,,,,,,Y,,,Y,,Y,Y,,Y,,Y,N,
2021,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2021,295,City of Alexandria - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,,Y,Y,Y,,Y,Y,,
2021,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,SPP,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2021,298,City of Alexandria - (LA),LA,Municipal,SERC,,,,,,Y,N,,,,,,N,Y,,,Y,Y,Y,Y,,,,Y,Y,Y
2021,305,Alger-Delta Coop Electric Assn,MI,Cooperative,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2021,307,Algoma Utility Comm,WI,Municipal,MISO,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2021,332,Allegheny Electric Coop Inc,PA,Cooperative,RFC,,,,,Y,,,,,,Y,,,,,,Y,Y,Y,,,,,,,
2021,343,AEP Generating Company,OH,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,Y,,,,,Y,,,Y,Y
2021,392,Alpena Power Co,MI,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2021,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,Y,Y
2021,471,Amana Society Service Co,IA,Investor Owned,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,,Y,,,,Y,,
2021,540,BP Energy Company,TX,Retail Power Marketer,TRE,N,,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,
