Utility Characteristics,,,,,IEEE Standard,,,,,,,,,,,,Other Standard,,,,,,,,,,
,,,,,All Events (With Major Event Days),,,Without Major Event Days,,,Loss of Supply Removed (With Major Event Days),,,.,,,All Events (With Major Event Days),,,Without Major Event Days,,,.,,,,
Data Year,Utility Number,Utility Name,State,Ownership,SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),SAIDI (minutes per year),SAIFI (times per year),CAIDI (minutes per interruption),Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI (minutes per year),SAIFI (times per year),CAIDI With MED,SAIDI (minutes per year),SAIFI (times per year),CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2021,20576,"White River Electric Assn, Inc",CO,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,86.042,1.218,70.642,86.042,1.218,70.642,"3,466",Y,L,25.0,Y
2021,20603,Northeastern Rural E M C,IN,Cooperative,66.700,0.880,75.795,53.400,0.800,66.750,63.900,0.860,74.302,"30,452",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,20639,"Wild Rice Electric Coop, Inc",MN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,255.762,2.634,97.100,248.040,2.580,96.140,"14,517",N,F,7.2,Y
2021,20737,Willmar Municipal Utilities,MN,Municipal,2.863,0.119,24.059,2.863,0.119,24.059,2.863,0.119,24.059,"9,654",12.5,N,.,.,.,.,.,.,.,,,.,
2021,20785,City of Wilson,NC,Municipal,49.190,0.639,76.980,40.550,0.602,67.359,49.190,0.639,76.980,"36,478",23.0,Y,.,.,.,.,.,.,.,,,.,
2021,20841,"Wiregrass Electric Coop, Inc",AL,Cooperative,328.590,2.490,131.964,106.230,1.240,85.669,.,.,.,"25,624",13.2,Y,.,.,.,.,.,.,.,,,.,
2021,20847,Wisconsin Electric Power Co,WI,Investor Owned,417.000,1.130,369.027,102.000,0.730,139.726,417.000,1.130,369.027,"1,177,168",35.0,N,.,.,.,.,.,.,.,,,.,
2021,20856,Wisconsin Power & Light Co,WI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,112.500,0.740,152.027,80.800,0.680,118.824,"482,205",N,F,25.0,Y
2021,20860,Wisconsin Public Service Corp,WI,Investor Owned,555.000,1.460,380.137,95.000,0.830,114.458,551.000,1.420,388.028,"459,018",46.0,N,.,.,.,.,.,.,.,,,.,
2021,20862,Wisconsin Rapids W W & L Comm,WI,Municipal,.,.,.,.,.,.,.,.,.,.,.,,15.300,0.113,135.398,.,.,.,"14,898",N,L,13.2,N
2021,20885,Withlacoochee River Elec Coop,FL,Cooperative,107.025,1.493,71.685,107.025,1.493,71.685,87.609,1.168,75.008,"230,248",25.0,N,.,.,.,.,.,.,.,,,.,
2021,20927,"Wood County Electric Coop, Inc",TX,Cooperative,364.410,2.807,129.822,222.014,1.928,115.152,283.568,2.381,119.096,"38,802",12.5,Y,.,.,.,.,.,.,.,,,.,
2021,20948,Wise Electric Coop Inc,TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,779.100,7.700,101.182,140.600,1.500,93.733,"24,686",N,F,24.9,Y
2021,20963,Woodruff Electric Coop Corp,AR,Cooperative,15.000,0.840,17.857,15.000,0.840,17.857,15.000,0.840,17.857,"19,875",13.2,N,.,.,.,.,.,.,.,,,.,
2021,20996,Wright-Hennepin Coop Elec Assn,MN,Cooperative,34.629,0.484,71.548,30.723,0.484,63.477,34.629,0.484,71.548,"53,390",12.0,Y,.,.,.,.,.,.,.,,,.,
2021,21002,York Electric Coop Inc,SC,Cooperative,75.950,0.746,101.810,66.600,0.663,100.452,64.770,0.524,123.607,"65,758",24.9,N,.,.,.,.,.,.,.,,,.,
2021,21013,City of Worthington - (MN),MN,Municipal,.,.,.,.,.,.,.,.,.,.,.,,6.200,0.064,96.875,.,.,.,"5,499",N,L,12.5,N
2021,21048,Wyandotte Municipal Serv Comm,MI,Municipal,.,.,.,.,.,.,.,.,.,.,.,,62.456,0.229,272.734,.,.,.,"12,672",N,L,13.8,N
2021,21075,Y-W Electric Assn Inc,CO,Cooperative,17.500,.,.,17.500,.,.,17.500,.,.,"8,937",15.0,N,.,.,.,.,.,.,.,,,.,
2021,21081,Yampa Valley Electric Assn Inc,CO,Cooperative,102.044,0.811,125.825,102.044,0.811,125.825,102.044,0.811,125.825,"27,852",69.0,Y,.,.,.,.,.,.,.,,,.,
2021,21081,Yampa Valley Electric Assn Inc,WY,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,,,.,
2021,21111,Perennial Public Power Dist,NE,Political Subdivision,.,.,.,.,.,.,.,.,.,.,.,,23.200,0.120,193.333,7.700,0.117,65.812,"7,670",N,L,12.5,Y
2021,21158,City of Zeeland - (MI),MI,Municipal,3.797,0.109,34.835,3.797,0.109,34.835,0.000,0.000,.,"6,876",12.5,N,.,.,.,.,.,.,.,,,.,
