Data Year,Utility Number,Utility Name,Ownership,State,BA Code,Total Revenue (Thousand Dollars),Total Sales (MWh),Total Customers,Water Heater,Net Metering,Demand Side Management,Time Based Programs
2021,192,Akiachak Native Community Electric,Cooperative,AK,NA,"1,587.2","1,843",274,.,N,N,N
2021,878,Atmautluak Tribal Utilities,Municipal,AK,NA,423.0,"1,112",99,.,N,N,N
2021,1276,"Barrow Utils & Elec Coop, Inc",Cooperative,AK,NA,"7,089.8","47,331","2,034",.,N,N,N
2021,3421,City of Chignik - (AK),Municipal,AK,NA,282.2,612,127,.,N,N,N
2021,3422,City of Chefornak,Municipal,AK,NA,586.7,"1,318",145,.,N,N,N
2021,3465,Chitina Electric Inc,Investor Owned,AK,NA,229.4,431,80,.,N,N,N
2021,4329,"Copper Valley Elec Assn, Inc",Cooperative,AK,NA,"22,849.0","88,142","3,908",.,Y,N,N
2021,4959,Aniak Light & Power Co Inc,Investor Owned,AK,NA,"1,444.0","2,205",200,.,N,N,N
2021,5721,City of Elfin Cove - (AK),Municipal,AK,NA,184.8,362,84,.,N,N,N
2021,6866,"G & K, Inc",Investor Owned,AK,NA,"1,760.5","2,036",124,.,N,N,N
2021,6915,Galena Electric Utility,Municipal,AK,NA,"2,783.0","5,193",351,.,N,N,N
2021,7833,Gwitchyaa Zhee Utility Co,Investor Owned,AK,NA,"1,239.7","2,549",381,.,N,N,N
2021,9000,Hughes Power & Light Co,Investor Owned,AK,NA,323.1,454,66,.,N,N,N
2021,9188,"I-N-N Electric Coop, Inc",Cooperative,AK,NA,"1,447.9","3,808",286,.,N,N,N
2021,9192,Igiugig Electric Company,Political Subdivision,AK,NA,236.2,274,56,.,Y,N,N
2021,9416,Ipnatchiaq Electric Company,Municipal,AK,NA,463.9,744,71,.,N,N,N
2021,9832,Kuiggluum Kallugvia,Investor Owned,AK,NA,792.8,"1,557",225,.,N,N,N
2021,9897,City of King Cove,Municipal,AK,NA,"1,207.0","4,025",199,.,N,N,N
2021,10455,Kokhanok Village Council,Political Subdivision,AK,NA,362.0,415,79,.,N,N,N
2021,10491,Kwig Power Company,Political Subdivision,AK,NA,621.8,"1,017",127,.,N,N,N
2021,10716,City of Larsen Bay - (AK),Municipal,AK,AMPL,224.7,711,64,.,N,N,N
2021,12119,McGrath Light & Power Co,Investor Owned,AK,NA,"1,405.0","1,885",293,.,N,N,N
2021,12385,Metlakatla Power & Light,Municipal,AK,NA,"2,466.0","17,418",949,.,N,N,N
2021,12485,Middle Kuskokwim Elec Coop Inc,Cooperative,AK,NA,"1,063.7","1,089",192,.,N,N,N
2021,13201,"Naknek Electric Assn, Inc",Cooperative,AK,NA,"11,012.0","21,590","1,123",.,N,N,N
2021,13211,Napakiak Ircinraq Power Co,Investor Owned,AK,NA,599.0,715,126,.,N,N,N
2021,13477,Nelson Lagoon Elec Coop Inc,Cooperative,AK,NA,119.9,224,59,.,N,N,N
2021,13642,Nome Joint Utility Systems,Municipal,AK,NA,"10,184.0","31,374","2,209",.,N,N,N
2021,13870,"Nushagak Electric Coop, Inc",Cooperative,AK,NA,"8,437.0","17,679","1,480",.,N,N,N
2021,14234,City of Ouzinkie - (AK),Municipal,AK,NA,263.0,668,110,.,N,N,N
2021,14633,Pedro Bay Village Council - (AK),Municipal,AK,NA,142.0,195,40,.,N,N,N
2021,14856,Petersburg Borough - (AK),Municipal,AK,NA,"5,710.0","54,883","2,259",.,N,N,N
2021,16955,City of Seward - (AK),Municipal,AK,NA,"12,379.0","54,495","2,987",.,Y,N,N
2021,17271,City & Borough of Sitka - (AK),Municipal,AK,NA,"18,594.4","113,002","5,590",.,N,N,N
2021,17898,City of Saint Paul,Municipal,AK,NA,"1,375.0","2,872",210,.,N,N,N
2021,18474,Tanana Power Co Inc,Investor Owned,AK,NA,694.5,"1,139",156,.,N,N,N
2021,18480,Tatitlek Electric Utility,Municipal,AK,NA,219.0,313,64,.,N,N,N
2021,18541,City of Tenakee Springs - (AK),Municipal,AK,NA,213.0,415,169,.,N,N,N
2021,18963,"Inside Passage Elec Coop, Inc",Cooperative,AK,NA,"5,727.0","9,879","1,370",.,N,N,N
2021,19267,Tuntutuliak Comm Services Assn,Cooperative,AK,NA,622.8,"1,030",134,.,N,N,N
2021,19454,City of Unalaska - (AK),Municipal,AK,NA,"15,662.2","45,205","1,024",.,N,N,N
2021,20535,City of White Mountain - (AK),Municipal,AK,NA,434.4,612,103,.,N,N,N
2021,21015,City of Wrangell - (AK),Municipal,AK,NA,"3,704.0","30,114","2,017",.,N,N,N
2021,24486,City of Akutan - (AK),Municipal,AK,NA,437.5,691,90,.,N,N,N
2021,26317,Manokotak Power Company,Municipal,AK,NA,758.0,"1,307",162,.,N,N,N
2021,26616,North Slope Borough Power & Light,Municipal,AK,NA,"8,321.8","31,818","1,241",.,N,N,N
2021,29297,Pelican Utility,Municipal,AK,NA,180.0,909,107,.,N,N,N
2021,40215,"Cordova Electric Coop, Inc",Cooperative,AK,NA,"6,961.7","24,892","1,659",.,N,N,N
2021,40548,Unalakleet Valley Elec Coop,Cooperative,AK,NA,"1,666.0","3,901",382,.,Y,N,N
2021,56256,City of Atka - (AK),Municipal,AK,NA,213.0,356,64,.,N,N,N
2021,56503,TDX Manley Generating LLC,Investor Owned,AK,NA,472.0,499,144,.,N,N,N
2021,56739,Gold Country Energy,Investor Owned,AK,NA,251.0,353,133,.,N,N,N
2021,57351,City of Egegik - (AK),Municipal,AK,NA,373.1,570,127,.,N,N,N
2021,289,City of Alexander City,Municipal,AL,SOCO,"13,617.0","128,141","5,943",.,N,N,N
2021,2423,City of Brundidge - (AL),Municipal,AL,SOCO,"5,446.4","48,913","1,243",.,N,N,N
2021,5728,City of Elba - (AL),Municipal,AL,SOCO,"4,533.0","39,033","3,060",.,N,N,N
2021,6052,City of Evergreen - (AL),Municipal,AL,SOCO,"3,936.0","47,842","1,827",.,N,N,N
