Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2021,59128,Acushnet- High Hill,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,296.0,"4,234",1,0.0,0,0,0.0,0,0,296.0,"4,234",1
2021,59121,Acushnet-Braley Road 1,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,201.0,"2,517",1,0.0,0,0,0.0,0,0,201.0,"2,517",1
2021,60772,Adams Ave MS and HS,61944,MN8 Energy LLC,NJ,PJM,0.0,0,0,441.0,"4,004",1,0.0,0,0,0.0,0,0,441.0,"4,004",1
2021,59788,"Advance Stores Company, Inc",60947,Tesla Inc.,CT,ISNE,0.0,0,0,113.0,"1,136",1,0.0,0,0,0.0,0,0,113.0,"1,136",1
2021,65005,Albertsons at Melrose Park,64440,"ESIL-AL-Melrose, LLC",IL,PJM,0.0,0,0,8.0,161,1,0.0,0,0,0.0,0,0,8.0,161,1
2021,63469,Alicea Solar Project Hybrid CSG,61012,AES Distributed Energy,MA,ISNE,0.0,0,0,686.0,"2,966",1,0.0,0,0,0.0,0,0,686.0,"2,966",1
2021,63303,Alticor Inc - Solar Project,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,154.0,"1,622",1,0.0,0,0,0.0,0,0,154.0,"1,622",1
2021,61850,Amana Society Service Company,471,Amana Society Service Co,IA,MISO,"1,021.0","7,999",717,"1,158.0","9,136",179,"6,011.0","68,919",1,0.0,0,0,"8,190.0","86,054",897
2021,58357,Amazon,63068,CVI CleanCapital Solar 4 LLC,NJ,PJM,0.0,0,0,65.0,"1,428",1,0.0,0,0,0.0,0,0,65.0,"1,428",1
2021,63536,Amazon DEN2 Solar Project,63259,Solar Star Prime 1 LLC,CO,PSCO,0.0,0,0,104.0,214,1,0.0,0,0,0.0,0,0,104.0,214,1
2021,64351,Amazon JFK8 Solar Project,63962,"Solar Star Prime 2, LLC",NY,NYIS,0.0,0,0,113.0,"2,793",1,0.0,0,0,0.0,0,0,113.0,"2,793",1
2021,64360,"American Goldfinch SCS ACY2 NJ, LLC",61677,Sol Systems,NJ,PJM,0.0,0,0,325.0,"4,298",1,0.0,0,0,0.0,0,0,325.0,"4,298",1
2021,60684,Amphitheater High School Solar,60404,"Constellation Solar Arizona 2, LLC",AZ,TEPC,0.0,0,0,222.0,"2,193",1,0.0,0,0,0.0,0,0,222.0,"2,193",1
2021,59331,Anheuser-Busch #2,56930,"Foundation HA Energy Generation, LLC",CA,CISO,0.0,0,0,0.0,0,0,373.0,"4,543",1,0.0,0,0,373.0,"4,543",1
2021,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0.0,0,0,131.0,"1,685",1,0.0,0,0,0.0,0,0,131.0,"1,685",1
2021,60662,Archdiocese of Baltimore J,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,387.0,"3,471",1,0.0,0,0,0.0,0,0,387.0,"3,471",1
2021,60663,Archdiocese of Baltimore L,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,290.0,"3,500",1,0.0,0,0,0.0,0,0,290.0,"3,500",1
2021,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0.0,0,0,0.0,0,0,"5,304.0","172,722",1,0.0,0,0,"5,304.0","172,722",1
2021,56900,Atlantic City Convention Center,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0.0,0,0,564.0,"2,986",1,0.0,0,0,0.0,0,0,564.0,"2,986",1
2021,58360,Atlantic Coast Freezers Solar Facility,63068,CVI CleanCapital Solar 4 LLC,NJ,PJM,0.0,0,0,184.0,"2,622",1,0.0,0,0,0.0,0,0,184.0,"2,622",1
2021,60227,BJ's Wholesale Club Inc Dist Center,60947,Tesla Inc.,NJ,PJM,0.0,0,0,142.0,"2,208",1,0.0,0,0,0.0,0,0,142.0,"2,208",1
2021,60116,"BJ's Wholesale Club, Inc- Uxbridge",60947,Tesla Inc.,MA,ISNE,0.0,0,0,47.0,986,1,0.0,0,0,0.0,0,0,47.0,986,1
2021,61893,BNB Camden Solar,61508,BNB Camden Solar LLC,CT,,0.0,0,0,504.0,"5,047",1,0.0,0,0,0.0,0,0,504.0,"5,047",1
2021,60067,BWC Swan Pond River CSG,59805,"BWC Swan Pond River, LLC",MA,ISNE,0.0,0,0,307.0,"2,241",1,0.0,0,0,0.0,0,0,307.0,"2,241",1
2021,60664,Baltimore City B,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,270.0,"3,288",1,0.0,0,0,0.0,0,0,270.0,"3,288",1
2021,60665,Baltimore City D,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,264.0,"3,212",1,0.0,0,0,0.0,0,0,264.0,"3,212",1
2021,60666,Baltimore City F,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,262.0,"3,188",1,0.0,0,0,0.0,0,0,262.0,"3,188",1
2021,60667,Baltimore City G,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,265.0,"3,225",1,0.0,0,0,0.0,0,0,265.0,"3,225",1
2021,63298,"Barrette Outdoor Living, Inc.",62994,"Dynamic Energy Solutions, LLC",NJ,PJM,0.0,0,0,71.0,"2,745",1,0.0,0,0,0.0,0,0,71.0,"2,745",1
2021,10298,Bayou Cogen Plant,327,Air Liquide Large Industries U S LP,TX,ERCO,0.0,0,0,0.0,0,0,"16,090.0","247,924",1,0.0,0,0,"16,090.0","247,924",1
2021,55327,Baytown Energy Center,2838,Baytown Energy Center LLC,TX,ERCO,0.0,0,0,0.0,0,0,"47,085.0","1,697,180",1,0.0,0,0,"47,085.0","1,697,180",1
2021,62074,"Bd of Educ of Queen Anne's Cnty, Cnty HS",60947,Tesla Inc.,MD,PJM,0.0,0,0,165.0,"3,152",1,0.0,0,0,0.0,0,0,165.0,"3,152",1
2021,59546,Beaver Solar LLC,59287,Laurel Capital Partners,PA,PJM,0.0,0,0,0.0,0,0,164.0,"1,319",1,0.0,0,0,164.0,"1,319",1
2021,63262,Becton Canaan,63058,"DG Northeast 1, LLC",CT,ISNE,0.0,0,0,226.0,"2,864",1,0.0,0,0,0.0,0,0,226.0,"2,864",1
2021,58403,Bellingham PV,63249,Terraform Arcadia,MA,ISNE,0.0,0,0,317.0,"3,354",1,0.0,0,0,0.0,0,0,317.0,"3,354",1
2021,57733,Benjamin Moore & Co. Solar,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0.0,0,0,0.0,0,0,297.0,"1,809",1,0.0,0,0,297.0,"1,809",1
2021,63200,"Bergenmand Solar Partners, LLC Mahwah",60474,"Vanguard Energy Partners, LLC",NJ,PJM,0.0,0,0,310.0,"1,548",1,0.0,0,0,0.0,0,0,310.0,"1,548",1
2021,58624,Berkshire 1,58578,PPS Berkshire Solar LLC,MA,ISNE,0.0,0,0,252.0,"2,335",1,0.0,0,0,0.0,0,0,252.0,"2,335",1
2021,59097,Berry Plastics Solar,61944,MN8 Energy LLC,NJ,PJM,0.0,0,0,787.0,"10,933",1,0.0,0,0,0.0,0,0,787.0,"10,933",1
2021,64143,Bloom-Altice Fuel Cell,60571,"AEP Onsite Partners, LLC",NY,NYIS,0.0,0,0,"1,488.0","17,567",1,0.0,0,0,0.0,0,0,"1,488.0","17,567",1
2021,62077,Blue Shld Of Cal- El Dorado Hlls Mtr B,60947,Tesla Inc.,CA,BANC,0.0,0,0,206.0,"1,491",1,0.0,0,0,0.0,0,0,206.0,"1,491",1
2021,56862,Bolthouse S&P and Rowen Farms Solar,56105,MMA WBF Power LP,CA,CISO,0.0,0,0,99.0,"1,548",1,0.0,0,0,0.0,0,0,99.0,"1,548",1
2021,59014,Bolton PV,61012,AES Distributed Energy,MA,ISNE,0.0,0,0,780.0,"7,009",1,0.0,0,0,0.0,0,0,780.0,"7,009",1
2021,57992,Boston Scientific Solar,57365,Consolidated Edison Solutions Inc,MA,ISNE,0.0,0,0,0.0,0,0,132.0,"1,475",1,0.0,0,0,132.0,"1,475",1
2021,58327,Bradley Energy Center,58300,Ameresco Select Inc,CT,ISNE,0.0,0,0,"1,843.0","15,358",1,0.0,0,0,0.0,0,0,"1,843.0","15,358",1
2021,62157,Breesport Road Community Solar Farm,62706,"NY Baldwin I, LLC",NY,NYIS,290.0,"3,103",309,0.0,0,0,0.0,0,0,0.0,0,0,290.0,"3,103",309
2021,64580,Broadway 2 - Tucson Phase II,61944,MN8 Energy LLC,AZ,TEPC,0.0,0,0,812.0,"6,912",1,0.0,0,0,0.0,0,0,812.0,"6,912",1
2021,64579,Broadway 2 - UC Riverside,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,485.0,"5,064",1,0.0,0,0,0.0,0,0,485.0,"5,064",1
2021,65185,Broadway 3 - Tucson Phase I,61944,MN8 Energy LLC,AZ,TEPC,0.0,0,0,419.0,"1,962",1,0.0,0,0,0.0,0,0,419.0,"1,962",1
2021,65186,Broadway 3 - UC Merced 1,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,307.0,"1,023",1,0.0,0,0,0.0,0,0,307.0,"1,023",1
2021,65187,Broadway 3 - UCSB Lot 38,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,391.0,"3,287",1,0.0,0,0,0.0,0,0,391.0,"3,287",1
2021,65188,Broadway 4 - Target Shafter,61944,MN8 Energy LLC,CA,CISO,0.0,0,0,276.0,"3,289",1,0.0,0,0,0.0,0,0,276.0,"3,289",1
2021,60451,Brookside,63249,Terraform Arcadia,RI,ISNE,0.0,0,0,219.0,"1,461",1,0.0,0,0,0.0,0,0,219.0,"1,461",1
2021,60507,Broome County,60947,Tesla Inc.,NY,NYIS,0.0,0,0,390.0,"5,773",1,0.0,0,0,0.0,0,0,390.0,"5,773",1
2021,58037,Buckeye Union HS District 201,57408,Constellation Solar Arizona LLC,AZ,AZPS,0.0,0,0,939.0,"7,063",1,0.0,0,0,0.0,0,0,939.0,"7,063",1
2021,62240,"Burgaw Solar, LLC",63184,CI-II Mitchell Holding LLC,NC,CPLE,0.0,0,0,586.0,"9,400",1,0.0,0,0,0.0,0,0,586.0,"9,400",1
2021,62712,Burlington Coat Factory Solar,62155,"DG Northeast Solar II, LLC",NJ,PJM,0.0,0,0,281.0,"4,637",1,0.0,0,0,0.0,0,0,281.0,"4,637",1
2021,58618,Butler Plaza,58570,CF Gainesville Owner One LLC,FL,GVL,0.0,0,0,307.0,893,1,0.0,0,0,0.0,0,0,307.0,893,1
2021,52147,C P Kelco San Diego Plant,3221,CPKelco U S Inc,CA,CISO,0.0,0,0,0.0,0,0,5.0,72,1,0.0,0,0,5.0,72,1
2021,60428,CA Dept of Public Health at Richmond,58540,California PV Energy LLC,CA,CISO,0.0,0,0,419.0,"4,320",1,0.0,0,0,0.0,0,0,419.0,"4,320",1
2021,58440,CBS Studio Center,59413,Crestmark Bank,CA,LDWP,0.0,0,0,757.0,"5,595",1,0.0,0,0,0.0,0,0,757.0,"5,595",1
2021,60036,CCBC-Catonsville,58491,"Constellation Solar Holding, LLC",MD,PJM,0.0,0,0,222.0,"2,771",1,0.0,0,0,0.0,0,0,222.0,"2,771",1
2021,61620,CDCR (CA) - Corcoran State Prison,61225,"SunE Corcoran SP Owner, LLC",CA,CISO,0.0,0,0,747.0,"7,460",1,0.0,0,0,0.0,0,0,747.0,"7,460",1
2021,59748,CDCR (CA) - Pleasant Valley State Prison,59512,"Team-Solar, Inc.",CA,CISO,0.0,0,0,289.0,"2,897",1,0.0,0,0,0.0,0,0,289.0,"2,897",1
2021,61619,CDCR (CA) - Solano State Prison,61224,"SunE Solano SP Owner, LLC",CA,CISO,0.0,0,0,261.0,"2,129",1,0.0,0,0,0.0,0,0,261.0,"2,129",1
2021,61621,CDCR (CA) - Wasco State Prison,61226,"SunE Wasco SP Owner, LLC",CA,CISO,0.0,0,0,314.0,"3,143",1,0.0,0,0,0.0,0,0,314.0,"3,143",1
2021,62681,CED Champaign Solar LLC,56769,Consolidated Edison Development Inc.,IL,MISO,0.0,0,0,0.0,0,0,94.0,"2,977",1,0.0,0,0,94.0,"2,977",1
2021,60201,CES Cherry Hill Solar,57365,Consolidated Edison Solutions Inc,NJ,PJM,0.0,0,0,0.0,0,0,240.0,"1,735",1,0.0,0,0,240.0,"1,735",1
2021,60029,CES VMT Solar,57365,Consolidated Edison Solutions Inc,MD,PJM,0.0,0,0,0.0,0,0,169.0,"1,513",1,0.0,0,0,169.0,"1,513",1
2021,63204,CID Solar (CA),62988,DG California Solar LLC,CA,CISO,0.0,0,0,0.0,0,0,327.0,"4,254",1,0.0,0,0,327.0,"4,254",1
2021,60225,CMEEC - Bozrah,60947,Tesla Inc.,CT,ISNE,0.0,0,0,471.0,"3,315",1,0.0,0,0,0.0,0,0,471.0,"3,315",1
2021,60608,CMEEC - Navy NE Trident,60947,Tesla Inc.,CT,ISNE,0.0,0,0,196.0,"1,364",1,0.0,0,0,0.0,0,0,196.0,"1,364",1
2021,60609,CMEEC - Norwich Stott St Solar Hybrid,60947,Tesla Inc.,CT,ISNE,0.0,0,0,807.0,"7,451",1,0.0,0,0,0.0,0,0,807.0,"7,451",1
2021,60607,CMEEC - Polaris Park Solar Hybrid,60947,Tesla Inc.,CT,ISNE,0.0,0,0,604.0,"4,082",1,0.0,0,0,0.0,0,0,604.0,"4,082",1
2021,60605,CMEEC - Rogers Rd Solar,60947,Tesla Inc.,CT,ISNE,0.0,0,0,242.0,"1,798",1,0.0,0,0,0.0,0,0,242.0,"1,798",1
2021,54323,CNN Center,18452,Turner Properties Inc,GA,SOCO,0.0,0,0,497.0,"6,660",31,0.0,0,0,0.0,0,0,497.0,"6,660",31
2021,59130,CSD 2 - Heritage High,59622,"Ahana Renewables, LLC",CA,CISO,0.0,0,0,481.0,"1,812",1,0.0,0,0,0.0,0,0,481.0,"1,812",1
