Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2021,162,Aiken Electric Coop Inc,SC,SC,284,0,0,0,284,4,0,0,0,4,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,14,0,0,0,14,0,0,0,0,0,231
2021,189,PowerSouth Energy Cooperative,AL,SOCO,"20,948",.,.,.,"20,948",0,.,.,.,0,18.0,.,.,.,18.0,18.0,.,.,.,18.0,0,.,.,.,0,105,.,.,.,105,177
2021,195,Alabama Power Co,AL,SOCO,"5,488",5,28,.,"5,521",0,0,0,.,0,147.4,4.5,"1,530.7",.,"1,682.5",2.5,0.0,0.0,.,2.5,250,107,"26,584",.,"26,942",842,10,"1,130",.,"1,982",.
2021,207,Alameda Municipal Power,CA,CISO,"32,044","4,135",.,.,"36,179",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,213,Alaska Electric Light & Power Co.,AK,NA,"2,263",30,.,.,"2,293",.,.,.,.,.,5.0,13.0,.,.,18.0,.,.,.,.,.,64,1,.,.,64,2,0,.,.,2,.
2021,295,City of Alexandria - (MN),MN,MISO,"2,823",.,.,.,"2,823",.,.,.,.,.,9.0,.,.,.,9.0,3.7,.,.,.,3.7,0,.,.,.,0,43,.,.,.,43,.
2021,332,Allegheny Electric Coop Inc,PA,PJM,"45,080",.,.,.,"45,080",.,.,.,.,.,45.0,.,.,.,45.0,43.0,.,.,.,43.0,.,.,.,.,.,"2,680",.,.,.,"2,680",.
2021,407,Altamaha Electric Member Corp,GA,SOCO,.,.,234,.,234,.,.,151,.,151,.,.,16.0,.,16.0,.,.,10.0,.,10.0,.,.,.,.,.,.,.,130,.,130,.
2021,590,City of Anaheim - (CA),CA,CISO,431,12,.,.,443,2,.,.,.,2,.,8.4,.,.,8.4,.,.,.,.,.,6,.,.,.,6,.,.,.,.,.,.
2021,733,Appalachian Power Co,VA,PJM,"4,031",0,0,0,"4,031",122,0,0,0,122,4.5,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,4.5,222,0,0,0,222,488,0,0,0,488,.
2021,733,Appalachian Power Co,WV,PJM,"2,278",0,5,0,"2,283",53,0,0,0,53,1.8,0.0,68.2,0.0,70.0,1.8,0.0,0.0,0.0,1.8,99,0,0,0,99,274,0,0,0,274,.
2021,803,Arizona Public Service Co,AZ,AZPS,"781,061",223,.,.,"781,284","781,279",538,.,.,"781,817",191.3,20.7,.,.,212.0,191.3,20.7,.,.,212.0,"5,783",.,.,.,"5,783","3,814","1,008",.,.,"4,822",6
2021,807,Arkansas Electric Coop Corp,AR,MISO,.,.,8,.,8,.,.,.,.,.,.,.,628.0,.,628.0,.,.,.,.,.,.,.,"28,299",.,"28,299",.,.,.,.,.,.
2021,814,Entergy Arkansas LLC,AR,MISO,"19,655",146,"1,861",.,"21,662","2,169","1,047","1,767",.,"4,983",21.2,.,356.7,.,377.9,21.2,.,22.3,.,43.5,312,"1,183",434,.,"1,929",611,"3,430","3,099",.,"7,140",.
