"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99733899999","2023-01-01T00:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","180,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0015,1","+0004,1","99999,9","5,99,0021,1,999","SYN046CHII2 46/// /1803 10015 20004 92350 333 91204="
"99733899999","2023-01-01T01:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","110,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0022,1","+0013,1","99999,9","5,99,0041,1,999","SYN046CHII2 46/// /1107 10022 20013 90050 333 91208="
"99733899999","2023-01-01T02:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","140,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0025,1","+0013,1","99999,9","5,99,0082,1,999","SYN046CHII2 46/// /1415 10025 20013 90150 333 91216="
"99733899999","2023-01-01T03:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","160,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0019,1","+0010,1","99999,9","5,99,0077,1,999","SYN046CHII2 46/// /1614 10019 20010 90240 333 91215="
"99733899999","2023-01-01T04:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","160,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0018,1","+0010,1","99999,9","5,99,0021,1,999","SYN046CHII2 46/// /1603 10018 20010 90350 333 91204="
"99733899999","2023-01-01T05:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","130,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0019,1","+0010,1","99999,9","5,99,0031,1,999","SYN046CHII2 46/// /1306 10019 20010 90450 333 91206="
"99733899999","2023-01-01T06:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","120,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0022,1","+0013,1","99999,9","5,99,0046,1,999","SYN046CHII2 46/// /1208 10022 20013 90550 333 91209="
"99733899999","2023-01-01T07:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","140,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0022,1","+0016,1","99999,9","5,99,0046,1,999","SYN046CHII2 46/// /1408 10022 20016 90650 333 91209="
"99733899999","2023-01-01T08:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","160,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0021,1","+0017,1","99999,9","5,99,0036,1,999","SYN046CHII2 46/// /1606 10021 20017 90750 333 91207="
"99733899999","2023-01-01T09:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","140,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0024,1","+0020,1","99999,9","5,99,0062,1,999","SYN046CHII2 46/// /1411 10024 20020 90850 333 91212="
