,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,"than 50,000 customers for 1",,,
2019,1,01/16/2019 5:26 PM,01/17/2019 12:19 PM,"18 Hours, 53 Minutes",,Pacific Gas & Electric Co,WECC,California:,hour or more.-Severe Weather,190,126700,
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,1,01/18/2019 9:54 PM,01/19/2019 12:19 AM,,"2 Hours, 25 Minutes",Nebraska Public Power District,MRO,Nebraska:,,Interruption,8,
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
2019,1,01/23/2019 7:26 AM,01/23/2019 5:05 PM,,"9 Hours, 39 Minutes",Western Area Power Administration,WECC,Colorado: Larimer County;,reclosing).-System Operations,0,0,
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,1,01/29/2019 6:34 PM,01/29/2019 6:36 PM,,"0 Hours, 2 Minutes",Entergy Transmission Control Center - North,SERC,Louisiana: Washington Parish;,,Interruption,,
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability.-,,,
2019,1,01/30/2019 4:23 AM,02/02/2019 9:00 AM,"76 Hours, 37 Minutes",,"Prairie Power, Inc.",SERC,Illinois: Scott County;,Fuel Supply Deficiency,,,
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability.-,,,
2019,1,01/30/2019 7:00 AM,01/30/2019 8:08 AM,,"1 Hours, 8 Minutes","Prairie Power, Inc.",SERC,Illinois: Pike County;,Severe Weather,,,
,,,,,,,,,Public appeal to reduce the,,,
,,,,,,,,,use of electricity for purposes,,,
,,,,,,,,,of maintaining the continuity of,,,
,,,,,,,,,the Bulk Electric System.-,,,
2019,1,01/30/2019 9:30 AM,01/31/2019 6:00 PM,"32 Hours, 30 Minutes",,Detroit Edison Co,RF,Michigan:,Severe Weather,,,
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blocked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system.-Severe,,,
2019,2,02/05/2019 6:17 PM,02/05/2019 8:26 PM,,"2 Hours, 9 Minutes",Pacific Gas & Electric Co,WECC,California,,Weather,42,33200
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2019,2,02/07/2019 7:39 AM,02/07/2019 7:40 AM,,"0 Hours, 1 Minutes",Entergy Transmission Control Center - North,SERC,Arkansas,,Interruption,3,3370
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/07/2019 8:55 AM,02/09/2019 4:30 PM,"55 Hours, 35 Minutes",,Consumers Energy Co,RF,Michigan,hour or more.-Severe Weather,,233000,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/08/2019 6:30 PM,.,.,". Hours, . Minutes",Puget Sound Energy,WECC,Washington,hour or more.-Severe Weather,,50940,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/13/2019 2:48 AM,02/15/2019 12:28 AM,"45 Hours, 40 Minutes",,Pacific Gas & Electric Co,WECC,California,hour or more.-Severe Weather,182,121000,
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2019,2,02/23/2019 2:05 PM,.,.,". Hours, . Minutes",American Electric Power - (RFC Reliability Region),SERC,Virginia,,Interruption,,
"Table B.2 Major Disturbances and Unusual Occurrences, 2019",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/24/2019 11:21 AM,02/26/2019 5:29 PM,"54 Hours, 8 Minutes",American Electric Power - (RFC Reliability Region),RF,"Ohio, Virginia, West Virginia",hour or more.-Severe Weather,,,118781
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/24/2019 12:31 PM,02/24/2019 2:57 PM,"2 Hours, 26 Minutes",Ohio Edison Co,RF,Ohio,hour or more.-Severe Weather,,,157274
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/24/2019 2:33 PM,02/24/2019 6:03 PM,"3 Hours, 30 Minutes",Monongahela Power Co,RF,Pennsylvania,hour or more.-Severe Weather,,,94048
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/24/2019 6:00 PM,02/25/2019 10:00 PM,"28 Hours, 0 Minutes",Duquesne Light Co,RF,Pennsylvania,hour or more.-Severe Weather,,,132000
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/24/2019 6:47 PM,02/25/2019 1:55 PM,"19 Hours, 8 Minutes",West Penn Power Company,RF,Pennsylvania,hour or more.-Severe Weather,,,137216
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,2,02/24/2019 8:02 PM,02/25/2019 2:30 PM,"18 Hours, 28 Minutes",Consumers Energy Co,RF,Michigan,hour or more.-Severe Weather,,,115000
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,2,02/25/2019 7:45 AM,02/25/2019 6:40 PM,"10 Hours, 55 Minutes",ISO New England,NPCC,Massachusetts,,Interruption,0,0
,,,,,,,"Connecticut, Massachusetts,",Loss of electric service to more,,,
,,,,,,,"New Hampshire, Maine,","than 50,000 customers for 1",,,
2019,2,02/25/2019 1:35 PM,02/26/2019 2:50 AM,"13 Hours, 15 Minutes",ISO New England,NPCC,"Vermont, Rhode Island",hour or more.-Severe Weather,,,72332
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,2,02/27/2019 11:25 AM,02/27/2019 5:39 PM,"6 Hours, 14 Minutes",MidAmerican Energy Co,MRO,Iowa,,Interruption,0,0
,,,,,,,"Texas: Midland County, Ector",,,,
,,,,,,,"County, Tarrant County,",Loss of electric service to more,,,
,,,,,,,"Dallas County, Wichita","than 50,000 customers for 1",,,
2019,3,03/13/2019 5:50 AM,03/13/2019 10:30 AM,"4 Hours, 40 Minutes",Oncor Electric Delivery Company LLC,TRE,"County, Brown County;",hour or more.-Severe Weather,,,154124
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,3,03/13/2019 11:29 AM,03/14/2019 9:11 PM,"33 Hours, 42 Minutes",Public Service Company of Colorado,WECC,Colorado: Jefferson County;,hour or more.-Severe Weather,,58,58379
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,hour or more.-Severe,,,
,,,,,,,,Weather/Transmission,,,
2019,3,03/13/2019 3:00 PM,03/14/2019 12:00 AM,"9 Hours, 0 Minutes","Southwest Power Pool, Inc.",TRE,Texas: Kansas: Oklahoma:,,Interruption,,66000
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,hour or more.-Severe,,,
,,,,,,,,Weather/Transmission,,,
2019,3,03/13/2019 3:51 PM,03/16/2019 6:00 PM,"74 Hours, 9 Minutes",Southwestern Public Service,TRE,Texas:,,Interruption,50,54290
,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,could impact electric power,,,
,,,,,,,,system adequacy or reliability.-,,,
2019,4,04/03/2019 5:15 AM,04/03/2019 12:39 PM,"7 Hours, 24 Minutes",California Department of Water Resources,WECC,California: Fresno County;,Fuel Supply Deficiency,,0,0
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,4,04/04/2019 10:13 AM,04/04/2019 12:08 PM,"1 Hours, 55 Minutes",Bonneville Power Administration,WECC,Montana:,,Interruption,0,0
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,4,04/07/2019 1:46 PM,04/08/2019 5:50 PM,"28 Hours, 4 Minutes",CenterPoint Energy,TRE,Texas:,hour or more.-Severe Weather,537,,231956
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,4,04/11/2019 7:48 PM,04/11/2019 8:00 PM,"0 Hours, 12 Minutes",Bonneville Power Administration,WECC,Oregon: Washington:,,Interruption,0,0
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,4,04/12/2019 11:20 AM,04/12/2019 12:46 PM,"1 Hours, 26 Minutes",Xcel Energy,MRO,Minnesota: Martin County;,,Interruption,0,0
,,,,,,,,Loss of electric service to more,,,
,,,,,,,Mississippi: Arkansas: Texas:,"than 50,000 customers for 1",,,
2019,4,04/13/2019 6:15 PM,04/13/2019 11:15 PM,"5 Hours, 0 Minutes",Entergy Corp,SERC,Louisiana:,hour or more.-Severe Weather,,,60467
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,4,04/15/2019 4:35 AM,04/15/2019 2:40 PM,"10 Hours, 5 Minutes",Dominion Virginia Power,SERC,Virginia:,hour or more.-Severe Weather,,,75290
,,,,,,,,Loss of electric service to more,,,
,,,,,,,Alabama: Mississippi: Georgia:,"than 50,000 customers for 1",,,
2019,4,04/18/2019 7:55 PM,04/19/2019 5:29 PM,"21 Hours, 34 Minutes",Southern Company,SERC,Florida:,hour or more.-Severe Weather,116,,34695
"Table B.2 Major Disturbances and Unusual Occurrences, 2019",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,4,04/18/2019 8:08 PM,04/19/2019 11:00 AM,"14 Hours, 52 Minutes",Public Service Company of Colorado,WECC,Colorado: Clear Creek County;,,Interruption,0,0
,,,,,,,,Firm load shedding of 100,,,
,,,,,,,,Megawatts or more,,,
,,,,,,,,implemented under emergency,,,
,,,,,,,,operational policy.-Generation,,,
2019,4,04/25/2019 6:03 PM,04/25/2019 6:32 PM,"0 Hours, 29 Minutes",Salt River Project,WECC,Arizona: Maricopa County;,,Inadequacy,150,51366
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,4,04/26/2019 1:00 AM,04/26/2019 1:27 PM,"12 Hours, 27 Minutes",FirstEnergy Corp,RF,Pennsylvania:,,Interruption,7,5830
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Severe,,,
,,,,,,,Massachusetts: Hampden,Weather/Transmission,,,
2019,4,04/26/2019 3:16 PM,04/26/2019 3:17 PM,"0 Hours, 1 Minutes",ISO New England,NPCC,County[13];,,Interruption,0,0
,,,,,,,,Loss of electric service to more,,,
,,,,,,,North Carolina: South,"than 50,000 customers for 1",,,
2019,4,04/26/2019 5:46 PM,04/27/2019 11:49 AM,"18 Hours, 3 Minutes",Duke Energy Carolinas,SERC,Carolina:,hour or more.-Severe Weather,,,54071
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,4,04/28/2019 10:43 AM,04/29/2019 2:06 AM,"15 Hours, 23 Minutes",FirstEnergy Corp,RF,Ohio:,,Interruption,0,0
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Transmission,,,
2019,5,05/08/2019 9:22 AM,05/08/2019 9:56 AM,"0 Hours, 34 Minutes",PJM Interconnection,RF,Pennsylvania: Mercer County;,,Interruption,29,1
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,hour or more.-Severe,,,
,,,,,,,,Weather/Distribution,,,
2019,5,05/08/2019 3:50 PM,05/13/2019 12:00 AM,"104 Hours, 10 Minutes","Southwest Power Pool, Inc.",SPP RE,Louisiana: Texas:,,Interruption,,65844
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,5,05/09/2019 5:55 PM,05/11/2019 8:50 PM,"50 Hours, 55 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,hour or more.-Severe Weather,,691,238015
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Severe,,,
,,,,,,,,Weather/Transmission,,,
2019,5,05/09/2019 7:06 PM,05/10/2019 2:57 AM,"7 Hours, 51 Minutes","CenterPoint Energy Houston Electric, LLC",TRE,Texas: Harris County;,,Interruption,0,0
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,5,05/10/2019 2:00 AM,05/10/2019 12:15 PM,"10 Hours, 15 Minutes",Entergy Corp,TRE,Texas:,hour or more.-Severe Weather,,,61008
,,,,,,,"Texas: Ector County, Midland",,,,
,,,,,,,"County, Tarrant County,",,,,
,,,,,,,"Dallas County, Stephens",,,,
,,,,,,,"County, Anderson County,",,,,
,,,,,,,"McLennan County, Ellis",,,,
,,,,,,,"County, Hunt County, Young",,,,
,,,,,,,"County, Bell County,",,,,
,,,,,,,"Limestone County, Collin",,,,
,,,,,,,"County, Rockwall County,",,,,
,,,,,,,"Henderson County, Parker",,,,
,,,,,,,"County, Falls County,",,,,
,,,,,,,"Freestone County, Kaufman",Loss of electric service to more,,,
,,,,,,,"County, Grayson County,","than 50,000 customers for 1",,,
2019,5,05/18/2019 3:45 PM,05/20/2019 4:00 AM,"36 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,Smith County;,hour or more.-Severe Weather,,,68000
,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,"within its area, contrary to",,,
,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,Electric System Facilities,,,
,,,,,,,,caused by a common,,,
,,,,,,,,disturbance (excluding,,,
,,,,,,,,successful automatic,,,
,,,,,,,,reclosing).-Severe,,,
,,,,,,,,Weather/Transmission,,,
2019,5,05/23/2019 1:11 AM,05/23/2019 12:00 PM,"10 Hours, 49 Minutes",Northern Indiana Pub Serv Co,RF,Indiana:,,Interruption,0,0
,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"than 50,000 customers for 1",,,
2019,5,05/23/2019 4:55 PM,05/23/2019 11:40 PM,"6 Hours, 45 Minutes",Dominion Energy VA,SERC,Virginia:,hour or more.-Severe Weather,,,100000
,,,,,,,,Electrical System Separation,,,
,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,of power grid remain(s),,,
,,,,,,,,operational in an otherwise,,,
,,,,,,,,blocked out area or within the,,,
,,,,,,,,partial failure of an integrated,,,
,,,,,,,,electrical system-Severe,,,
2019,5,05/24/2019 9:47 PM,05/24/2019 11:58 PM,"2 Hours, 11 Minutes",Pacific Gas & Electric Co,WECC,California:,,Weather,20,10961
,,,,,,,,Loss of electric service to more,,,
,,,,,,,"Ohio: Montgomery County,","than 50,000 customers for 1",,,
,,,,,,,"Darke County, Mercer County,",hour or more.-Severe,,,
,,,,,,,"Miami County, Greene",Weather/Transmission,,,
2019,5,05/27/2019 10:07 PM,05/28/2019 3:00 AM,"4 Hours, 53 Minutes",Dayton Power & Light Co,RF,County;,,Interruption,347,70000
"Table B.2 Major Disturbances and Unusual Occurrences, 2019",,,,,,,,,,,,
,,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blocked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system.-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2019,6,06/02/2019 6:19 PM,06/02/2019 8:43 PM,,"2 Hours, 24 Minutes",Pacific Gas & Electric Co,WECC,California:,,Interruption,,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,6,06/06/2019 6:09 PM,06/06/2019 6:35 PM,,"0 Hours, 26 Minutes",CPS Energy,TRE,Texas: Bexar County;,hour or more.-Severe Weather,,55017,
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,6,06/07/2019 2:43 PM,06/07/2019 4:20 PM,,"1 Hours, 37 Minutes",American Electric Power - Texas,TRE,Texas: Pecos County;,,Interruption,8,1
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,6,06/08/2019 3:50 PM,06/08/2019 7:40 PM,,"3 Hours, 50 Minutes",Southwestern Public Service,TRE,Texas: Potter County;,,Interruption,0,0
,,,,,,,,"Texas: Collin County, Dallas",,,,
,,,,,,,,"County, Denton County, Palo",,,,
,,,,,,,,"Pinto County, Tarrant County,",Loss of electric service to more,,,
,,,,,,,,"Ellis County, Williamson","than 50,000 customers for 1",,,
2019,6,06/09/2019 2:45 PM,06/13/2019 10:30 PM,"103 Hours, 45 Minutes",,Oncor Electric Delivery Company LLC,TRE,County;,hour or more.-Severe Weather,,558000,
,,,,,,,,,Firm load shedding of 100,,,
,,,,,,,,,Megawatts or more,,,
,,,,,,,,,implemented under emergency,,,
,,,,,,,,"California: Imperial County,",operational policy.-Generation,,,
2019,6,06/12/2019 2:56 PM,06/12/2019 3:50 PM,,"0 Hours, 54 Minutes",Imperial Irrigation District,WECC,Riverside County;,,Inadequacy,982,30907
,,,,,,,,"Texas: Dallas County, Tarrant",Loss of electric service to more,,,
,,,,,,,,"County, Collin County, Denton","than 50,000 customers for 1",,,
2019,6,06/16/2019 2:00 AM,06/17/2019 11:59 PM,"45 Hours, 59 Minutes",,Oncor Electric Delivery Company LLC,TRE,County;,hour or more.-Severe Weather,,340000,
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2019,6,06/16/2019 3:25 AM,.,.,". Hours, . Minutes",American Electric Power - (SPP Reliability Region),SPP RE,Oklahoma:,,Interruption,,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,6,06/19/2019 10:30 PM,06/20/2019 7:00 PM,"20 Hours, 30 Minutes",,Entergy Corp,SPP RE,Arkansas:,hour or more.-Severe Weather,,82045,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,6,06/20/2019 4:11 PM,06/21/2019 12:45 PM,"20 Hours, 34 Minutes",,Dominion Energy VA,SERC,Virginia:,hour or more.-Severe Weather,,60000,
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blocked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system.-Severe,,,
2019,6,06/21/2019 7:15 PM,.,.,". Hours, . Minutes",Tennessee Valley Authority,SERC,Kentucky: Tennessee:,,Weather,50000,
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2019,6,06/22/2019 8:46 PM,06/23/2019 12:30 AM,,"3 Hours, 44 Minutes",Southern Company,SERC,Alabama: Georgia:,hour or more.-Severe Weather,115,34637,
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2019,6,06/23/2019 5:13 AM,06/23/2019 10:58 AM,,"5 Hours, 45 Minutes",Entergy - Transmission Operations Engineering,SPP RE,Arkansas:,,Interruption,47,16199
,,,,,,,,"Texas: Dallas County, Denton",,,,
,,,,,,,,"County, Ellis County, Collin",,,,
,,,,,,,,"County, Ellis County, Hood",Loss of electric service to more,,,
,,,,,,,,"County, Johnson County,","than 50,000 customers for 1",,,
