,Unnamed: 0,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
135,2019,11,11/01/2019 1:15 AM,11/02/2019 9:30 PM,"44 Hours, 15 Minutes",,ISO New England,NPCC,Connecticut: Maine: Massachusetts: Rhode Island: New Hampshire: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,80066,
136,2019,11,11/01/2019 2:41 AM,.,.,". Hours, . Minutes",New York State Electric & Gas,NPCC,New York: Broome County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,66325,
137,2019,11,11/03/2019 10:17 PM,11/04/2019 11:10 AM,"12 Hours, 53 Minutes",,Northern States Power Co,MRO,Minnesota: Sherburne County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",0,0,
138,2019,11,11/05/2019 8:56 AM,11/05/2019 11:51 AM,,"2 Hours, 55 Minutes",JEA,FRCC,Florida: Duval County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",1500,,
139,2019,11,11/08/2019 5:50 AM,11/08/2019 6:10 AM,,"0 Hours, 20 Minutes",Pacificorp,WECC,Utah: California: Oregon: Wyoming:,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.-System Operations,72,,
140,2019,11,11/20/2019 9:49 AM,11/20/2019 3:20 PM,,"5 Hours, 31 Minutes",Pacific Gas & Electric Co,WECC,"California: Colusa County, Lake County, Mendocino County, Napa County, Solano County, Sonoma County, Yolo County, Shasta County, Tehama County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Transmission Interruption",178,54000,
141,2019,11,11/26/2019 6:07 PM,11/27/2019 12:27 PM,"18 Hours, 20 Minutes",,Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",300,93000,
142,2019,11,11/27/2019 12:00 PM,11/30/2019 2:00 AM,,"62 Hours, 0 Minutes",Detroit Edison Co,RF,"Michigan: Tuscola County, Sanilac County, Huron County, St. Clair County, Macomb County, Oakland County, Wayne County, Livingston County, Washtenaw County, Monroe County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",30,107000,
143,,,,,,,Western Area Power Administration - Upper Great,,North Dakota: Burleigh,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission",,,
144,2019,12,12/11/2019 1:27 PM,12/11/2019 1:51 PM,,"0 Hours, 24 Minutes",Plains Region,MRO,County;,Interruption,18,1,
145,2019,12,12/16/2019 11:55 PM,12/17/2019 1:47 AM,,"1 Hours, 52 Minutes",American Electric Power - Texas,TRE,Texas:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",0,0,
146,2019,12,12/31/2019 11:03 AM,01/01/2020 10:59 AM,"23 Hours, 56 Minutes",,American Electric Power - Texas,TRE,Texas: Nueces County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.- Transmission Interruption,25,0,
