Year,Month,Event date and time,Restoration date and time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2018,3,03/01/2018 9:57 PM,03/02/2018 10:14 AM,"12 Hours, 17 Minutes",,The Illuminating Company,RF,Ohio:,hour or more-Severe Weather,,Unknown,86501
,,,,,,,,"Michigan: Wayne County,",,,,
,,,,,,,,"Washtenaw County, Oakland",Loss of electric service to more,,,
,,,,,,,,"County, Macomb County,","than 50,000 customers for 1",,,
2018,3,03/01/2018 10:20 PM,03/04/2018 8:00 PM,"69 Hours, 40 Minutes",,Detroit Edison Co,RF,Monroe County;,hour or more-Severe Weather,,Unknown,95000
,,,,,,,,"New York: Dutchess County,",,,,
,,,,,,,,"Orange County, Greene",,,,
,,,,,,,,"County, Ulster County, Putnam",,,,
,,,,,,,,"County, Sullivan County,",Loss of electric service to more,,,
,,,,,,,,"Albany County, Columbia","than 50,000 customers for 1",,,
2018,3,03/02/2018 7:00 AM,.,.,". Hours, . Minutes",Central Hudson Gas & Elec Corp,NPCC,County;,hour or more-Severe Weather,,Unknown,90000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,American Electric Power - (RFC Reliability Region),,,"than 50,000 customers for 1",,,
2018,3,03/02/2018 8:00 AM,03/03/2018 11:00 PM,,"39 Hours, 0 Minutes","(8400 Smiths Mill Road, New Albany Ohio 43054)",RF,Virginia: West Virginia:,hour or more-Severe Weather,,Unknown,65198
,,,,,,,,,Loss of electric service to more,,,
,,,,,,Niagara Mohawk Power Corporation (dba National,,,"than 50,000 customers for 1",,,
2018,3,03/02/2018 8:42 AM,.,.,". Hours, . Minutes",Grid),NPCC,New York:,hour or more-Severe Weather,,Unknown,63331
,,,,,,,,,,,3/26/2019 10:57:08 AM,
"Table B.2 Major Disturbances and Unusual Occurrences, 2018",,,,,,,,,,,,
,,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/02/2018 11:34 AM,.,.,". Hours, . Minutes",New York State Electric & Gas,NPCC,New York:,hour or more-Severe Weather,,Unknown,50000
,,,,,,,,"Pennsylvania: Berks County,",,,,
,,,,,,,,"Bucks County, Carbon County,",,,,
,,,,,,,,"Chester County, Clinton",,,,
,,,,,,,,"County, Columbia County,",,,,
,,,,,,,,"Cumberland County, Dauphin",,,,
,,,,,,,,"County, Juniata County,",,,,
,,,,,,,,"Lackawanna County, Lancaster",,,,
,,,,,,,,"County, Lebanon County,",,,,
,,,,,,,,"Lehigh County, Luzerne",Electrical System Separation,,,
,,,,,,,,"County, Lycoming County,",(Islanding) where part or parts,,,
,,,,,,,,"Monroe County, Montgomery",of a power grid remain(s),,,
,,,,,,,,"County, Montour County,",operational in an otherwise,,,
,,,,,,,,"Northampton County,",blacked out area or within the,,,
,,,,,,,,"Northumberland County, Pike",partial failure of an integrated,,,
,,,,,,,,"County, Schuylkill County,",electrical system-Severe,,,
2018,3,03/02/2018 11:58 AM,.,.,". Hours, . Minutes",PPL Electric Utilities Corp,RF,Snyder County;,,Weather,Unknown,126000
,,,,,,,,,Public appeal to reduce the use,,,
,,,,,,,,,of electricity for purposes of,,,
,,,,,,,,,maintaining the continuity of the,,,
,,,,,,,,,electric power system-Severe,,,
2018,3,03/02/2018 12:00 PM,.,.,". Hours, . Minutes",Baltimore Gas and Electric,RF,Maryland:,,Weather,670,474019
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/02/2018 12:00 PM,03/05/2018 12:00 AM,,"60 Hours, 0 Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,hour or more-Severe Weather,,Unknown,630000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/02/2018 1:51 PM,03/04/2018 12:11 PM,"46 Hours, 20 Minutes",,Metropolitan Edison Co,RF,Pennsylvania:,hour or more-Severe Weather,,Unknown,233136
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,Connecticut: Massachusetts:,"than 50,000 customers for 1",,,
2018,3,03/02/2018 1:51 PM,03/05/2018 1:18 PM,"71 Hours, 27 Minutes",,ISO New England,NPCC,Rhode Island:,hour or more-Severe Weather,,Unknown,325000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/02/2018 3:10 PM,03/06/2018 4:57 AM,"85 Hours, 47 Minutes",,Jersey Central Power & Lt Co,RF,Ohio:,hour or more-Severe Weather,,Unknown,249322
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,"New York: New York County,","than 50,000 customers for 1",,,
2018,3,03/02/2018 3:46 PM,03/04/2018 7:46 PM,,"52 Hours, 0 Minutes",Consolidated Edison Co-NY Inc,NPCC,Westchester County;,hour or more-Severe Weather,,Unknown,72353
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/02/2018 5:00 PM,03/06/2018 11:00 AM,,"90 Hours, 0 Minutes",Delmarva Power & Light Company,RF,Delaware: Maryland:,hour or more-Severe Weather,,Unknown,60000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/07/2018 12:00 PM,03/07/2018 5:00 PM,,"5 Hours, 0 Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,hour or more-Severe Weather,,Unknown,120000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,3,03/07/2018 4:10 PM,03/10/2018 11:32 AM,"67 Hours, 22 Minutes",,Jersey Central Power & Lt Co,RF,New Jersey:,hour or more-Severe Weather,,Unknown,216800
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
