,|Data Year|,|Utility Number|,|Utility Name|,|Short Form|,|State|,|County|
0,2022,97,Adams Electric Coop,Y,IL,Adams
1,2022,97,Adams Electric Coop,Y,IL,Brown
2,2022,97,Adams Electric Coop,Y,IL,Hancock
3,2022,97,Adams Electric Coop,Y,IL,McDonough
4,2022,97,Adams Electric Coop,Y,IL,Pike
5,2022,97,Adams Electric Coop,Y,IL,Schuyler
6,2022,229,City of Albany - (IL),Y,IL,Whiteside
7,2022,366,City of Allendale- (IL),Y,IL,Wabash
8,2022,406,City of Altamont - (IL),Y,IL,Effingham
9,2022,1325,City of Batavia - (IL),,IL,Kane
10,2022,1648,Village of Bethany - (IL),Y,IL,Moultrie
11,2022,2188,City of Breese - (IL),Y,IL,Clinton
12,2022,2634,City of Bushnell - (IL),Y,IL,McDonough
13,2022,2776,Cairo Public Utility Company,Y,IL,Alexander
14,2022,2776,Cairo Public Utility Company,Y,IL,Pulaski
15,2022,3037,City of Carlyle - (IL),Y,IL,Clinton
16,2022,3040,City of Carmi - (IL),Y,IL,White
17,2022,3153,City of Casey - (IL),Y,IL,Clark
18,2022,3405,Village of Chatham - (IL),Y,IL,Sangamon
19,2022,3726,Clay Electric Coop Inc,Y,IL,Clay
20,2022,3726,Clay Electric Coop Inc,Y,IL,Effingham
21,2022,3726,Clay Electric Coop Inc,Y,IL,Fayette
22,2022,3726,Clay Electric Coop Inc,Y,IL,Jasper
23,2022,3726,Clay Electric Coop Inc,Y,IL,Marion
24,2022,3726,Clay Electric Coop Inc,Y,IL,Richland
25,2022,3726,Clay Electric Coop Inc,Y,IL,Wayne
26,2022,3806,"Clinton County Elec Coop, Inc",Y,IL,Clinton
27,2022,3806,"Clinton County Elec Coop, Inc",Y,IL,Fayette
28,2022,3806,"Clinton County Elec Coop, Inc",Y,IL,Madison
29,2022,3806,"Clinton County Elec Coop, Inc",Y,IL,Marion
30,2022,3806,"Clinton County Elec Coop, Inc",Y,IL,St Clair
31,2022,3806,"Clinton County Elec Coop, Inc",Y,IL,Washington
32,2022,3931,Coles-Moultrie Electric Coop,,IL,Clark
33,2022,3931,Coles-Moultrie Electric Coop,,IL,Coles
34,2022,3931,Coles-Moultrie Electric Coop,,IL,Cumberland
35,2022,3931,Coles-Moultrie Electric Coop,,IL,Douglas
36,2022,3931,Coles-Moultrie Electric Coop,,IL,Edgar
37,2022,3931,Coles-Moultrie Electric Coop,,IL,Moultrie
38,2022,3931,Coles-Moultrie Electric Coop,,IL,Piatt
39,2022,3931,Coles-Moultrie Electric Coop,,IL,Shelby
40,2022,4110,Commonwealth Edison Co,,IL,Boone
41,2022,4110,Commonwealth Edison Co,,IL,Bureau
42,2022,4110,Commonwealth Edison Co,,IL,Carroll
43,2022,4110,Commonwealth Edison Co,,IL,Cook
44,2022,4110,Commonwealth Edison Co,,IL,DeKalb
45,2022,4110,Commonwealth Edison Co,,IL,DuPage
46,2022,4110,Commonwealth Edison Co,,IL,Ford
47,2022,4110,Commonwealth Edison Co,,IL,Grundy
48,2022,4110,Commonwealth Edison Co,,IL,Jo Daviess
49,2022,4110,Commonwealth Edison Co,,IL,Kane
50,2022,4110,Commonwealth Edison Co,,IL,Kankakee
51,2022,4110,Commonwealth Edison Co,,IL,Kendall
52,2022,4110,Commonwealth Edison Co,,IL,LaSalle
53,2022,4110,Commonwealth Edison Co,,IL,Lake
54,2022,4110,Commonwealth Edison Co,,IL,Lee
55,2022,4110,Commonwealth Edison Co,,IL,Livingston
56,2022,4110,Commonwealth Edison Co,,IL,Marshall
57,2022,4110,Commonwealth Edison Co,,IL,McHenry
