,Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential.1,Commercial.1,Industrial.1,Transportation.1,Total.1,Residential.2,Commercial.2,Industrial.2,Transportation.2,Total.2,Residential.3,Commercial.3,Industrial.3,Transportation.3,Total.3,Residential.4,Commercial.4,Industrial.4,Transportation.4,Total.4,Residential.5,Commercial.5,Industrial.5,Transportation.5,Total.5,Residential.6,Commercial.6,Industrial.6,Transportation.6,Total.6,Residential.7,Commercial.7,Industrial.7,Transportation.7,Total.7
0,2022,97.0,Adams Electric Coop,Cooperative,Y,IL,MISO,.,.,.,.,.,"11,751",228,.,.,"11,979",.,.,.,.,.,.,.,.,.,.,"11,751",228,0,0.0,"11,979","121,162","55,600",.,.,"176,762",.,.,.,.,.,.,.,.,.,.
1,2022,229.0,City of Albany - (IL),Municipal,Y,IL,MISO,453,33,.,.,486,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,453,33,0,0.0,486,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,2022,406.0,City of Altamont - (IL),Municipal,Y,IL,MISO,"1,344",164,0,.,"1,508",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"1,344",164,0,0.0,"1,508",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
3,2022,1325.0,City of Batavia - (IL),Municipal,,IL,PJM,"9,968",966,10,.,"10,944",.,.,.,.,.,.,.,.,.,.,5,389,31,.,425,"9,973","1,355",41,0.0,"11,369",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,2022,2188.0,City of Breese - (IL),Municipal,Y,IL,MISO,"2,096",306,.,.,"2,402",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,096",306,0,0.0,"2,402",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,2022,2776.0,Cairo Public Utility Company,Municipal,Y,IL,MISO,.,.,1,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,1,0.0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
6,2022,3037.0,City of Carlyle - (IL),Municipal,Y,IL,MISO,.,.,.,.,0,"1,702",299,.,.,"2,001",.,.,.,.,.,.,.,.,.,.,"1,702",299,0,0.0,"2,001","15,349","16,027",.,.,"31,376",.,.,.,.,.,.,.,.,.,.
7,2022,3153.0,City of Casey - (IL),Municipal,Y,IL,MISO,"1,529",292,0,.,"1,821",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"1,529",292,0,0.0,"1,821",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
8,2022,3405.0,Village of Chatham - (IL),Municipal,Y,IL,MISO,"6,311",264,7,.,"6,582",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"6,311",264,7,0.0,"6,582",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
9,2022,3726.0,Clay Electric Coop Inc,Cooperative,Y,IL,MISO,.,.,.,.,.,"2,980",298,.,.,"3,278",.,.,.,.,.,.,.,.,.,.,"2,980",298,0,0.0,"3,278","39,493","13,267",.,.,"52,760",.,.,.,.,.,.,.,.,.,.
10,2022,3806.0,"Clinton County Elec Coop, Inc",Cooperative,Y,IL,MISO,0,0,0,.,0,"5,277",924,0,.,"6,201",.,.,.,.,.,.,.,.,.,.,"5,277",924,0,0.0,"6,201","78,430","65,516",.,.,"143,946",.,.,.,.,.,.,.,.,.,.
11,2022,3931.0,Coles-Moultrie Electric Coop,Cooperative,,IL,MISO,.,.,.,.,.,"13,445","1,125",9,.,"14,579",.,.,.,.,.,6,1,1,.,8,"13,451","1,126",10,0.0,"14,587","121,304","50,948","32,031",.,"204,283","8,455","1,125",9,.,"9,589",0,0,0,0,0
12,2022,4110.0,Commonwealth Edison Co,Investor Owned,,IL,PJM,.,2,8,.,10,"3,733,014","460,419","14,555",160,"4,208,148","3,733,014","460,419","14,555",160,"4,208,148","4,423",448,355,1,"5,227","3,737,437","460,869","14,918",161.0,"4,213,385","27,543,872","29,544,762","25,804,021","431,805","83,324,460",.,.,.,.,.,"419,616",.,.,.,"419,616"
13,2022,4362.0,Corn Belt Energy Corporation,Cooperative,,IL,MISO,"34,398","2,406",3,.,"36,807",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"34,398","2,406",3,0.0,"36,807",.,.,.,.,.,.,.,.,.,.,"1,812",.,.,.,"1,812"
14,2022,5531.0,Enerstar Power Corp,Cooperative,Y,IL,MISO,"5,191",92,6,.,"5,289",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"5,191",92,6,0.0,"5,289",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15,2022,5535.0,Egyptian Electric Coop Assn,Cooperative,,IL,MISO,"13,682","1,696",.,.,"15,378",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"13,682","1,696",0,0.0,"15,378",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,2022,5585.0,Eastern Illinois Elec Coop,Cooperative,,IL,MISO,"11,167","2,344",15,.,"13,526",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"11,167","2,344",15,0.0,"13,526",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17,2022,6192.0,City of Farmer City - (IL),Municipal,Y,IL,MISO,"1,107",60,12,.,"1,179",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"1,107",60,12,0.0,"1,179",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
18,2022,6417.0,City of Flora - (IL),Municipal,Y,IL,MISO,0,0,0,.,0,"2,227",436,20,.,"2,683",.,.,.,.,.,.,.,.,.,.,"2,227",436,20,0.0,"2,683","21,572","19,295","62,562",.,"103,429",.,.,.,.,.,.,.,.,.,.
