,|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Installations.Residential|,|Photovoltaic.Installations.Commercial|,|Photovoltaic.Installations.Industrial|,|Photovoltaic.Installations.Transportation|,|Photovoltaic.Installations.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Installations.Residential|,|Photovoltaic.Storage Installations.Commercial|,|Photovoltaic.Storage Installations.Industrial|,|Photovoltaic.Storage Installations.Transportation|,|Photovoltaic.Storage Installations.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Installations.Residential|,|Wind.Installations.Commercial|,|Wind.Installations.Industrial|,|Wind.Installations.Transportation|,|Wind.Installations.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Installations.Residential|,|Other.Installations.Commercial|,|Other.Installations.Industrial|,|Other.Installations.Transportation|,|Other.Installations.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Installations.Residential|,|All Technologies.Installations.Commercial|,|All Technologies.Installations.Industrial|,|All Technologies.Installations.Transportation|,|All Technologies.Installations.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
0,2022,IL,3931.0,Coles-Moultrie Electric Coop,MISO,DC,0.679,0.463,.,.,1.142,72,6,.,.,78,.,.,.,.,0.000,.,.,.,.,0,0.669,.,.,.,0.669,71,.,.,.,71,.,.,.,.,0.000,0.010,.,.,.,0.010,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.358,0.463,0.000,0.000,1.821,144,6,0,0,150,0.000,0.000,0.000,0.000,0.000
1,2022,IL,4110.0,Commonwealth Edison Co,PJM,AC,240.341,163.863,.,.,404.204,"33,724",840,.,.,"34,564",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.166,3.138,.,.,3.304,32,13,.,.,45,.,.,.,.,0.000,.,0.375,.,.,0.375,.,1,.,.,1,.,.,.,.,0.000,240.507,167.376,0.000,0.000,407.883,"33,756",854,0,0,"34,610",0.000,0.000,0.000,0.000,0.000
2,2022,IL,4362.0,Corn Belt Energy Corporation,MISO,AC,6.625,4.100,.,.,10.725,504,31,.,.,535,0.074,.,.,.,0.074,13,.,.,.,13,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,2.620,.,2.620,.,.,1,.,1,.,.,.,.,0.000,6.625,4.100,2.620,0.000,13.345,504,31,1,0,536,0.000,0.000,0.000,0.000,0.000
3,2022,IL,5585.0,Eastern Illinois Elec Coop,MISO,AC,2.263,0.149,.,.,2.412,237,15,.,.,252,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,562.000",76.000,.,.,"1,638.000",0.010,.,.,.,0.010,1,.,.,.,1,0.320,.,.,.,0.320,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.273,0.149,0.000,0.000,2.422,238,15,0,0,253,"1,562.320",76.000,0.000,0.000,"1,638.320"
4,2022,IL,7096.0,City of Geneva- (IL),PJM,AC,0.230,0.070,.,.,0.300,29,2,.,.,31,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.230,0.070,0.000,0.000,0.300,29,2,0,0,31,0.000,0.000,0.000,0.000,0.000
5,2022,IL,9750.0,"Jo-Carroll Energy, Inc",MISO,AC,6.527,0.509,.,.,7.036,630,33,.,.,663,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.017,.,.,.,0.017,7,.,.,.,7,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,6.544,0.509,0.000,0.000,7.053,637,33,0,0,670,0.000,0.000,0.000,0.000,0.000
6,2022,IL,12341.0,MidAmerican Energy Co,MISO,AC,2.406,4.649,1.810,.,8.865,291,70,4,.,365,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,391.973,6.537,.,.,398.510,0.002,0.620,.,.,0.622,1,2,.,.,3,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.408,5.269,1.810,0.000,9.487,292,72,4,0,368,391.973,6.537,0.000,0.000,398.510
7,2022,IL,12395.0,Menard Electric Coop,MISO,DC,1.515,.,.,.,1.515,169,.,.,.,169,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,899.015,.,.,.,899.015,0.012,.,.,.,0.012,2,.,.,.,2,8.080,.,.,.,8.080,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.527,0.000,0.000,0.000,1.527,171,0,0,0,171,907.095,0.000,0.000,0.000,907.095
8,2022,IL,13032.0,Mt Carmel Public Utility Co,MISO,AC,0.412,0.141,.,.,0.553,36,7,.,.,43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.887,3.255,.,.,16.142,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.412,0.141,0.000,0.000,0.553,36,7,0,0,43,12.887,3.255,0.000,0.000,16.142
9,2022,IL,13208.0,City of Naperville - (IL),PJM,AC,4.752,1.453,.,.,6.205,629,20,.,.,649,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,4.752,1.453,0.000,0.000,6.205,629,20,0,0,649,0.000,0.000,0.000,0.000,0.000
10,2022,IL,13292.0,Norris Electric Coop,MISO,DC,2.056,0.380,.,.,2.436,146,5,.,.,151,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.022,.,.,.,0.022,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.078,0.380,0.000,0.000,2.458,148,5,0,0,153,0.000,0.000,0.000,0.000,0.000
11,2022,IL,14840.0,City of Peru - (IL),MISO,AC,0.016,0.321,0.000,.,0.337,4,3,0,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.000,0.000,0.000,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.016,0.321,0.000,0.000,0.337,4,3,0,0,7,0.000,0.000,0.000,0.000,0.000
12,2022,IL,16179.0,Rochelle Municipal Utilities,PJM,AC,0.070,0.370,.,.,0.440,7,3,.,.,10,0.067,.,.,.,0.067,3,.,.,.,3,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.070,0.370,0.000,0.000,0.440,7,3,0,0,10,0.000,0.000,0.000,0.000,0.000
