,Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
0,2022,1325,City of Batavia - (IL),IL,22,.
1,2022,3931,Coles-Moultrie Electric Coop,IL,50,0
2,2022,4110,Commonwealth Edison Co,IL,"5,618","1,832"
3,2022,4362,Corn Belt Energy Corporation,IL,144,81
4,2022,5535,Egyptian Electric Coop Assn,IL,68,64
5,2022,5585,Eastern Illinois Elec Coop,IL,75,75
6,2022,7096,City of Geneva- (IL),IL,33,.
7,2022,9750,"Jo-Carroll Energy, Inc",IL,90,2
8,2022,12341,MidAmerican Energy Co,IL,111,0
9,2022,12395,Menard Electric Coop,IL,60,36
10,2022,13032,Mt Carmel Public Utility Co,IL,15,6
11,2022,13208,City of Naperville - (IL),IL,117,117
12,2022,13292,Norris Electric Coop,IL,119,.
13,2022,14840,City of Peru - (IL),IL,20,13
14,2022,16179,Rochelle Municipal Utilities,IL,23,6
15,2022,16196,Rock Energy Cooperative,IL,23,19
16,2022,16740,Scenic Rivers Energy Coop,IL,4,.
17,2022,17040,"Shelby Electric Coop, Inc",IL,62,.
18,2022,17585,"Southeastern IL Elec Coop, Inc",IL,131,1
19,2022,17697,Southwestern Electric Coop Inc - (IL),IL,90,0
20,2022,17828,City of Springfield - (IL),IL,117,117
21,2022,17860,City of St Charles - (IL),IL,52,0
22,2022,18955,"Tri-County Electric Coop, Inc (IL)",IL,86,86
23,2022,20222,Wayne-White Counties Elec Coop,IL,67,0
24,2022,56697,Ameren Illinois Company,IL,"2,768",505
