Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,RESIDENTIAL,Unnamed: 8,Unnamed: 9,COMMERCIAL,Unnamed: 11,Unnamed: 12,INDUSTRIAL,Unnamed: 14,Unnamed: 15,TRANSPORTATION,Unnamed: 17,Unnamed: 18,TOTAL,Unnamed: 20,Unnamed: 21
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2016,59371,12 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,165,2492,1,0,0,0,0,0,0,165,2492,1
2016,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0,0,0,0,0,0,587,5051,1,0,0,0,587,5051,1
2016,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0,0,0,0,0,0,304,2659,1,0,0,0,304,2659,1
2016,59365,24 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,144,1667,1,0,0,0,0,0,0,144,1667,1
2016,59485,"265 Pleasant Solar NG, LLC",59254,NuGen Capital Management,MA,ISNE,0,0,0,245,1500,1,0,0,0,0,0,0,245,1500,1
2016,61224,"350 Clark Solar, NG, LLC",60857,"350 Clark Solar NG, LLC",MA,,0,0,0,368,2167,1,0,0,0,0,0,0,368,2167,1
2016,59370,4 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,151,2265,1,0,0,0,0,0,0,151,2265,1
2016,61237,"433 Purchase Solar NG, LLC",60858,"433 Purchase Solar NG, LLC",MA,ISNE,0,0,0,390,4219,1,0,0,0,0,0,0,390,4219,1
2016,57640,500 Virginia Solar,56971,"500 Virginia Solar, LP",PA,PJM,0,0,0,95,1238,1,0,0,0,0,0,0,95,1238,1
2016,59046,651 Chase Solar NG,58879,651 Chase Solar NG LLC,MA,ISNE,0,0,0,709,4200,1,0,0,0,0,0,0,709,4200,1
2016,58798,"AC Criminal Courts Complex SPE2, LLC",58661,"Sustainable Power Group, LLC",NJ,PJM,0,0,0,206,1916,1,0,0,0,0,0,0,206,1916,1
2016,57845,AC Landfill Energy LLC,57173,AC Landfill Energy LLC,NJ,PJM,0,0,0,0,0,0,364,3915,1,0,0,0,364,3915,1
2016,60802,ACCC Mays Landing,56997,Marina Energy LLC,NJ,PJM,0,0,0,171,2024,1,0,0,0,0,0,0,171,2024,1
2016,60986,AIS Solar Project,57081,"WGL Energy Systems, Inc",MN,,0,0,0,863,13,1,0,0,0,0,0,0,863,13,1
2016,59543,Acton Solar Landfill,59286,Heliovaas LLC,MA,ISNE,0,0,0,222,2123,1,0,0,0,0,0,0,222,2123,1
2016,60772,Adams Ave MS and HS,56997,Marina Energy LLC,NJ,PJM,0,0,0,432,4859,1,0,0,0,0,0,0,432,4859,1
2016,60684,Amphitheater High School Solar,60404,"Constellation Solar Arizona 2, LLC",AZ,TEPC,0,0,0,5,77,1,0,0,0,0,0,0,5,77,1
2016,59331,Anheuser-Busch #2,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0,0,0,0,0,0,299,3936,1,0,0,0,299,3936,1
2016,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0,0,0,142,2115,1,0,0,0,0,0,0,142,2115,1
2016,60662,Archdiocese of Baltimore J,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,190,1497,1,0,0,0,0,0,0,190,1497,1
2016,60663,Archdiocese of Baltimore L,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,190,1659,1,0,0,0,0,0,0,190,1659,1
2016,57765,Arizona Western College PV,58863,Main Street Power,AZ,AZPS,0,0,0,676,9854,1,0,0,0,0,0,0,676,9854,1
2016,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0,0,0,0,0,0,2722,161070,1,0,0,0,2722,161070,1
2016,56900,Atlantic City Convention Center,14405,Power Choice/Pepco Energy Serv,NJ,PJM,0,0,0,444,3062,1,0,0,0,0,0,0,444,3062,1
2016,58360,Atlantic Coast Freezers Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,241,3439,1,0,0,0,0,0,0,241,3439,1
2016,60227,BJ's Wholesale Club Inc Dist Center,60947,Tesla Inc.,NJ,PJM,0,0,0,20,299,1,0,0,0,0,0,0,20,299,1
2016,60067,BWC Swan Pond River,59805,"BWC Swan Pond River, LLC",MA,ISNE,0,0,0,310,3194,2,0,0,0,0,0,0,310,3194,2
2016,60664,Baltimore City B,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,267,3212,1,0,0,0,0,0,0,267,3212,1
2016,60665,Baltimore City D,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,259,3209,1,0,0,0,0,0,0,259,3209,1
2016,60666,Baltimore City F,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,257,3234,1,0,0,0,0,0,0,257,3234,1
2016,60667,Baltimore City G,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,257,3343,1,0,0,0,0,0,0,257,3343,1
2016,59766,Barre II Solar Project,59232,Kearsarge Solar LLC,MA,ISNE,0,0,0,320,2543,2,0,0,0,0,0,0,320,2543,2
2016,10298,Bayou Cogen Plant,327,Air Liquide Large Industries U S LP,TX,ERCO,0,0,0,0,0,0,6270,249789,1,0,0,0,6270,249789,1
2016,55327,Baytown Energy Center,2838,Baytown Energy Center LLC,TX,ERCO,0,0,0,0,0,0,43425,1607798,1,0,0,0,43425,1607798,1
2016,60653,Belchertown,60281,"Altus Power America Management, LLC",MA,ISNE,70,536,85,63,515,1,0,0,0,0,0,0,133,1051,86
2016,58403,Bellingham PV,57081,"WGL Energy Systems, Inc",MA,ISNE,0,0,0,459,4557,1,0,0,0,0,0,0,459,4557,1
2016,57733,Benjamin Moore & Co. Solar,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0,0,0,0,0,0,73,2157,1,0,0,0,73,2157,1
2016,58624,Berkshire 1,58578,PPS Berkshire Solar LLC,MA,ISNE,0,0,0,276,2571,1,0,0,0,0,0,0,276,2571,1
2016,59097,Berry Plastics Solar,56997,Marina Energy LLC,NJ,PJM,0,0,0,0,0,0,905,16159,1,0,0,0,905,16159,1
