Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number of,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Types of Program,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2016,55,City of Aberdeen - (MS),MS,0,16,1,0,17,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,84,A & N Electric Coop,VA,4,.,.,.,4,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,97,Adams Electric Coop,IL,35,5,.,.,40,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,108,Adams-Columbia Electric Coop,WI,440,105,.,.,545,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,162,Aiken Electric Coop Inc,SC,0,43,.,.,43,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,195,Alabama Power Co,AL,678,3732,1111,0,5521,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
2016,213,Alaska Electric Light&Power Co,AK,52,3,.,.,55,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,240,Albemarle Electric Member Corp,NC,5,4,.,.,9,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,241,Albertville Municipal Utilities Board,AL,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,276,Alcorn County Elec Power Assn,MS,0,1,4,0,5,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,307,Algoma Utility Comm,WI,2,4,3,0,9,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,407,Altamaha Electric Member Corp,GA,.,.,203,.,203,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2016,571,City of Amory,MS,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,590,City of Anaheim - (CA),CA,.,43,13,.,56,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,636,City of Anderson - (IN),IN,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,691,City of Anoka,MN,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2016,727,Appalachian Electric Coop,TN,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,733,Appalachian Power Co,VA,1335,607,25,0,1967,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,733,Appalachian Power Co,WV,266,276,9,0,551,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,803,Arizona Public Service Co,AZ,545666,.,.,.,545666,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,814,Entergy Arkansas Inc,AR,49,405,278,.,732,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,887,"Arrowhead Electric Coop, Inc",MN,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,944,City of Athens - (AL),AL,0,4,2,0,6,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,947,Athens Utility Board,TN,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,994,City of Auburn - (IN),IN,0,0,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1009,City of Austin - (MN),MN,0,9,0,0,9,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1015,Austin Energy,TX,70,44,44,.,158,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2016,1050,City of Azusa,CA,.,9,20,.,29,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1167,Baltimore Gas & Electric Co,MD,1076628,.,.,.,1076628,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2016,1175,"Bandera Electric Coop, Inc",TX,1191,.,.,.,1191,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1181,Village of Bangor - (WI),WI,0,1,2,.,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1192,City of Banning - (CA),CA,0,0,11,0,11,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1283,Bartholomew County Rural E M C,IN,248,.,.,.,248,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1366,City of Bay City - (MI),MI,0,21,16,0,37,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1529,"Beltrami Electric Coop, Inc",MN,0,28,0,0,28,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2016,1578,Benton County,TN,0,110,2,0,112,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1591,"Big Country Electric Coop, Inc",TX,0,0,18,0,18,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1613,Berkeley Electric Coop Inc,SC,.,4,.,.,4,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1675,Big Horn Rural Electric Co,WY,2,3,.,.,5,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1769,"Black Hills Electric Coop, Inc",SD,8277,1151,81,.,9509,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1776,City of Black River Falls,WI,0,12,0,0,12,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1884,BENCO Electric Cooperative,MN,57,.,.,.,57,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1889,Blue Ridge Elec Member Corp - (NC),NC,52,13,.,.,65,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,1997,City of Boscobel - (WI),WI,0,7,1,0,8,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2008,City of Boulder City - (NV),NV,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2056,City of Bowling Green - (KY),KY,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2192,Bremen Electric Light & Power Co,IN,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2212,"Broad River Electric Coop, Inc",NC,7,.,.,.,7,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2247,City of Bristol - (TN),TN,0,0,3,0,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2248,Bristol Virginia Utilities,VA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2273,Brodhead Water & Lighting Comm,WI,1,1,2,0,4,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2411,City of Brownsville,TN,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2439,City of Bryan - (OH),OH,.,4,6,.,10,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2442,City of Bryan - (TX),TX,.,26,.,.,26,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2507,City of Burbank Water and Power,CA,127,1259,.,.,1386,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2548,City of Burlington Electric - (VT),VT,37,9,10,0,56,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,6585,776,4,.,7365,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2016,2651,Butler Rural Electric Coop Inc - (OH),OH,.,1,2,.,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N
2016,2830,Calpine Power America LLC,ME,.,.,1,.,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2830,Calpine Power America LLC,TX,.,.,12,.,12,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2849,Central Electric Power Assn - (MS),MS,0,1,5,0,6,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2960,"Caney Fork Electric Coop, Inc",TN,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,2998,"Carbon Power & Light, Inc",WY,428,71,4,0,503,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,3046,Duke Energy Progress - (NC),NC,24159,19836,1287,.,45282,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2016,3046,Duke Energy Progress - (NC),SC,1713,5706,185,.,7604,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
