,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
0,2016,97.0,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,16207,111299,8513,5422,52985,221,.,.,.,.,.,.,21629,164284,8734
1,2016,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,PJM,128767.4,1822414,191905,59612.9,714836,682,2767.9,29536,2,0,0,0,191148.2,2566786,192589
2,2016,970.0,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,259150.3,4703571,495297,155271.8,2429542,2318,98186,2427964,127,1944,23489,1,514552.1,9584566,497743
3,2016,1325.0,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,12880,91331,9564,18396,154699,1335,17929,188972,10,.,.,.,49205,435002,10909
4,2016,1611.0,"Linde Energy Services, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,0,0,0,11237,259651,4,0,0,0,11237,259651,4
5,2016,3806.0,"Clinton County Elec Coop, Inc",A,Bundled,O,IL,Cooperative,MISO,11155,85889,5277,5544,54718,708,.,.,.,.,.,.,16699,140607,5985
6,2016,3931.0,Coles-Moultrie Electric Coop,A,Bundled,O,IL,Cooperative,MISO,15437,120833,8525,5652,48019,1035,2985,33343,8,.,.,.,24074,202195,9568
7,2016,4100.0,"Commerce Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,22827.2,270040,34103,312.6,3976,220,0,0,0,0,0,0,23139.8,274016,34323
8,2016,4110.0,Commonwealth Edison Co,A,Bundled,O,IL,Investor Owned,PJM,1929294,15764909,2178076,735693.1,8093438,190954,65723.7,1234642,138,0,0,0,2730710.8,25092989,2369168
9,2016,4110.0,Commonwealth Edison Co,C,Delivery,O,IL,Investor Owned,PJM,673303.1,12024728,1396443,620678.5,24678184,186446,396102.6,26607299,1848,7167.7,500212,2,1697251.9,63810423,1584739
10,2016,4191.0,Consolidated Edison Sol Inc,B,Energy,O,IL,Retail Power Marketer,PJM,833.9,12906,1104,21425.4,367093,1724,0,0,0,0,0,0,22259.3,379999,2828
11,2016,4362.0,Corn Belt Energy Corporation,A,Bundled,O,IL,Cooperative,MISO,53623.6,397887,33576,21478.2,180654,2093,4964.4,73349,5,.,.,.,80066.2,651890,35674
12,2016,5470.0,ConocoPhillips Company,B,Energy,O,IL,Retail Power Marketer,MISO,0,0,0,0,0,0,18132.1,574596,2,0,0,0,18132.1,574596,2
13,2016,5535.0,Egyptian Electric Coop Assn,A,Bundled,O,IL,Cooperative,MISO,25185.5,192982,13698,13333.9,138188,1294,.,.,.,.,.,.,38519.4,331170,14992
14,2016,5585.0,Eastern Illinois Elec Coop,A,Bundled,O,IL,Cooperative,MISO,25409,177862,11259,6974,53641,2230,749,7367,3,.,.,.,33132,238870,13492
15,2016,6417.0,City of Flora - (IL),A,Bundled,O,IL,Municipal,MISO,3118,22579,2370,2715,22960,423,7021,74115,10,.,.,.,12854,119654,2803
16,2016,6458.0,First Energy Solutions Corp.,B,Energy,O,IL,Retail Power Marketer,MISO,52882.2,844411,85857,25644,506576,4413,5329.8,132117,12,0,0,0,83856,1483104,90282
17,2016,7096.0,City of Geneva- (IL),A,Bundled,O,IL,Municipal,PJM,9961.8,83282,9354,14910.5,142263,1550,15177.3,173417,41,.,.,.,40049.6,398962,10945
