,date,county,max_num_people_out,duration,customer_mins,wind_speed_mph
0,04/08/2020,Adams,45.0,375.0,3540.0,52.00
1,06/21/2020,Adams,442.0,450.0,58575.0,56.00
2,11/10/2020,Adams,506.0,255.0,77340.0,50.00
3,07/15/2020,Bond,245.0,90.0,13800.0,56.00
4,08/10/2020,Boone,2437.0,180.0,253275.0, 
5,11/10/2020,Boone,411.0,195.0,30030.0,61.00
6,04/28/2020,Bureau,2.0,915.0,1035.0,52.00
7,05/14/2020,Bureau,299.0,405.0,9450.0,52.00
8,06/03/2020,Bureau,194.0,1500.0,18735.0,60.00
9,07/11/2020,Bureau,6.0,1110.0,2820.0,61.00
10,07/19/2020,Bureau,221.0,450.0,13275.0,65.00
11,08/10/2020,Bureau,7121.0,270.0,1249545.0,87.00
12,05/23/2020,Carroll,31.0,45.0,1395.0, 
13,05/26/2020,Carroll,8.0,60.0,375.0,65.00
14,08/10/2020,Carroll,4732.0,360.0,976485.0,70.00
15,04/08/2020,Champaign,670.0,615.0,39330.0,61.00
16,05/25/2020,Champaign,20.0,825.0,5190.0,52.00
17,06/09/2020,Champaign,1296.0,900.0,92775.0,43.00
18,06/20/2020,Champaign,187.0,630.0,15315.0,52.00
19,07/11/2020,Champaign,1804.0,450.0,124410.0,52.00
20,07/19/2020,Champaign,69.0,540.0,10755.0,52.00
21,07/21/2020,Champaign,311.0,675.0,47805.0,52.00
22,08/10/2020,Champaign,5667.0,615.0,841935.0,52.00
23,09/08/2020,Champaign,87.0,345.0,4650.0,52.00
24,04/08/2020,Christian,10.0,120.0,960.0,61.00
25,06/20/2020,Christian,199.0,90.0,11145.0,52.00
26,07/11/2020,Christian,1.0,135.0,135.0,52.00
27,07/21/2020,Christian,247.0,285.0,18465.0,52.00
28,05/27/2020,Clinton,28.0,30.0,435.0, 
29,07/15/2020,Clinton,10.0,45.0,450.0,56.00
30,04/08/2020,Coles,145.0,120.0,4305.0,52.00
31,07/21/2020,Coles,340.0,435.0,18195.0,52.00
32,06/09/2020,Cook,31346.0,1290.0,5076090.0,55.00
33,06/10/2020,Cook,21428.0,1290.0,9388635.0,55.00
34,06/22/2020,Cook,1007.0,1245.0,256935.0,50.00
35,06/26/2020,Cook,316.0,1245.0,133200.0,50.00
36,07/07/2020,Cook,2255.0,1350.0,675090.0,50.00
37,07/09/2020,Cook,1448.0,1290.0,611775.0,50.00
38,07/19/2020,Cook,15705.0,1335.0,4306965.0,55.00
39,08/10/2020,Cook,209415.0,1245.0,19259235.0,60.00
40,11/10/2020,Cook,812.0,1260.0,173670.0,57.00
41,04/08/2020,Crawford,1.0,240.0,240.0,61.00
42,04/08/2020,De Witt,2412.0,90.0,146160.0,61.00
43,07/11/2020,De Witt,7.0,810.0,1155.0,61.00
44,08/10/2020,De Witt,77.0,780.0,6000.0,52.00
45,04/08/2020,Douglas,344.0,45.0,5490.0,61.00
46,05/25/2020,Douglas,14.0,120.0,1680.0,52.00
47,04/08/2020,Edgar,3.0,15.0,45.0,61.00
48,06/03/2020,Edgar,8.0,165.0,1215.0,52.00
49,07/08/2020,Edgar,18.0,375.0,5460.0,52.00
50,07/11/2020,Edgar,3.0,15.0,45.0,52.00
51,07/19/2020,Edgar,3.0,120.0,255.0,52.00
52,08/10/2020,Edgar,802.0,75.0,26955.0,52.00
53,04/13/2020,Edwards,598.0,375.0,107070.0,35.00
54,10/23/2020,Edwards,11.0,240.0,855.0,52.00
55,11/15/2020,Edwards,62.0,105.0,3285.0,42.00
56,04/08/2020,Effingham,8.0,105.0,225.0,61.00
57,07/19/2020,Effingham,25.0,285.0,3405.0,52.00
58,07/15/2020,Fayette,128.0,120.0,3750.0,61.00
59,08/10/2020,Fayette,44.0,90.0,3960.0,56.00
60,06/09/2020,Ford,6.0,615.0,1290.0, 
61,03/12/2020,Franklin,55.0,240.0,2415.0,65.00
62,04/13/2020,Franklin,20.0,345.0,2580.0,35.00
63,05/24/2020,Franklin,18.0,225.0,1350.0,50.00
64,05/25/2020,Franklin,69.0,465.0,7035.0,52.00
65,08/10/2020,Franklin,433.0,405.0,46155.0,56.00
66,11/14/2020,Franklin,7.0,810.0,1065.0,39.00
67,12/27/2020,Franklin,427.0,435.0,17370.0,35.00
68,05/25/2020,Fulton,10.0,255.0,480.0,52.00
69,07/09/2020,Fulton,1.0,105.0,105.0,52.00
70,08/10/2020,Fulton,1425.0,375.0,216015.0,52.00
71,01/10/2020,Gallatin,3.0,30.0,75.0,35.00
72,04/13/2020,Gallatin,2.0,300.0,420.0,35.00
73,07/21/2020,Greene,340.0,465.0,14775.0,61.00
74,05/23/2020,Grundy,11.0,345.0,1725.0, 
75,06/26/2020,Grundy,219.0,315.0,49665.0,62.00
76,07/19/2020,Grundy,900.0,495.0,261885.0,50.00
77,08/10/2020,Grundy,2121.0,150.0,248445.0,65.00
78,03/19/2020,Hamilton,26.0,195.0,1095.0, 
79,04/13/2020,Hamilton,64.0,1965.0,14235.0,35.00
80,08/10/2020,Hamilton,12.0,15.0,180.0,56.00
81,11/10/2020,Hancock,50.0,165.0,4590.0,52.00
82,07/19/2020,Henderson,429.0,525.0,169890.0,65.00
83,11/10/2020,Henderson,1257.0,480.0,376365.0,52.00
84,03/28/2020,Henry,6.0,30.0,105.0, 
85,05/14/2020,Henry,117.0,465.0,6525.0, 
86,06/04/2020,Henry,56.0,435.0,4410.0,56.00
87,06/21/2020,Henry,67.0,600.0,12540.0,56.00
88,06/26/2020,Henry,63.0,210.0,6525.0,55.00
89,07/08/2020,Henry,829.0,240.0,62040.0,61.00
90,07/11/2020,Henry,34.0,480.0,2010.0,78.00
91,07/19/2020,Henry,1453.0,885.0,311490.0,52.00
