,date,county,max_num_people_out,duration,customer_mins,wind_speed_mph
103,02/14/2021,Jackson,889.0,1335.0,151650.0, 
104,02/16/2021,Jackson,1.0,2205.0,2205.0, 
105,03/10/2021,Jackson,136.0,1410.0,7170.0,43.00
106,04/09/2021,Jackson,9.0,270.0,1935.0,52.00
107,04/27/2021,Jackson,333.0,795.0,40980.0,40.00
108,05/09/2021,Jackson,51.0,195.0,3555.0,39.00
109,07/10/2021,Jackson,1632.0,255.0,64065.0,61.00
110,10/11/2021,Jackson,359.0,330.0,15975.0,35.00
111,12/05/2021,Jackson,22.0,45.0,990.0,61.00
112,12/10/2021,Jackson,610.0,570.0,93990.0,56.00
113,12/15/2021,Jackson,8.0,240.0,915.0,42.00
114,12/24/2021,Jackson,80.0,30.0,2400.0,39.00
115,02/14/2021,Jefferson,133.0,270.0,21930.0, 
116,02/16/2021,Jefferson,12259.0,435.0,2114025.0, 
117,03/10/2021,Jefferson,6.0,180.0,630.0,36.00
118,05/27/2021,Jefferson,262.0,240.0,16305.0,56.00
119,06/20/2021,Jo Daviess,12.0,150.0,1080.0,52.00
120,08/24/2021,Jo Daviess,121.0,165.0,8595.0,61.00
121,10/10/2021,Jo Daviess,116.0,180.0,3000.0,60.00
122,12/15/2021,Jo Daviess,5.0,60.0,165.0,63.00
123,02/14/2021,Johnson,12.0,150.0,1800.0, 
124,02/16/2021,Johnson,24.0,120.0,2355.0, 
125,05/27/2021,Johnson,1.0,405.0,405.0,52.00
126,02/14/2021,Kane,54.0,2070.0,12270.0, 
127,04/29/2021,Kane,135.0,765.0,20985.0,50.00
128,06/20/2021,Kane,7.0,765.0,3105.0,52.00
129,07/29/2021,Kane,4435.0,1170.0,1470075.0,55.00
130,08/08/2021,Kane,423.0,435.0,19605.0,55.00
131,08/09/2021,Kane,197.0,1185.0,33765.0, 
132,08/10/2021,Kane,223.0,1245.0,31140.0,50.00
133,08/11/2021,Kane,23054.0,1365.0,14949945.0,56.00
134,08/24/2021,Kane,887.0,405.0,30255.0,60.00
135,12/15/2021,Kane,353.0,1215.0,11490.0,60.00
136,02/14/2021,Kankakee,53.0,135.0,2250.0, 
137,08/12/2021,Kankakee,721.0,1635.0,157365.0,65.00
138,09/07/2021,Kankakee,1324.0,315.0,198570.0,52.00
139,12/10/2021,Kankakee,1071.0,240.0,30960.0,60.00
140,08/11/2021,Kendall,4940.0,1215.0,1475280.0,60.00
141,09/07/2021,Kendall,534.0,240.0,69465.0,60.00
142,06/18/2021,Knox,184.0,450.0,15825.0, 
143,02/14/2021,Lake,107.0,1425.0,16605.0, 
144,03/10/2021,Lake,292.0,645.0,15255.0,50.00
145,03/11/2021,Lake,509.0,1020.0,39750.0,52.00
146,04/29/2021,Lake,39.0,420.0,4365.0,55.00
147,07/29/2021,Lake,3943.0,1020.0,1540140.0,50.00
148,08/10/2021,Lake,197.0,1065.0,24660.0,52.00
149,08/11/2021,Lake,42379.0,1425.0,34392285.0,50.00
150,09/07/2021,Lake,8553.0,840.0,1761660.0,60.00
151,12/15/2021,Lake,2453.0,780.0,95445.0,55.00
152,06/19/2021,Lawrence,266.0,450.0,60675.0,52.00
153,08/09/2021,Lee,12.0,345.0,2445.0, 
154,08/11/2021,Lee,9310.0,1275.0,4034655.0,50.00
155,08/23/2021,Lee,48.0,240.0,5400.0,60.00
156,02/14/2021,Livingston,4.0,7410.0,29640.0, 
157,03/15/2021,Livingston,1071.0,600.0,266145.0,60.00
158,06/26/2021,Livingston,403.0,900.0,40320.0, 
159,09/07/2021,Livingston,648.0,150.0,49800.0,60.00
160,12/10/2021,Livingston,16.0,405.0,2985.0,50.00
161,06/26/2021,Logan,303.0,930.0,76155.0, 
162,06/25/2021,Macon,229.0,795.0,31110.0, 
163,06/26/2021,Macon,313.0,1035.0,47385.0,52.00
164,12/10/2021,Macon,67.0,1335.0,6360.0,61.00
165,05/27/2021,Macoupin,66.0,390.0,6975.0,61.00
166,06/24/2021,Macoupin,44.0,315.0,4560.0, 
167,03/27/2021,Madison,71.0,210.0,4440.0,65.00
168,05/27/2021,Madison,1602.0,1155.0,119730.0,61.00
169,07/09/2021,Madison,53.0,855.0,13290.0,52.00
170,08/12/2021,Madison,34.0,1155.0,6855.0,61.00
171,09/14/2021,Madison,802.0,675.0,36840.0,52.00
172,12/10/2021,Madison,2.0,120.0,165.0, 
