,date,county,max_num_people_out,duration,customer_mins,wind_speed_mph
0,05/22/2019,Adams,8.0,45.0,360.0,63.00
1,06/21/2019,Adams,44.0,315.0,3090.0,56.00
2,07/17/2019,Adams,2179.0,315.0,151590.0,70.00
3,09/27/2019,Adams,6.0,60.0,270.0,52.00
4,11/27/2019,Adams,3603.0,840.0,514755.0,35.00
5,04/11/2019,Alexander,224.0,390.0,52860.0,35.00
6,11/26/2019,Alexander,4.0,60.0,240.0,35.00
7,01/29/2019,Boone,13.0,105.0,1365.0, 
8,02/24/2019,Boone,84.0,450.0,9315.0,50.00
9,11/27/2019,Brown,2.0,720.0,1080.0,35.00
10,01/29/2019,Bureau,29.0,435.0,1185.0, 
11,02/24/2019,Bureau,760.0,915.0,130830.0,50.00
12,06/04/2019,Bureau,69.0,165.0,2220.0,61.00
13,06/30/2019,Bureau,576.0,270.0,49845.0,50.00
14,06/01/2019,Calhoun,15.0,1065.0,10680.0,61.00
15,01/29/2019,Carroll,17.0,180.0,2310.0, 
16,02/24/2019,Carroll,1.0,19365.0,19365.0,38.00
17,06/30/2019,Carroll,24.0,225.0,4950.0,56.00
18,09/03/2019,Carroll,28.0,435.0,5160.0,56.00
19,02/01/2019,Cass,1.0,30.0,30.0, 
20,05/22/2019,Cass,1.0,1515.0,1515.0,52.00
21,11/27/2019,Cass,21.0,855.0,3960.0,35.00
22,02/24/2019,Champaign,849.0,975.0,132675.0,52.00
23,05/19/2019,Champaign,40.0,540.0,6990.0,52.00
24,05/23/2019,Champaign,5077.0,1170.0,1721745.0,52.00
25,05/26/2019,Champaign,3647.0,1095.0,1268745.0,52.00
26,06/30/2019,Champaign,8370.0,675.0,1009485.0,61.00
27,07/03/2019,Champaign,279.0,1080.0,36810.0,52.00
28,07/14/2019,Champaign,44.0,690.0,6420.0,66.00
29,08/08/2019,Champaign,50.0,810.0,8310.0,52.00
30,08/20/2019,Champaign,2412.0,930.0,405405.0,52.00
31,09/29/2019,Champaign,188.0,750.0,18570.0,52.00
32,11/27/2019,Champaign,416.0,1005.0,38670.0,35.00
33,06/05/2019,Christian,27.0,135.0,1770.0,52.00
34,08/12/2019,Christian,9.0,105.0,930.0, 
35,11/27/2019,Christian,212.0,690.0,36165.0,35.00
36,06/16/2019,Clark,46.0,195.0,5280.0,52.00
37,03/14/2019,Clay,386.0,105.0,17250.0,56.00
38,05/23/2019,Clay,6.0,1050.0,1350.0, 
39,08/20/2019,Clay,3.0,225.0,675.0,52.00
40,05/21/2019,Clinton,345.0,285.0,40815.0,56.00
41,05/23/2019,Clinton,1959.0,570.0,643860.0,61.00
42,06/30/2019,Coles,435.0,210.0,24105.0,52.00
43,08/17/2019,Coles,34.0,360.0,5805.0,52.00
44,08/20/2019,Coles,285.0,330.0,10455.0,52.00
45,11/27/2019,Coles,1400.0,840.0,77535.0,35.00
46,01/29/2019,Cook,315.0,750.0,27015.0, 
47,02/24/2019,Cook,6830.0,840.0,2046555.0,54.00
48,03/14/2019,Cook,5768.0,795.0,623685.0,52.00
49,05/19/2019,Cook,1998.0,795.0,290370.0,61.00
50,05/27/2019,Cook,9994.0,855.0,1392585.0,55.00
51,06/25/2019,Cook,1208.0,765.0,249960.0,50.00
52,06/26/2019,Cook,825.0,750.0,240480.0,55.00
53,06/30/2019,Cook,14682.0,765.0,1748685.0,50.00
54,07/02/2019,Cook,2232.0,765.0,391305.0,56.00
55,07/13/2019,Cook,1563.0,825.0,255915.0,61.00
56,08/13/2019,Cook,2036.0,795.0,330435.0,50.00
57,08/18/2019,Cook,12329.0,885.0,1884585.0,50.00
58,11/27/2019,Cook,12117.0,780.0,2262345.0,52.00
59,06/19/2019,Crawford,99.0,345.0,14670.0,61.00
60,06/30/2019,Crawford,374.0,45.0,16785.0,52.00
61,07/03/2019,Crawford,8.0,1380.0,2430.0,52.00
62,06/16/2019,Cumberland,10.0,615.0,5880.0,52.00
63,08/20/2019,De Witt,128.0,375.0,27540.0,52.00
64,11/27/2019,De Witt,116.0,780.0,35160.0,35.00
65,06/30/2019,Douglas,1104.0,255.0,108105.0,52.00
66,08/20/2019,Douglas,7.0,300.0,915.0,52.00
67,11/27/2019,Douglas,3.0,2880.0,3030.0,35.00
68,08/18/2019,Edgar,7.0,585.0,2715.0,52.00
69,11/27/2019,Edgar,3.0,495.0,555.0,35.00
70,03/14/2019,Edwards,93.0,540.0,29385.0,43.00
71,08/18/2019,Edwards,579.0,165.0,33375.0,61.00
72,05/29/2019,Fayette,2.0,210.0,300.0,70.00
73,01/30/2019,Ford,122.0,630.0,14430.0, 
