,date,county,num_people_out,wind_speed_mph
145,04/29/2017,Morgan,704.0,52.00
146,05/10/2017,Morgan,70.0,61.00
147,03/30/2017,Moultrie,134.0,52.00
148,04/29/2017,Moultrie,9.0,52.00
149,05/17/2017,Ogle,217.0,60.00
150,06/17/2017,Ogle,314.0,50.00
151,07/16/2017,Ogle,3.0,50.00
152,02/28/2017,Peoria,9.0, 
153,03/06/2017,Peoria,154.0,52.00
154,03/07/2017,Peoria,2534.0,52.00
155,01/10/2017,Perry,44.0,39.00
156,04/09/2017,Perry,5.0,35.00
157,04/26/2017,Perry,14.0,61.00
158,05/05/2017,Perry,7.0,35.00
159,11/18/2017,Perry,1484.0,35.00
160,04/29/2017,Piatt,2.0,52.00
161,05/10/2017,Piatt,6.0,52.00
162,05/05/2017,Pope,100.0,35.00
163,05/27/2017,Pope,1011.0,61.00
164,01/10/2017,Pulaski,59.0,39.00
165,03/06/2017,Pulaski,3.0,35.00
166,11/18/2017,Pulaski,12.0,35.00
167,03/07/2017,Putnam,510.0,50.00
168,02/28/2017,Randolph,16.0, 
169,04/26/2017,Randolph,3283.0,61.00
170,04/28/2017,Richland,306.0,61.00
171,03/06/2017,Rock Island,1.0,50.00
172,05/17/2017,Rock Island,163.0, 
173,06/15/2017,Rock Island,52.0,56.00
174,06/17/2017,Rock Island,610.0,70.00
175,06/19/2017,Rock Island,372.0,56.00
176,07/21/2017,Rock Island,533.0,50.00
177,01/10/2017,Saline,3193.0,42.00
178,02/10/2017,Saline,1.0,35.00
179,03/06/2017,Saline,1.0,42.00
180,05/05/2017,Saline,252.0,35.00
181,11/18/2017,Saline,12.0,36.00
182,03/07/2017,Sangamon,878.0,52.00
183,04/29/2017,Sangamon,1338.0,52.00
184,05/10/2017,Sangamon,3.0,61.00
185,02/28/2017,St. Clair,35.0,56.00
186,03/01/2017,St. Clair,626.0,61.00
187,03/07/2017,St. Clair,375.0,52.00
188,02/28/2017,Stark,20.0, 
189,05/17/2017,Stephenson,148.0,50.00
190,07/19/2017,Stephenson,11.0,61.00
191,07/21/2017,Stephenson,657.0,50.00
192,03/06/2017,Tazewell,9.0,52.00
193,03/07/2017,Tazewell,502.0, 
194,01/10/2017,Union,53.0,39.00
195,03/01/2017,Union,379.0,56.00
196,11/18/2017,Union,121.0,36.00
197,03/01/2017,Vermilion,6022.0,52.00
198,03/07/2017,Vermilion,183.0,52.00
199,03/30/2017,Vermilion,1872.0,52.00
200,05/05/2017,Wabash,7.0,35.00
201,11/18/2017,Wabash,4.0,40.00
202,05/10/2017,Warren,26.0,55.00
203,03/01/2017,Washington,1052.0,56.00
204,01/10/2017,White,7.0,40.00
205,04/05/2017,White,55.0,78.00
206,04/16/2017,White,14.0,61.00
207,11/18/2017,White,61.0,40.00
208,02/28/2017,Whiteside,85.0, 
209,05/17/2017,Whiteside,957.0,50.00
210,05/23/2017,Whiteside,35.0, 
211,06/17/2017,Whiteside,100.0,70.00
212,07/21/2017,Whiteside,484.0, 
213,02/28/2017,Will,43.0,61.00
214,03/07/2017,Will,1938.0,61.00
215,05/17/2017,Will,1276.0,56.00
216,06/09/2017,Will,297.0, 
217,06/14/2017,Will,852.0,50.00
218,06/20/2017,Will,308.0,55.00
219,06/23/2017,Will,224.0,55.00
220,07/19/2017,Will,162.0,50.00
221,07/21/2017,Will,321.0,50.00
222,07/22/2017,Will,1464.0,55.00
223,07/23/2017,Will,17417.0,50.00
224,01/10/2017,Williamson,547.0,45.00
225,02/10/2017,Williamson,3.0,30.00
226,03/06/2017,Williamson,1.0,49.00
227,04/05/2017,Williamson,5.0, 
228,04/16/2017,Williamson,31.0,65.00
229,05/05/2017,Williamson,21.0,35.00
230,05/27/2017,Williamson,36.0,61.00
231,07/13/2017,Williamson,1.0,61.00
232,11/18/2017,Williamson,103.0,35.00
233,03/08/2017,Winnebago,1897.0,52.00
234,05/15/2017,Winnebago,46.0,50.00
235,05/17/2017,Winnebago,505.0,56.00
236,06/28/2017,Winnebago,85.0,60.00
237,07/05/2017,Winnebago,1119.0,50.00
238,07/19/2017,Winnebago,87.0,50.00
239,07/21/2017,Winnebago,10980.0,60.00
240,06/14/2017,Woodford,3.0,52.00
