"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM","EQD"
"99725599999","2022-10-29T11:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0068,1","+0042,1","10273,1",,"5,99,0005,1,999","SYN068CMTI2 46/// /0000 10068 20042 40273 91054 333 91201 555 11000 22000=",
"99725599999","2022-10-29T12:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","200,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0067,1","+0052,1","10275,1","2,1,005,1,+999,9","5,99,0010,1,999","SYN074CMTI2 46/// /2001 10067 20052 40275 52005 91200 333 91202 555 11001 22001=",
"99725599999","2022-10-29T13:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0079,1","+0058,1","10278,1","3,1,007,1,+999,9","5,99,0005,1,999","SYN074CMTI2 46/// /0000 10079 20058 40278 53007 91300 333 91201 555 11001 22001=",
"99725599999","2022-10-29T14:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","100,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0106,1","+0054,1","10278,1","2,1,005,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /1003 10106 20054 40278 52005 91400 333 91205 555 11003 22003=",
"99725599999","2022-10-29T15:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","080,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0113,1","+0052,1","10280,1","1,1,005,1,+999,9","5,99,0021,1,999","SYN074CMTI2 46/// /0803 10113 20052 40280 51005 91500 333 91204 555 11003 22003=",
"99725599999","2022-10-29T16:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","050,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0114,1","+0058,1","10271,1","8,1,007,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /0504 10114 20058 40271 58007 91600 333 91205 555 11004 22005=",
"99725599999","2022-10-29T17:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","050,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0118,1","+0071,1","10267,1","8,1,011,1,+999,9","5,99,0031,1,999","SYN074CMTI2 46/// /0505 10118 20071 40267 58011 91700 333 91206 555 11005 22006=",
"99725599999","2022-10-29T18:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","050,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0122,1","+0078,1","10257,1","8,1,023,1,+999,9","5,99,0036,1,999","SYN074CMTI2 46/// /0506 10122 20078 40257 58023 91800 333 91207 555 11006 22007=",
"99725599999","2022-10-29T19:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","040,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0136,1","+0076,1","10249,1","8,1,022,1,+999,9","5,99,0036,1,999","SYN074CMTI2 46/// /0405 10136 20076 40249 58022 91900 333 91207 555 11005 22006=",
"99725599999","2022-10-29T20:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","030,1,N,0031,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10245,1",,"5,99,0036,1,999","SYN062CMTI2 46/// /0306 1//// 40245 91942 333 91207 555 11006 22007=",
"99725599999","2022-10-29T21:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","010,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0137,1","+0074,1","10241,1","6,1,016,1,+999,9","5,99,0041,1,999","SYN074CMTI2 46/// /0106 10137 20074 40241 56016 92100 333 91208 555 11006 22006=",
"99725599999","2022-10-29T22:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","030,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0132,1","+0086,1","10236,1","8,1,013,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /0304 10132 20086 40236 58013 92200 333 91205 555 11004 22004=",
"99725599999","2022-10-29T23:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","050,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0124,1","+0095,1","10232,1","7,1,013,1,+999,9","5,99,0021,1,999","SYN074CMTI2 46/// /0504 10124 20095 40232 57013 92300 333 91204 555 11004 22004=",
"99725599999","2022-10-30T00:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0127,1","+0095,1","10231,1","6,1,010,1,+999,9","5,99,0026,1,999","SYN074CMTI2 46/// /0804 10127 20095 40231 56010 90000 333 91205 555 11004 22004=",
"99725599999","2022-10-30T01:00:00","4","41.73","-87.54","179.4","9087044 CALUMET IL, US","FM-13","99999","V020","080,1,N,0015,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10228,1",,"5,99,0026,1,999","SYN062CMTI2 46/// /0803 1//// 40228 90036 333 91205 555 11003 22004=",
