"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99733899999","2022-01-01T00:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","070,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0059,1","+0056,1","99999,9","5,99,0046,1,999","SYN046CHII2 46/// /0709 10059 20056 92350 333 91209="
"99733899999","2022-01-01T01:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","360,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0054,1","+0053,1","99999,9","5,99,0036,1,999","SYN046CHII2 46/// /3606 10054 20053 90050 333 91207="
"99733899999","2022-01-01T02:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","350,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0047,1","+0047,1","99999,9","5,99,0057,1,999","SYN046CHII2 46/// /3511 10047 20047 90150 333 91211="
"99733899999","2022-01-01T03:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","340,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0045,1","+0045,1","99999,9","5,99,0067,1,999","SYN046CHII2 46/// /3413 10045 20045 90250 333 91213="
"99733899999","2022-01-01T04:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","350,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0044,1","+0044,1","99999,9","5,99,0062,1,999","SYN046CHII2 46/// /3512 10044 20044 90350 333 91212="
"99733899999","2022-01-01T05:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","360,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0040,1","+0040,1","99999,9","5,99,0082,1,999","SYN046CHII2 46/// /3615 10040 20040 90450 333 91216="
"99733899999","2022-01-01T06:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","360,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0038,1","+0038,1","99999,9","5,99,0093,1,999","SYN046CHII2 46/// /3617 10038 20038 90550 333 91218="
"99733899999","2022-01-01T07:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","360,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0034,1","+0034,1","99999,9","5,99,0113,1,999","SYN046CHII2 46/// /3619 10034 20034 90650 333 91222="
"99733899999","2022-01-01T08:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","010,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0032,1","+0029,1","99999,9","5,99,0113,1,999","SYN046CHII2 46/// /0119 10032 20029 90750 333 91222="
"99733899999","2022-01-01T09:00:00","4","42.0","-87.5","202.0","CHICAGO, IL US","FM-13","99999","V020","010,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0032,1","+0026,1","99999,9","5,99,0118,1,999","SYN046CHII2 46/// /0120 10032 20026 90850 333 91223="
