year,county,saifi,saidi,caidi,svi
2019,Adams,2.59550,74.42050,28.67292,0.28290
2019,Alexander,4.74877,301.13476,63.41323,0.92300
2019,Bond,4.74564,224.64697,47.33753,0.43350
2019,Boone,1.97150,75.90090,38.49915,0.41530
2019,Brown,3.63718,262.43765,72.15416,0.45540
2019,Bureau,14.80603,306.03154,20.66939,0.27210
2019,Calhoun,3.44611,354.70777,102.92983,0.03090
2019,Carroll,3.37350,154.56584,45.81764,0.14700
2019,Cass,0.94973,80.26368,84.51220,0.55320
2019,Champaign,6.16942,126.89898,20.56902,0.56050
2019,Christian,2.14641,80.53990,37.52302,0.18080
2019,Clark,1.31358,82.95312,63.15053,0.07100
2019,Clay,2.57259,125.44029,48.76027,0.39970
2019,Clinton,8.35756,229.88688,27.50646,0.13210
2019,Coles,1.62057,53.12472,32.78153,0.54070
2019,Cook,2.40742,39.40645,16.36876,0.80040
2019,Crawford,1.51546,83.49511,55.09556,0.41570
2019,Cumberland,1.03348,89.60743,86.70495,0.01750
2019,De Witt,6.94629,206.05701,29.66434,0.04390
2019,DeKalb,2.29930,60.77069,26.43006,0.49520
2019,Douglas,4.55490,146.40706,32.14274,0.53530
2019,DuPage,3.39548,66.93956,19.71432,0.21990
2019,Edgar,1.01979,58.54488,57.40860,0.25210
2019,Edwards,1.83108,140.73997,76.86189,0.23490
2019,Effingham,1.98463,82.48989,41.56445,0.21290
2019,Fayette,7.59753,319.87320,42.10225,0.47260
2019,Ford,9.28250,265.33962,28.58494,0.24280
2019,Franklin,16.15421,371.50545,22.99744,0.54710
2019,Fulton,2.49080,114.21561,45.85492,0.23300
2019,Gallatin,8.05626,371.17815,46.07327,0.48280
2019,Greene,3.00173,146.56442,48.82664,0.05440
2019,Grundy,2.11839,67.95846,32.08025,0.07990
2019,Hamilton,1.10955,97.57632,87.94244,0.31190
2019,Hancock,6.38901,192.14983,30.07505,0.08910
2019,Hardin,5.25131,400.78272,76.32054,0.30490
2019,Henderson,8.51464,426.09583,50.04273,0.02710
2019,Henry,2.74469,88.71333,32.32178,0.11680
2019,Iroquois,23.89719,459.99402,19.24887,0.38130
2019,Jackson,3.84968,116.28325,30.20598,0.78900
2019,Jasper,1.47725,152.91519,103.51323,0.21580
2019,Jefferson,31.62942,651.11447,20.58572,0.71740
2019,Jersey,3.99650,168.26704,42.10358,0.03410
2019,Jo Daviess,9.04728,418.16699,46.22021,0.08940
2019,Johnson,7.41969,189.76615,25.57601,0.29120
2019,Kane,4.21843,90.79722,21.52395,0.49400
2019,Kankakee,9.43666,174.59053,18.50131,0.69700
2019,Kendall,2.19591,53.26131,24.25476,0.12220
2019,Knox,16.64051,375.03577,22.53752,0.64230
2019,LaSalle,7.11124,153.87538,21.63833,0.38260
2019,Lake,1.32151,26.84377,20.31292,0.46630
2019,Lawrence,3.67099,146.52707,39.91492,0.48060
2019,Lee,6.70999,156.49036,23.32198,0.31890
2019,Livingston,2.79886,82.96237,29.64152,0.38060
2019,Logan,12.39738,281.17396,22.68012,0.18140
2019,Macon,7.87630,157.63568,20.01394,0.52580
2019,Macoupin,5.78846,163.35469,28.22077,0.13880
2019,Madison,5.32369,108.35840,20.35399,0.25810
2019,Marion,1.93160,97.34246,50.39472,0.55470
2019,Marshall,4.88578,220.01012,45.03068,0.06810
2019,Mason,4.01774,190.97070,47.53184,0.14930
2019,Massac,2.45713,110.92661,45.14487,0.58560
2019,McDonough,2.68858,94.36760,35.09937,0.46120
2019,McHenry,5.13149,105.19364,20.49962,0.11520
2019,McLean,2.49086,64.00250,25.69492,0.20050
2019,Menard,2.41109,194.06048,80.48671,0.01650
2019,Mercer,23.45386,581.40548,24.78933,0.05980
2019,Monroe,1.38356,82.42398,59.57365,0.00160
2019,Montgomery,7.68765,252.41879,32.83435,0.25050
2019,Morgan,5.15549,172.74785,33.50755,0.52450
2019,Moultrie,0.53481,54.96765,102.77938,0.35580
2019,Ogle,2.56140,79.81382,31.16026,0.34850
2019,Peoria,5.69627,126.90281,22.27822,0.67850
2019,Perry,2.34747,109.91524,46.82277,0.60310
2019,Piatt,5.97430,229.55514,38.42377,0.00350
2019,Pike,11.56588,436.09525,37.70533,0.37840
2019,Pope,7.74376,447.33713,57.76746,0.50860
2019,Pulaski,14.27335,376.02740,26.34472,0.52710
2019,Putnam,10.93123,449.15434,41.08910,0.01620
2019,Randolph,5.70942,146.93086,25.73482,0.41630
2019,Richland,0.49490,46.55121,94.06278,0.30650
2019,Rock Island,4.32198,89.79853,20.77717,0.68910
2019,Saline,3.45778,114.32135,33.06209,0.74120
2019,Sangamon,0.82418,27.54584,33.42192,0.43030
2019,Schuyler,5.10889,274.56797,53.74321,0.41090
2019,Scott,125.46463,2676.17892,21.33015,0.01780
2019,Shelby,3.01384,153.55554,50.95012,0.06400
2019,St. Clair,5.61260,124.65333,22.20955,0.55440
2019,Stark,19.45919,819.97951,42.13843,0.01940
2019,Stephenson,7.52237,220.55927,29.32045,0.55160
2019,Tazewell,3.13094,85.43331,27.28681,0.09480
2019,Union,2.02647,88.09234,43.47090,0.51720
