,fips_code,county,state,customers_out,run_start_time,run_end_time
62,17001,Adams,Illinois,550.0,2014-11-03 13:30:00,2014-11-03 13:45:00
63,17001,Adams,Illinois,1.0,2014-11-01 06:30:00,2014-11-06 18:45:00
64,17001,Adams,Illinois,5.0,2014-11-20 15:30:00,2014-11-20 15:45:00
65,17001,Adams,Illinois,11.0,2014-11-20 16:15:00,2014-11-20 16:30:00
66,17001,Adams,Illinois,7.0,2014-11-20 17:15:00,2014-11-20 17:30:00
67,17001,Adams,Illinois,1.0,2014-11-06 16:30:00,2014-11-06 16:45:00
68,17001,Adams,Illinois,7.0,2014-11-20 17:30:00,2014-11-20 17:45:00
69,17001,Adams,Illinois,1.0,2014-11-05 20:30:00,2014-11-05 20:45:00
70,17001,Adams,Illinois,7.0,2014-11-20 18:15:00,2014-11-20 18:60:00
71,17001,Adams,Illinois,8.0,2014-11-20 19:15:00,2014-11-20 19:30:00
72,17001,Adams,Illinois,23.0,2014-11-20 19:30:00,2014-11-20 19:45:00
73,17001,Adams,Illinois,22.0,2014-11-20 19:45:00,2014-11-20 19:60:00
74,17001,Adams,Illinois,1.0,2014-11-05 21:00:00,2014-11-05 21:15:00
75,17001,Adams,Illinois,7.0,2014-11-20 18:00:00,2014-11-20 18:15:00
76,17001,Adams,Illinois,5.0,2014-11-20 15:15:00,2014-11-20 15:30:00
77,17001,Adams,Illinois,1.0,2014-11-04 08:45:00,2014-11-23 13:60:00
78,17001,Adams,Illinois,14.0,2014-11-03 15:45:00,2014-11-03 15:60:00
79,17001,Adams,Illinois,15.0,2014-11-03 15:30:00,2014-11-03 15:45:00
80,17001,Adams,Illinois,14.0,2014-11-03 15:00:00,2014-11-03 15:15:00
81,17001,Adams,Illinois,15.0,2014-11-03 14:30:00,2014-11-03 14:15:00
82,17001,Adams,Illinois,550.0,2014-11-03 13:45:00,2014-11-03 13:60:00
83,17001,Adams,Illinois,1.0,2014-11-04 09:00:00,2014-11-20 15:15:00
84,17001,Adams,Illinois,6.0,2014-11-20 20:00:00,2014-11-20 20:15:00
85,17001,Adams,Illinois,1.0,2014-12-05 17:45:00,2014-12-05 17:15:00
86,17003,Alexander,Illinois,1.0,2014-12-03 18:45:00,2014-12-03 18:60:00
87,17003,Alexander,Illinois,20.0,2014-12-05 11:45:00,2014-12-05 12:15:00
88,17003,Alexander,Illinois,7.0,2014-11-19 18:30:00,2014-11-19 18:30:00
89,17003,Alexander,Illinois,1.0,2014-11-18 09:15:00,2014-11-18 09:30:00
90,17003,Alexander,Illinois,7.0,2014-11-19 17:15:00,2014-11-19 18:60:00
91,17003,Alexander,Illinois,1.0,2014-11-18 09:30:00,2014-11-18 09:45:00
