year,county,saifi,saidi,caidi,svi
2023,Adams,6.75390,146.43372,21.68134,0.40590
2023,Alexander,3.71992,107.68121,28.94722,1.00000
2023,Bond,22.85112,631.75471,27.64656,0.74260
2023,Boone,16.61166,338.90676,20.40174,0.69310
2023,Brown,8.14366,961.95045,118.12255,0.63370
2023,Bureau,18.65149,491.01545,26.32581,0.56440
2023,Calhoun,6.22306,246.77212,39.65449,0.10890
2023,Carroll,8.52535,265.41576,31.13252,0.35640
2023,Cass,3.35338,112.02070,33.40535,0.68320
2023,Champaign,41.17610,695.16716,16.88278,0.58420
2023,Christian,76.62518,1467.56991,19.15258,0.29700
2023,Clark,48.63380,1094.69536,22.50894,0.09900
2023,Clay,0.65537,37.78316,57.65200,0.88120
2023,Clinton,7.72475,221.89410,28.72509,0.23760
2023,Coles,15.30554,295.83950,19.32892,0.78220
2023,Cook,3.65812,57.82697,15.80782,0.95050
2023,Crawford,41.26096,926.34100,22.45079,0.31680
2023,Cumberland,20.05742,428.05539,21.34150,0.05940
2023,De Witt,84.67562,2002.85671,23.65329,0.08910
2023,DeKalb,3.05838,67.17132,21.96302,0.73270
2023,Douglas,88.85359,1652.52730,18.59832,0.55450
2023,DuPage,3.39714,63.82330,18.78735,0.33660
2023,Edgar,131.75155,2813.54258,21.35491,0.44550
2023,Edwards,2.62866,109.90889,41.81171,0.50500
2023,Effingham,5.42765,135.43493,24.95279,0.30690
2023,Fayette,31.07676,662.47567,21.31739,0.84160
2023,Ford,3.35207,140.22611,41.83271,0.59410
2023,Franklin,8.87965,211.07710,23.77089,0.76240
2023,Fulton,12.34629,378.33385,30.64352,0.28710
2023,Gallatin,5.09947,185.25275,36.32784,0.60400
2023,Greene,5.39154,155.14327,28.77532,0.26730
2023,Grundy,2.31062,62.92071,27.23113,0.19800
2023,Hamilton,2.10911,87.90539,41.67881,0.46530
2023,Hancock,54.11554,1222.48668,22.59031,0.15840
2023,Hardin,1.20995,96.22775,79.53051,0.34650
2023,Henderson,29.40580,952.20941,32.38169,0.07920
2023,Henry,8.77810,173.76873,19.79571,0.25740
2023,Iroquois,3.41642,138.57292,40.56089,0.41580
2023,Jackson,8.42572,221.58307,26.29841,0.99010
2023,Jasper,12.95097,344.06913,26.56705,0.22770
2023,Jefferson,9.41526,247.15262,26.25021,0.96040
2023,Jersey,1.73840,157.89453,90.82731,0.03960
2023,Jo Daviess,61.85181,1421.12248,22.97625,0.11880
2023,Johnson,4.14169,156.89538,37.88195,0.52480
2023,Kane,16.22012,269.84689,16.63656,0.75250
2023,Kankakee,3.34839,78.63875,23.48552,0.94060
2023,Kendall,1.70269,42.59242,25.01482,0.20790
2023,Knox,13.10905,391.76725,29.88526,0.87130
2023,LaSalle,7.03720,158.20207,22.48084,0.51490
2023,Lake,1.98842,35.25385,17.72961,0.70300
2023,Lawrence,14.78630,445.19369,30.10852,0.82180
2023,Lee,43.27282,806.92870,18.64747,0.47520
2023,Livingston,2.20976,72.08646,32.62189,0.45540
2023,Logan,44.69410,1029.43573,23.03292,0.36630
2023,Macon,75.20577,1239.41300,16.48029,0.79210
2023,Macoupin,7.99243,330.46010,41.34664,0.24750
2023,Madison,30.73730,510.81443,16.61872,0.37620
2023,Marion,34.66253,640.52875,18.47900,0.89110
2023,Marshall,9.28346,373.35694,40.21745,0.16830
2023,Mason,3.17970,108.30204,34.06047,0.27720
2023,Massac,0.40147,16.13945,40.20110,0.86140
2023,McDonough,29.03719,705.86858,24.30912,0.67330
2023,McHenry,29.40655,462.29397,15.72078,0.21780
2023,McLean,4.17810,113.69032,27.21103,0.32670
2023,Menard,5.94936,140.00000,23.53193,0.04950
2023,Mercer,6.70252,267.26148,39.87478,0.12870
2023,Monroe,54.45997,1463.25828,26.86851,0.00000
2023,Montgomery,8.60799,231.96781,26.94798,0.42570
2023,Morgan,56.14786,1121.46290,19.97339,0.66340
2023,Moultrie,1.93638,104.90758,54.17707,0.52480
2023,Ogle,5.39715,146.06736,27.06377,0.43560
2023,Peoria,6.19436,143.25001,23.12588,0.91090
2023,Perry,23.17286,497.34589,21.46243,0.81190
2023,Piatt,31.08783,837.74073,26.94754,0.01980
2023,Pike,10.90799,313.23348,28.71596,0.49500
2023,Pope,0.93214,62.32899,66.86663,0.38610
2023,Pulaski,4.76899,142.43929,29.86780,0.85150
2023,Putnam,33.03399,828.77249,25.08848,0.00990
2023,Randolph,10.47956,316.48497,30.20022,0.64360
2023,Richland,3.39499,112.06609,33.00922,0.62380
2023,Rock Island,17.24809,287.12350,16.64669,0.97030
2023,Saline,12.02823,256.46217,21.32170,0.92080
2023,Sangamon,70.05714,1110.79845,15.85561,0.54460
2023,Schuyler,2.96312,129.55743,43.72333,0.71290
2023,Scott,8.84743,309.13315,34.94043,0.13860
2023,Shelby,51.93553,1353.26647,26.05666,0.14850
2023,St. Clair,40.68142,685.80690,16.85799,0.79210
2023,Stark,19.00693,1021.35203,53.73576,0.17820
2023,Stephenson,64.07716,1089.35296,17.00064,0.83170
2023,Tazewell,6.71092,155.67687,23.19754,0.18810
2023,Union,2.38114,94.62684,39.74010,0.90100
2023,Vermilion,108.47922,1848.07097,17.03617,0.93070
2023,Wabash,0.31352,21.07838,67.23039,0.65350
2023,Warren,14.75340,642.35808,43.53967,0.77230
2023,Washington,73.68830,1727.09074,23.43779,0.06930
2023,Wayne,3.02576,74.45502,24.60705,0.72280
2023,White,4.05504,101.58439,25.05141,0.61390
2023,Whiteside,3.60841,93.23809,25.83908,0.48510
2023,Will,2.25435,45.60112,20.22802,0.39600
2023,Williamson,4.23043,104.31956,24.65930,0.57430
2023,Winnebago,30.26221,477.14229,15.76694,0.98020
2023,Woodford,8.13501,186.31146,22.90243,0.02970
