year,county,saifi,saidi,caidi,svi
2020,Adams,4.36241,101.43504,23.25209,0.28290
2020,Alexander,2.34870,153.37790,65.30337,0.92300
2020,Bond,5.22559,217.80073,41.67962,0.43350
2020,Boone,4.92936,211.74393,42.95568,0.41530
2020,Brown,4.73196,258.99568,54.73329,0.45540
2020,Bureau,46.35989,819.56469,17.67832,0.27210
2020,Calhoun,0.91689,196.52011,214.33333,0.03090
2020,Carroll,45.73950,956.01077,20.90121,0.14700
2020,Cass,0.93231,69.46033,74.50308,0.55320
2020,Champaign,5.23740,126.45684,24.14498,0.56050
2020,Christian,1.88477,104.95388,55.68515,0.18080
2020,Clark,10.32035,248.10040,24.03993,0.07100
2020,Clay,0.47716,42.94111,89.99308,0.39970
2020,Clinton,12.24685,266.18171,21.73471,0.13210
2020,Coles,5.16467,134.24375,25.99271,0.54070
2020,Cook,20.19932,309.14612,15.30478,0.80040
2020,Crawford,18.01047,418.63650,23.24406,0.41570
2020,Cumberland,10.14384,364.55873,35.93892,0.01750
2020,De Witt,7.75364,245.79970,31.70121,0.04390
2020,DeKalb,6.55327,143.63342,21.91781,0.49520
2020,Douglas,7.85119,274.26617,34.93305,0.53530
2020,DuPage,22.28757,357.21457,16.02753,0.21990
2020,Edgar,4.92486,162.05524,32.90558,0.25210
2020,Edwards,1.45752,168.31322,115.47897,0.23490
2020,Effingham,2.58159,79.06204,30.62531,0.21290
2020,Fayette,11.17629,399.22618,35.72083,0.47260
2020,Ford,4.03643,264.56792,65.54497,0.24280
2020,Franklin,8.00275,169.60280,21.19306,0.54710
2020,Fulton,4.72233,172.31221,36.48878,0.23300
2020,Gallatin,5.51284,227.67183,41.29845,0.48280
2020,Greene,0.62154,59.10846,95.10025,0.05440
2020,Grundy,11.48576,292.36134,25.45424,0.07990
2020,Hamilton,4.22689,343.42823,81.24846,0.31190
2020,Hancock,1.52142,97.84628,64.31245,0.08910
2020,Hardin,2.71257,199.48429,73.54082,0.30490
2020,Henderson,9.36616,447.94144,47.82550,0.02710
2020,Henry,25.34726,491.80699,19.40277,0.11680
2020,Iroquois,10.74716,231.04154,21.49791,0.38130
2020,Jackson,3.63552,119.18166,32.78256,0.78900
2020,Jasper,16.97858,407.64686,24.00948,0.21580
2020,Jefferson,4.78752,120.39546,25.14779,0.71740
2020,Jersey,3.40995,150.15548,44.03450,0.03410
