,fips_code,county,state,customers_out,run_start_time
102,17001,Adams,Illinois,1.0,2014-11-01 09:00:00
103,17001,Adams,Illinois,10.0,2014-11-18 18:15:00
104,17001,Adams,Illinois,10.0,2014-11-18 18:30:00
105,17001,Adams,Illinois,1.0,2014-11-18 19:30:00
106,17001,Adams,Illinois,1.0,2014-11-18 19:45:00
107,17001,Adams,Illinois,1.0,2014-12-01 22:30:00
108,17001,Adams,Illinois,1.0,2014-11-18 20:00:00
109,17001,Adams,Illinois,4.0,2014-11-18 22:00:00
110,17001,Adams,Illinois,1266.0,2014-11-09 16:00:00
111,17001,Adams,Illinois,4.0,2014-11-18 22:15:00
112,17001,Adams,Illinois,4.0,2014-11-18 22:30:00
113,17001,Adams,Illinois,4.0,2014-11-18 22:45:00
114,17001,Adams,Illinois,1.0,2014-11-01 08:45:00
115,17001,Adams,Illinois,1266.0,2014-11-09 15:45:00
116,17001,Adams,Illinois,1.0,2014-11-19 08:45:00
117,17001,Adams,Illinois,1.0,2014-11-19 09:00:00
118,17001,Adams,Illinois,1266.0,2014-11-09 15:30:00
119,17001,Adams,Illinois,1.0,2014-11-19 09:15:00
120,17001,Adams,Illinois,1.0,2014-11-19 09:30:00
121,17001,Adams,Illinois,1.0,2014-11-19 09:45:00
122,17001,Adams,Illinois,1.0,2014-11-18 20:15:00
123,17001,Adams,Illinois,1.0,2014-12-01 22:15:00
124,17001,Adams,Illinois,1.0,2014-12-01 22:00:00
125,17001,Adams,Illinois,1.0,2014-12-01 21:45:00
126,17001,Adams,Illinois,1.0,2014-11-17 06:45:00
127,17001,Adams,Illinois,1.0,2014-11-29 04:15:00
128,17001,Adams,Illinois,1.0,2014-11-29 04:00:00
129,17001,Adams,Illinois,1.0,2014-11-13 22:15:00
130,17001,Adams,Illinois,1.0,2014-11-13 22:00:00
131,17001,Adams,Illinois,1.0,2014-11-17 07:00:00
132,17001,Adams,Illinois,1.0,2014-11-29 03:45:00
133,17001,Adams,Illinois,1.0,2014-11-13 17:15:00
134,17001,Adams,Illinois,1.0,2014-11-13 17:00:00
135,17001,Adams,Illinois,1.0,2014-11-29 03:30:00
136,17001,Adams,Illinois,1.0,2014-11-13 16:45:00
137,17001,Adams,Illinois,1.0,2014-11-17 07:15:00
138,17001,Adams,Illinois,1.0,2014-11-29 03:15:00
139,17001,Adams,Illinois,1.0,2014-11-29 03:00:00
140,17001,Adams,Illinois,4.0,2014-11-13 16:30:00
141,17001,Adams,Illinois,1.0,2014-11-17 07:30:00
142,17001,Adams,Illinois,4.0,2014-11-13 16:15:00
143,17001,Adams,Illinois,1.0,2014-11-29 02:45:00
144,17001,Adams,Illinois,4.0,2014-11-13 16:00:00
145,17001,Adams,Illinois,1.0,2014-11-29 02:30:00
146,17001,Adams,Illinois,4.0,2014-11-13 15:45:00
147,17001,Adams,Illinois,4.0,2014-11-13 15:30:00
148,17001,Adams,Illinois,1.0,2014-11-13 15:15:00
149,17001,Adams,Illinois,1.0,2014-11-13 15:00:00
150,17001,Adams,Illinois,1.0,2014-11-13 14:45:00
151,17001,Adams,Illinois,1.0,2014-11-13 14:30:00
152,17001,Adams,Illinois,1.0,2014-11-17 07:45:00
153,17001,Adams,Illinois,1.0,2014-11-29 04:30:00
154,17001,Adams,Illinois,1.0,2014-11-29 04:45:00
155,17001,Adams,Illinois,1.0,2014-11-17 06:30:00
156,17001,Adams,Illinois,1.0,2014-11-29 05:00:00
157,17001,Adams,Illinois,1.0,2014-11-29 19:00:00
158,17001,Adams,Illinois,1.0,2014-11-16 00:30:00
159,17001,Adams,Illinois,1.0,2014-11-16 00:15:00
160,17001,Adams,Illinois,1.0,2014-11-16 00:00:00
161,17001,Adams,Illinois,1.0,2014-11-15 23:45:00
162,17001,Adams,Illinois,1.0,2014-11-15 23:30:00
163,17001,Adams,Illinois,1.0,2014-11-15 23:15:00
164,17001,Adams,Illinois,1.0,2014-11-15 23:00:00
165,17001,Adams,Illinois,1.0,2014-11-15 22:45:00
166,17001,Adams,Illinois,1.0,2014-11-16 22:45:00
167,17001,Adams,Illinois,2.0,2014-11-29 18:30:00
168,17001,Adams,Illinois,1.0,2014-11-16 23:00:00
169,17001,Adams,Illinois,1.0,2014-11-29 18:15:00
170,17001,Adams,Illinois,1.0,2014-11-29 02:15:00
171,17001,Adams,Illinois,1.0,2014-11-16 23:15:00
172,17001,Adams,Illinois,1.0,2014-11-16 23:30:00
173,17001,Adams,Illinois,1.0,2014-11-16 23:45:00
174,17001,Adams,Illinois,1.0,2014-11-29 16:45:00
175,17001,Adams,Illinois,1.0,2014-11-29 16:30:00
176,17001,Adams,Illinois,1.0,2014-11-29 16:15:00
177,17001,Adams,Illinois,1.0,2014-11-29 16:00:00
178,17001,Adams,Illinois,1.0,2014-11-17 02:00:00
179,17001,Adams,Illinois,1.0,2014-11-29 15:45:00
180,17001,Adams,Illinois,1.0,2014-11-17 02:15:00
181,17001,Adams,Illinois,1.0,2014-11-17 02:30:00
182,17001,Adams,Illinois,1.0,2014-11-17 02:45:00
183,17001,Adams,Illinois,1.0,2014-11-17 03:00:00
184,17001,Adams,Illinois,1.0,2014-11-17 03:15:00
185,17001,Adams,Illinois,1.0,2014-11-29 18:00:00
186,17001,Adams,Illinois,1.0,2014-11-07 23:15:00
187,17001,Adams,Illinois,1.0,2014-11-29 02:00:00
188,17001,Adams,Illinois,1.0,2014-11-29 01:45:00
189,17001,Adams,Illinois,1.0,2014-11-17 10:00:00
190,17001,Adams,Illinois,18.0,2014-11-28 19:45:00
