Utility Characteristics,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2018,5860,Empire District Electric Co,MO,SWPP,.,.,3,.,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2018,5953,"Entergy Solutions, Ltd",MA,ISNE,.,.,1,.,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5961,Town of Erwin - (TN),TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5964,"Escambia River Elec Coop, Inc",FL,AEC,.,12,.,.,12,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,5997,Town of Estes Park,CO,PSCO,306,29,.,.,335,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6008,City of Etowah,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6043,City of Evansville,WI,MISO,3,16,1,0,20,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6112,"Farmers Electric Coop, Inc - (IA)",IA,MISO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,6182,"Farmers Electric Coop, Inc - (TX)",TX,ERCO,.,4,.,.,4,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6234,City of Fayetteville,TN,TVA,0,0,3,0,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6235,Fayetteville Public Works Commission,NC,CPLE,0,0,8,0,8,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6374,Fitchburg Gas & Elec Light Co,MA,ISNE,.,.,30,.,30,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6395,Flathead Electric Coop Inc,MT,BPAT,.,28,93,.,121,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6411,Flint Electric Membership Corp,GA,SOCO,.,159,.,.,159,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2018,6422,City of Florence - (AL),AL,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6424,Florence Utility Comm,WI,MISO,0,3,0,0,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6431,"Flint Hills Rural E C A, Inc",KS,SWPP,481,28,15,.,524,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,N
2018,6455,"Duke Energy Florida, LLC",FL,FPC,27,"14,658",451,0,"15,136",Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6457,Florida Public Utilities Co,FL,JEA,6,1,0,0,7,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6604,City of Fort Collins - (CO),CO,PSCO,"65,231",0,0,0,"65,231",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6608,Fort Loudoun Electric Coop,TN,TVA,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6612,Fort Payne Improvement Authority,AL,TVA,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6638,City of Fountain,CO,PSCO,.,37,.,.,37,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6640,Four County Elec Member Corp,NC,CPLE,12,.,.,.,12,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6641,4-County Electric Power Assn,MS,TVA,0,959,5,0,964,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6717,Franklin Electric Coop - (AL),AL,TVA,0,1,3,0,4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6718,City of Franklin - (KY),KY,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6782,Freeborn-Mower Coop Services,MN,MISO,3,42,7,.,52,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2018,6909,Gainesville Regional Utilities,FL,GVL,.,17,.,.,17,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6923,City of Gallatin - (TN),TN,TVA,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6930,City of Gallup - (NM),NM,PNM,.,1,1,.,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,6957,"Garkane Energy Coop, Inc",UT,WACM,438,11,.,.,449,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7027,City of Gastonia - (NC),NC,DUK,0,37,12,0,49,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2018,7096,City of Geneva- (IL),IL,PJM,.,.,5,.,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7140,Georgia Power Co,GA,SOCO,"17,998","13,811","1,668",1,"33,478",Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
2018,7174,Gibson Electric Members Corp,KY,TVA,0,87,0,0,87,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7174,Gibson Electric Members Corp,TN,TVA,0,369,2,0,371,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7264,"Glades Electric Coop, Inc",FL,SEC,3,"3,421",21,.,"3,445",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N
2018,7270,City of Glasgow - (KY),KY,TVA,"5,539","1,870",2,0,"7,411",Y,X,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7279,"NextEra Energy Services, LLC",MA,ISNE,.,1,.,.,1,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7279,"NextEra Energy Services, LLC",OH,PJM,.,2,.,.,2,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7279,"NextEra Energy Services, LLC",PA,PJM,.,1,.,.,1,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7279,"NextEra Energy Services, LLC",TX,ERCO,.,16,.,.,16,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7294,City of Glendale - (CA),CA,LDWP,25,293,11,.,329,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7411,City of Gothenburg - (NE),NE,SWPP,.,.,4,.,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7483,City of Grand Haven - (MI),MI,MISO,.,.,52,.,52,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7563,Grand Valley Power,CO,PSCO,4,28,.,.,32,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7601,Green Mountain Power Corp,VT,ISNE,"5,338","3,608",37,0,"8,983",Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,N
2018,7625,City of Greeneville - (TN),TN,TVA,0,0,7,0,7,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7634,City of Greenville - (TX),TX,ERCO,0,94,.,.,94,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
2018,7752,Guadalupe Valley Elec Coop Inc,TX,ERCO,.,35,72,.,107,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7801,Gulf Power Co,FL,SOCO,"20,116","1,020",91,0,"21,227",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2018,7826,City of Gunnison - (CO),CO,WACM,19,1,.,.,20,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,7827,Guntersville Electric Board,AL,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8122,Harlan Municipal Utilities - (IA),IA,MISO,.,.,4,.,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8147,City of Harriman - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8179,Harrison County Rural E M C,IN,MISO,161,.,.,.,161,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8212,Hartford Electric,WI,MISO,1,26,6,0,33,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8226,City of Hartselle,AL,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8287,Hawaii Electric Light Co Inc,HI,NA,473,40,1,0,514,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8319,Heartland Power Coop,IA,MISO,5,44,7,.,56,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8333,Haywood Electric Member Corp,NC,DUK,42,16,1,.,59,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8348,City of Healdsburg - (CA),CA,CISO,55,7,1,0,63,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8447,Hendricks County Rural E M C,IN,MISO,"31,621",664,1,.,"32,286",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,8566,High Plains Power Inc,WY,WACM,459,7,0,0,466,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8570,Highline Electric Assn,CO,WACM,7,.,.,.,7,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8571,Town of High Point,NC,DUK,0,169,27,.,196,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N
2018,8699,Inland Power & Light Company,WA,BPAT,.,.,163,.,163,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8723,City of Holland,MI,MISO,.,1,5,.,6,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8764,"Holston Electric Coop, Inc",TN,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8773,"Holy Cross Electric Assn, Inc",CO,PSCO,69,14,.,.,83,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8846,City of Hopkinsville,KY,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,8911,Howard Electric Coop,MO,AECI,"3,399",.,.,.,"3,399",Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9023,City of Humboldt,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9087,Town of Huntersville - (NC),NC,DUK,.,.,2,.,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9094,City of Huntsville - (AL),AL,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9124,Hustisford Utilities,WI,MISO,5,10,0,0,15,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9191,Idaho Power Co,ID,IPCO,"1,128",246,110,0,"1,484",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9191,Idaho Power Co,OR,IPCO,0,6,7,0,13,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9273,Indianapolis Power & Light Co,IN,MISO,106,5,4,0,115,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9275,Indianola Municipal Utilities,IA,MISO,32,.,.,.,32,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9324,Indiana Michigan Power Co,IN,PJM,"13,617","2,116",64,0,"15,797",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9324,Indiana Michigan Power Co,MI,PJM,"6,031",419,71,0,"6,521",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9336,Intermountain Rural Elec Assn,CO,PSCO,80,62,40,0,182,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9417,Interstate Power and Light Co,IA,MISO,"14,948","5,425",308,0,"20,681",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9576,Jackson County Rural E M C - (IN),IN,MISO,24,1,.,.,25,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9601,Jackson Electric Member Corp - (GA),GA,SOCO,393,138,.,.,531,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9612,City of Jackson - (TN),TN,TVA,0,2,30,0,32,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9617,JEA,FL,JEA,.,181,47,.,228,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,9682,"Jefferson Davis Elec Coop, Inc",LA,MISO,.,1,.,.,1,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9690,Jefferson Utilities,WI,MISO,1,20,1,0,22,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9699,"Jemez Mountains Elec Coop, Inc",NM,WALC,257,30,0,0,287,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9726,Jersey Central Power & Lt Co,NJ,PJM,"15,739",312,75,1,"16,127",Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
2018,9739,Joe Wheeler Elec Member Corp,AL,TVA,0,2,20,0,22,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9750,"Jo-Carroll Energy, Inc",IL,MISO,.,.,16,.,16,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9777,Johnson City - (TN),TN,TVA,0,7,10,0,17,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,9778,Johnson County Rural E M C,IN,MISO,12,34,2,.,48,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2018,9936,Juneau Utility Comm,WI,MISO,0,7,2,0,9,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10000,Kansas City Power & Light Co,KS,SWPP,47,.,.,.,47,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10000,Kansas City Power & Light Co,MO,SWPP,29,3,.,.,32,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10005,Kansas Gas & Electric Co,KS,SWPP,10,276,45,.,331,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N
2018,10056,City of Kaukauna,WI,MISO,28,83,12,0,123,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10171,Kentucky Utilities Co,KY,LGEE,48,566,416,0,"1,030",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N
2018,10171,Kentucky Utilities Co,VA,LGEE,0,12,8,0,20,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N
2018,10331,Kingsport Power Co,TN,PJM,27,5,0,0,32,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10376,Kissimmee Utility Authority,FL,FMPP,0,55,0,0,55,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10378,"Kit Carson Electric Coop, Inc",NM,PNM,342,92,.,.,434,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10421,Knoxville Utilities Board,TN,TVA,0,14,7,0,21,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10448,Kosciusko County Rural E M C,IN,MISO,.,.,3,.,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10539,"La Plata Electric Assn, Inc",CO,WACM,"3,417",224,10,0,"3,651",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10550,McCook Public Power District,NE,SWPP,.,.,2,.,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10579,City of LaFollette,TN,TVA,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10599,"Lake Region Electric Coop, Inc - (OK)",OK,AECI,0,3,1,0,4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10605,Lake Mills Light & Water,WI,MISO,0,16,0,0,16,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10618,Lake Region Electric Cooperative - (MN),MN,MISO,3,.,.,.,3,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10623,City of Lakeland - (FL),FL,FMPP,"2,096",37,18,.,"2,151",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10768,"Laurens Electric Coop, Inc",SC,DUK,5,46,.,.,51,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10770,City of Laurinburg - (NC),NC,CPLE,4,.,.,.,4,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10799,City of Lawrenceburg,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10814,City of Le Sueur - (MN),MN,MISO,.,.,2,.,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10960,City of Lewisburg - (TN),TN,TVA,0,0,3,0,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,10968,City of Lexington - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11018,Lincoln Electric System,NE,SWPP,0,6,0,0,6,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11053,Linn County REC,IA,MISO,30,175,8,.,213,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11085,Town of Littleton - (MA),MA,ISNE,.,.,34,.,34,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11124,City of Lodi - (CA),CA,CISO,.,.,25,.,25,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11125,City of Lodi - (WI),WI,MISO,12,8,0,0,20,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11171,Long Island Power Authority,NY,NYIS,"11,817",123,.,.,"11,940",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N
2018,11187,City of Longmont,CO,PSCO,.,.,9,.,9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,11200,"Lorain-Medina R E C, Inc",OH,PJM,"14,805","1,540",13,.,"16,358",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11208,Los Angeles Department of Water & Power,CA,LDWP,"9,972","23,483","1,724",.,"35,179",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11222,Loudon Utilities Board,TN,TVA,0,2,5,0,7,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11247,Louisville Electric System,MS,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11249,Louisville Gas & Electric Co,KY,LGEE,59,409,152,0,620,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N
2018,11292,City of Lubbock - (TX),TX,SWPP,.,15,.,.,15,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11479,Madison Gas & Electric Co,WI,MISO,587,"4,434",23,0,"5,044",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11571,Manitowoc Public Utilities,WI,MISO,6,6,77,.,89,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11740,City of Marshfield - (WI),WI,MISO,0,0,56,0,56,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11770,City of Martinsville - (VA),VA,PJM,.,3,.,.,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11788,Consumers Energy,IA,MISO,209,21,3,.,233,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11789,Maryville Utilities,TN,TVA,0,0,3,0,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11843,Maui Electric Co Ltd,HI,NA,247,52,.,.,299,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11871,City of Mayfield Plant Board,KY,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,11910,McLeod Cooperative Power Assn,MN,MISO,.,.,2,.,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12199,Montana-Dakota Utilities Co,MT,SWPP,0,1,8,0,9,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12199,Montana-Dakota Utilities Co,ND,MISO,7,314,9,0,330,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12199,Montana-Dakota Utilities Co,SD,MISO,0,8,0,0,8,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12199,Montana-Dakota Utilities Co,WY,WACM,0,24,0,0,24,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12208,City of McPherson - (KS),KS,SWPP,.,20,2,.,22,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12260,Mecklenburg Electric Cooperative,VA,PJM,.,32,1,.,33,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12265,City of Medford - (WI),WI,MISO,1,26,6,.,33,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12293,City of Memphis - (TN),TN,TVA,76,0,35,.,111,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12298,City of Menasha - (WI),WI,MISO,28,105,8,0,141,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12330,Meriwether Lewis Electric Coop,TN,TVA,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12341,MidAmerican Energy Co,IA,MISO,20,774,140,.,934,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12341,MidAmerican Energy Co,IL,MISO,6,123,37,.,166,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12341,MidAmerican Energy Co,SD,MISO,.,14,1,.,15,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12377,Midwest Energy Cooperative,MI,PJM,38,43,.,.,81,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12390,Metropolitan Edison Co,PA,PJM,122,24,178,0,324,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N
2018,12450,Midland Power Coop,IA,MISO,.,11,7,.,18,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2018,12470,Middle Tennessee E M C,TN,TVA,0,3,10,0,13,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12472,Middle Georgia El Member Corp,GA,SOCO,.,.,222,.,222,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12515,"Midwest Electric, Inc",OH,PJM,0,23,2,0,25,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N
2018,12546,Mille Lacs Energy Cooperative,MN,MISO,.,.,23,.,23,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2018,12642,Maquoketa Valley Rrl Elec Coop,IA,MISO,"10,409","5,832",.,.,"16,241",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12647,"ALLETE, Inc.",MN,MISO,394,.,.,.,394,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
2018,12651,Minnesota Valley Electric Coop,MN,MISO,56,.,.,.,56,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
2018,12686,Mississippi Power Co,MS,SOCO,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12698,KCP&L Greater Missouri Operations Co.,MO,SWPP,.,4,.,.,4,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12745,Modesto Irrigation District,CA,BANC,0,10,147,0,157,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2018,12860,Morgan County Rural Elec Assn,CO,WACM,23,.,.,.,23,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12929,South Central Indiana REMC,IN,MISO,9,.,.,.,9,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2018,12988,City of Morristown - (TN),TN,TVA,0,0,5,0,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
