Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2018,924,"Associated Electric Coop, Inc",MO,SWPP,"3,535","8,805","2,001",.,"14,341",0.4,3.0,0.6,.,4.0,"117,021","202,214","38,846",.,"358,081",0.6,3.0,0.6,.,4.2,"1,784",586,94,.,"2,465",113,0,2,.,116,"1,784",586,94,.,"2,465",113,0,2,.,116,18.000,15.000,15.000,.,
2018,963,Atlantic City Electric Co,NJ,PJM,479,.,.,.,479,0.1,.,.,.,0.1,"4,190",.,.,.,"4,190",0.1,.,.,.,0.1,1,.,.,.,1,202,.,.,.,202,1,.,.,.,1,202,.,.,.,202,9.000,.,.,.,
2018,965,Atlantic Municipal Utilities,IA,MISO,53,"2,132",319,.,"2,504",0.0,0.3,0.0,.,0.4,935,"25,594","3,824",.,"30,353",0.0,0.3,0.0,.,0.4,8,83,12,.,103,3,31,5,.,38,8,83,12,.,103,3,31,5,.,38,17.600,12.000,12.000,.,
2018,1009,City of Austin - (MN),MN,MISO,488,"4,520","3,470",.,"8,478",0.2,0.7,0.6,.,1.5,"4,880","45,200","34,700",.,"84,780",0.2,0.7,0.6,.,1.5,96,375,231,.,702,216,5,3,.,224,96,375,231,.,702,216,5,3,.,224,10.000,10.000,10.000,.,
2018,1015,Austin Energy,TX,ERCO,"37,651","52,678","13,805",.,"104,134",16.0,15.1,3.9,.,35.0,"604,245","708,918","198,760",.,"1,511,922",16.0,15.1,3.9,.,35.0,"8,103","4,012",584,.,"12,698","3,533","1,366",376,.,"5,275","8,103","4,012",584,.,"12,698","3,533","1,366",376,.,"5,275",16.050,13.460,14.400,.,
2018,1050,City of Azusa,CA,CISO,962,"1,841",234,.,"3,037",0.1,0.5,0.1,.,0.7,"9,489","20,781","3,513",.,"33,783",0.1,0.5,0.1,.,0.7,97,336,88,.,521,53,138,20,.,211,97,336,88,.,521,53,138,20,.,211,13.890,13.939,15.000,.,
2018,1101,Bagley Public Utilities Comm,MN,MISO,17,41,453,.,511,0.0,0.0,0.1,.,0.1,282,441,"5,651",.,"6,373",0.0,0.0,0.1,.,0.1,1,3,34,.,38,1,1,1,.,3,1,3,34,.,38,1,1,1,.,3,16.520,10.750,12.480,.,
2018,1167,Baltimore Gas & Electric Co,MD,PJM,"134,528","129,719",.,.,"264,247",19.5,27.0,.,.,46.6,"1,814,174","1,429,876",.,.,"3,244,051",19.5,27.0,.,.,46.6,"43,453","35,708",.,.,"79,161","17,649","11,505",.,.,"29,153","43,453","35,708",.,.,"79,161","17,649","11,505",.,.,"29,153",13.485,11.023,.,.,http://webapp.psc.state.md.us/Intranet/home.cfm
2018,1176,City of Bandon - (OR),OR,BPAT,225,45,4,0,273,0.1,0.0,0.0,0.0,0.1,"3,496",625,42,0,"4,163",0.1,0.0,0.0,0.0,0.1,51,12,2,0,65,16,3,0,0,20,51,12,2,0,65,16,3,0,0,20,15.533,14.000,12.000,0.000,www.cityofbandon.org
2018,1233,City of Barnesville - (MN),MN,MISO,29,432,0,0,461,0.0,0.1,0.0,0.0,0.1,378,"5,190",0,0,"5,567",0.0,0.1,0.0,0.0,0.1,3,23,0,0,26,1,9,0,0,10,3,23,0,0,26,1,9,0,0,10,12.800,12.000,12.000,0.000,
2018,1251,Barron Electric Coop,WI,MISO,426,544,419,0,"1,389",0.0,0.1,0.0,0.0,0.2,"5,440","7,619","5,408",0,"18,467",0.0,0.1,0.0,0.0,0.2,27,8,14,0,49,87,2,0,0,89,27,8,14,0,49,87,2,0,0,89,12.771,14.005,12.906,0.000,
