Station_name,Lalitude,Longtitude
A0001704868,41.01917,-89.38639
99999954811,41.843,-88.8513
99999954808,40.0528,-88.3729
99849999999,41.856,-87.609
99849799999,41.976,-87.648
99773599999,42.35,-87.82
99733899999,42,-87.5
99725599999,41.73,-87.54
74467204862,40.15833,-89.33472
74466653944,39.77972,-90.23833
74466504838,42.12083,-87.90472
74466353950,39.63861,-90.77833
74466263817,39.53417,-89.32778
74465953822,38.72167,-88.17639
74465853889,38.66472,-88.45278
74465753887,38.51472,-89.09194
74465653891,38.37861,-88.4125
74465504808,41.77,-88.48139
74465363814,38.14889,-89.69861
74465253897,37.81139,-88.54889
72544014923,41.46528,-90.52333
72543094822,42.1927,-89.093
72534804831,41.60413,-88.08497
72534714880,42.41667,-87.86667
72534514834,41.5,-88.16667
72534213809,38.76417,-87.60556
72534014819,41.78611,-87.75222
72532604894,41.74278,-89.67611
72532014842,40.6675,-89.6839
72531753802,39.47806,-88.28028
72531603887,39.83444,-88.86556
72531594870,40.03972,-88.27778
72531403960,38.57139,-90.15722
72530594892,41.91444,-88.24639
72530094846,41.96019,-87.93162
72497593809,37.06444,-89.21944
72443093989,39.9369,-91.1919
72439754831,40.48333,-88.95
72439503958,38.88333,-90.05
72439093822,39.8447,-89.6839
72433903865,37.75,-89
72433813802,38.55,-89.85
72433693810,37.77972,-89.24972
72433593894,38.32333,-88.85833
72433003879,38.65,-88.96667
72297263878,39.1625,-89.67472
72220404996,42.04583,-90.10806
72219404896,40.29333,-88.14222
72218204890,41.89278,-89.07806
72217263810,39.7,-87.66944
72217104889,40.9244,-88.6239
72215704949,40.52028,-90.65222
72214904899,41.35167,-89.15306
72212704880,41.0714,-87.8463
72212604879,41.53972,-87.53194
72208994959,40.93333,-90.43333
72208204876,42.24611,-89.58222
72207694891,40.2,-87.6
72207504871,41.93167,-88.70806
72207463840,38.08944,-88.12306
72033063853,38.60667,-87.72667
72031963841,39.01611,-87.64972
72017063851,37.18583,-88.75056
72013704867,41.42528,-88.41861
