Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2016,34,City of Abbeville - (SC),Y,SC,DUK,2952,498,0,.,3450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2952,498,0,0,3450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2016,55,City of Aberdeen - (MS),,MS,TVA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2599,645,1,0,3245,2599,645,2,0,3246,0,.,114402.51,0,114403,0,0,0,0,0,0,0,0,0,0
2016,59,City of Abbeville - (LA),,LA,MISO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4531,1033,28,0,5592,4531,1033,28,0,5592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,84,A & N Electric Coop,,MD,PJM,266,44,.,.,310,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,266,44,0,0,310,.,.,.,.,.,266,44,.,.,310,.,.,.,.,.
2016,84,A & N Electric Coop,,VA,PJM,30958,2910,4,.,33872,.,.,.,.,.,.,.,.,.,.,48,1075,4,.,1127,31006,3985,8,0,34999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2016,87,City of Ada - (MN),Y,MN,MISO,362,16,2,.,380,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,362,16,2,0,380,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2016,97,Adams Electric Coop,,IL,MISO,.,.,.,.,0,11527,221,.,.,11748,.,.,.,.,.,.,.,.,.,.,11527,221,0,0,11748,111299,52985,.,.,164284,8513,221,.,.,8734,4263,.,.,.,4263
2016,108,Adams-Columbia Electric Coop,,WI,MISO,33915,1905,897,.,36717,.,.,.,.,0,.,.,.,.,.,.,11,.,.,11,33915,1916,897,0,36728,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2016,118,"Adams Rural Electric Coop, Inc",,OH,PJM,4209,25,.,.,4234,3000,166,.,.,3166,.,.,.,.,.,.,.,.,.,.,7209,191,0,0,7400,39351,14096,.,.,53447,.,.,.,.,.,.,.,.,.,.
2016,122,Village of Arcade - (NY),,NY,NYIS,3610,564,15,.,4189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3610,564,15,0,4189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
