|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,|.."Data Type O = Observed I = Imputed"|
2016,55,City of Aberdeen - (MS),MS,Municipal,SERC,33,31,0,205075,0,.,0,0,0,0,0,205075,201106,0,0,83,3887,205075,14617,.,0,0,0,281.4,14898.4,O
2016,59,City of Abbeville - (LA),LA,Municipal,SPP,32.9,23,0,142628,0,0,0,0,0,0,0,142628,132078,0,0,0,10550,142628,13457,0,0,0,0,0,13457,O
2016,84,A & N Electric Coop,VA,Cooperative,RFC,158.6,161.1,157,725738,.,.,0,.,.,0,.,725895,674610,.,.,1685,49600,725895,72002.9,0,0,0,0,990.1,72993,O
2016,97,Adams Electric Coop,IL,Cooperative,SERC,35,37,4450,172331,.,.,0,.,.,0,.,176781,164284,.,.,330,12167,176781,21629,.,.,.,.,251,21880,O
2016,108,Adams-Columbia Electric Coop,WI,Cooperative,MRO,124.4,82.5,.,523752,.,.,0,.,.,0,.,523752,468875,84,.,1018,53775,523752,63080,.,3,.,.,3076,66159,O
2016,113,"Agway Energy Services, LLC",NY,Retail Power Marketer,NPCC,82.7,82.5,.,457862,.,.,0,.,.,0,.,457862,452410,.,.,.,5452,457862,34960.7,.,.,.,.,.,34960.7,O
2016,118,"Adams Rural Electric Coop, Inc",OH,Cooperative,RFC,24.5,30.5,.,117716,.,.,0,.,.,0,.,117716,109896,.,136,.,7684,117716,15579,.,.,.,.,379,15958,O
2016,122,Village of Arcade - (NY),NY,Municipal,NPCC,23,38,.,157192,.,.,0,.,.,0,.,157192,150808,34,.,620,5730,157192,7000,.,2,.,.,479,7481,O
2016,123,City of Adel- (GA),GA,Municipal,SERC,21,20,.,117517,.,.,0,.,.,0,.,117517,111535,.,.,787,5195,117517,12645,.,.,.,.,.,12645,O
2016,150,Adrian Public Utilities Comm,MN,Municipal,MRO,3,3,8,13941,.,8,-8,.,.,0,.,13941,12819,.,202,239,681,13941,1480,.,.,.,.,.,1480,O
2016,155,Agralite Electric Coop,MN,Cooperative,MRO,45,36,450,244604,.,.,0,.,.,0,.,245054,230961,.,.,348,13745,245054,20612,.,.,.,.,439,21051,O
2016,162,Aiken Electric Coop Inc,SC,Cooperative,SERC,219.4,230,.,984132,.,.,0,.,.,0,.,984132,940066,.,.,1379,42687,984132,112134,.,.,.,.,789,112923,O
2016,176,Ajo Improvement Co,AZ,Investor Owned,WECC,1.5,1,.,9470,.,.,0,.,.,0,.,9470,9470,.,.,.,.,9470,923,.,.,.,.,.,923,O
2016,189,PowerSouth Energy Cooperative,AL,Cooperative,SERC,1847,1919,6187227,2686484,.,.,0,.,.,0,.,8873711,0,8537106,0,21195,315410,8873711,0,0,595624.2,0,457.9,308.4,596390.5,O
2016,195,Alabama Power Co,AL,Investor Owned,SERC,11233,10582,60196690,6448890,.,.,0,22605366,22108044,497322,.,67142902,54952074,8921349,1638,128795,3139046,67142902,5395202,0,351536,-63399,64765,140790,5888894,O
2016,201,City of Alachua - (FL),FL,Municipal,FRCC,28.2,25.5,.,133312,.,.,0,.,.,0,.,133312,130423,.,.,1150,1739,133312,15191,.,.,.,.,48,15239,O
2016,207,City of Alameda,CA,Municipal,WECC,56.3,63.4,.,358567,15901,15901,0,.,.,0,.,358567,341836,.,.,.,16731,358567,54060.9,.,.,.,.,8123.5,62184.4,O
2016,213,Alaska Electric Light&Power Co,AK,Investor Owned,AK,60,78,149485,265892,.,.,0,.,.,0,.,415377,393266,.,.,3987,18124,415377,42262,.,.,.,.,481,42743,O
2016,219,Alaska Power and Telephone Co,WA,Investor Owned,AK,1,1,20731,50811,.,.,0,.,.,0,.,71542,63391,714,0,1567,5870,71542,16671,.,82,0,.,1709,18462,O
2016,221,"Alaska Village Elec Coop, Inc",AK,Cooperative,AK,18.1,21.3,120393,.,.,.,0,.,.,0,.,120393,113088,.,.,.,7305,120393,48819.5,.,.,.,.,671.5,49491,O
2016,230,Albany Water Gas & Light Comm,GA,Municipal,SERC,189,170,.,966123,.,.,0,.,.,0,.,966123,921579,.,.,.,44544,966123,97444.6,.,.,.,.,824,98268.6,O
2016,232,City of Albemarle - (NC),NC,Municipal,SERC,66.4,64.2,.,311842,.,.,0,.,.,0,.,311842,291506,.,.,107,20229,311842,33904,.,.,.,.,381.2,34285.2,O
2016,240,Albemarle Electric Member Corp,NC,Cooperative,SERC,55.5,68,.,232312,.,.,0,.,.,0,.,232312,214204,.,.,604,17504,232312,26690,.,.,.,.,-172,26518,O
2016,241,Albertville Municipal Utilities Board,AL,Municipal,SERC,107,107,0,605970,0,.,0,0,0,0,0,605970,584936,0,0,0,21034,605970,46619,.,0,0,0,700.7,47319.7,O
2016,261,AGC Division of APG Inc,PA,Investor Owned,RFC,612,805,3479140,177903,.,.,0,.,.,0,.,3657043,2629819,869375,.,.,157849,3657043,84667.5,.,38212,.,.,2455,125334.5,O
2016,276,Alcorn County Elec Power Assn,MS,Cooperative,SERC,127,109,0,632132,0,.,0,0,0,0,0,632132,607891,0,0,637,23603,632132,57193,.,0,0,0,1302.9,58495.9,O
