Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2016,55,City of Aberdeen - (MS),MS,8,8
2016,59,City of Abbeville - (LA),LA,15,0
2016,84,A & N Electric Coop,MD,1,0
2016,84,A & N Electric Coop,VA,43,0
2016,97,Adams Electric Coop,IL,47,47
2016,108,Adams-Columbia Electric Coop,WI,92,16
2016,118,"Adams Rural Electric Coop, Inc",OH,18,3
2016,122,Village of Arcade - (NY),NY,22,0
2016,123,City of Adel- (GA),GA,9,0
2016,150,Adrian Public Utilities Comm,MN,5,0
2016,155,Agralite Electric Coop,MN,60,0
2016,162,Aiken Electric Coop Inc,SC,122,0
2016,176,Ajo Improvement Co,AZ,5,.
2016,195,Alabama Power Co,AL,2194,3
2016,201,City of Alachua - (FL),FL,3,0
2016,207,City of Alameda,CA,26,24
2016,213,Alaska Electric Light&Power Co,AK,31,31
2016,219,Alaska Power and Telephone Co,AK,38,0
2016,221,"Alaska Village Elec Coop, Inc",AK,170,0
2016,230,Albany Water Gas & Light Comm,GA,52,0
2016,232,City of Albemarle - (NC),NC,14,12
2016,240,Albemarle Electric Member Corp,NC,31,28
2016,241,Albertville Municipal Utilities Board,AL,22,0
2016,261,AGC Division of APG Inc,IN,1,.
2016,276,Alcorn County Elec Power Assn,MS,33,15
2016,289,City of Alexander City,AL,11,.
2016,295,City of Alexandria - (MN),MN,24,6
2016,296,"Alfalfa Electric Coop, Inc",KS,3,.
2016,296,"Alfalfa Electric Coop, Inc",OK,49,.
2016,298,City of Alexandria - (LA),LA,54,0
2016,305,Alger-Delta Coop Electric Assn,MI,17,0
2016,307,Algoma Utility Comm,WI,9,9
2016,308,City of Acworth - (GA),GA,8,8
2016,309,City of Algona - (IA),IA,14,0
2016,329,"Allamakee-Clayton El Coop, Inc",IA,53,0
2016,367,City of Alliance- (NE),NE,13,1
2016,392,Alpena Power Co,MI,39,0
2016,407,Altamaha Electric Member Corp,GA,57,4
2016,416,City of Altus - (OK),OK,11,11
2016,471,Amana Society Service Co,IA,6,0
2016,554,City of Ames - (IA),IA,41,0
2016,560,City of Amherst- (OH),OH,2,.
2016,562,Amicalola Electric Member Corp,GA,52,0
2016,571,City of Amory,MS,14,0
2016,577,City of Alcoa Utilities,TN,37,0
2016,590,City of Anaheim - (CA),CA,109,109
2016,599,Anchorage Municipal Light and Power,AK,67,0
2016,604,City of Andalusia,AL,14,.
2016,636,City of Anderson - (IN),IN,50,0
2016,689,Connexus Energy,MN,201,31
2016,690,City of Bardstown - (KY),KY,15,.
2016,691,City of Anoka,MN,22,0
2016,694,Anza Electric Coop Inc,CA,8,.
2016,719,Town of Apex- (NC),NC,18,0
2016,727,Appalachian Electric Coop,TN,72,72
2016,733,Appalachian Power Co,VA,562,0
2016,733,Appalachian Power Co,WV,489,3
2016,750,Arab Electric Coop Inc,AL,20,0
2016,803,Arizona Public Service Co,AZ,1303,.
2016,814,Entergy Arkansas Inc,AR,1210,0
2016,814,Entergy Arkansas Inc,TN,2,0
2016,817,Arkansas Valley Elec Coop Corp,AR,127,0
2016,817,Arkansas Valley Elec Coop Corp,OK,13,0
2016,828,City of Arlington - (MN),MN,8,.
2016,887,"Arrowhead Electric Coop, Inc",MN,5,.
2016,907,City of Ashland - (OR),OR,11,.
2016,918,City of Aspen- (CO),CO,3,0
2016,942,Atchison-Holt Electric Coop,IA,10,4
2016,942,Atchison-Holt Electric Coop,MO,20,10
2016,947,Athens Utility Board,TN,24,0
2016,963,Atlantic City Electric Co,NJ,352,0
2016,965,Atlantic Municipal Utilities,IA,11,.
2016,993,Auburn Board of Public Works,NE,14,.
2016,994,City of Auburn - (IN),IN,20,3
2016,998,City of Augusta - (KS),KS,10,0
2016,1009,City of Austin - (MN),MN,26,0
2016,1015,Austin Energy,TX,330,31
2016,1024,City of Ava - (MO),MO,4,.
2016,1036,Town of Ayden - (NC),NC,8,0
2016,1050,City of Azusa,CA,20,.
2016,1062,BARC Electric Coop Inc,VA,43,0
2016,1101,Bagley Public Utilities Comm,MN,2,0
2016,1148,City of Baldwin City- (KS),KS,9,0
2016,1149,Baldwin County El Member Corp,AL,97,97
2016,1167,Baltimore Gas & Electric Co,MD,1572,456
2016,1169,Bailey County Elec Coop Assn,TX,88,88
2016,1175,"Bandera Electric Coop, Inc",TX,55,2
2016,1176,City of Bandon - (OR),OR,6,.
2016,1179,Emera Maine,ME,248,248
2016,1181,Village of Bangor - (WI),WI,5,.
2016,1192,City of Banning - (CA),CA,21,11
2016,1196,Village of Baraga - (MI),MI,2,0
2016,1201,Barbourville Utility Comm,KY,4,.
2016,1233,City of Barnesville - (MN),MN,7,5
2016,1251,Barron Electric Coop,WI,35,0
2016,1273,"Bartlett Electric Coop, Inc",TX,30,0
2016,1276,"Barrow Utils & Elec Coop, Inc",AK,6,.
2016,1279,Barry Electric Coop,MO,26,0
2016,1283,Bartholomew County Rural E M C,IN,30,0
2016,1300,City of Bartow - (FL),FL,17,0
2016,1301,"Barton County Elec Coop, Inc",MO,7,.
2016,1307,Basin Electric Power Coop,ND,1,1
2016,1307,Basin Electric Power Coop,WY,1,1
2016,1325,City of Batavia - (IL),IL,22,.
2016,1366,City of Bay City - (MI),MI,33,.
2016,1367,"Bayfield Electric Coop, Inc",MI,1,.
2016,1367,"Bayfield Electric Coop, Inc",WI,28,.
2016,1417,"Beartooth Electric Coop, Inc",MT,27,.
2016,1427,City of Beatrice - (NE),NE,46,46
2016,1456,Town of Bedford - (VA),VA,23,0
2016,1458,"Beauregard Electric Coop, Inc",LA,61,61
2016,1523,Town of Belmont - (MA),MA,19,15
2016,1525,City of Beloit - (KS),KS,12,0
2016,1529,"Beltrami Electric Coop, Inc",MN,75,0
2016,1566,City of Bennettsville - (SC),SC,4,0
2016,1572,Badger Power Marketing Authority,WI,2,0
2016,1573,City of Benson - (MN),MN,5,.
2016,1578,Benton County,TN,14,14
2016,1579,PUD No 1 of Benton County,WA,135,0
2016,1581,City of Benton - (AR),AR,15,14
2016,1582,City of Benton - (KY),KY,5,0
2016,1586,City of Bentonville - (AR),AR,49,.
2016,1591,"Big Country Electric Coop, Inc",TX,49,.
2016,1601,City of Beresford,SD,6,0
2016,1613,Berkeley Electric Coop Inc,SC,190,190
2016,1625,Benton Rural Electric Assn,WA,61,0
2016,1640,City of Bessemer Utilities,AL,39,0
2016,1675,Big Horn Rural Electric Co,MT,2,.
2016,1675,Big Horn Rural Electric Co,WY,13,.
2016,1683,"Big Horn County Elec Coop, Inc",MT,23,.
2016,1683,"Big Horn County Elec Coop, Inc",WY,2,.
2016,1708,Big Sandy Rural Elec Coop Corp,KY,36,.
2016,1723,"Big Bend Electric Coop, Inc",WA,56,0
2016,1736,Blachly-Lane County Coop El Assn,OR,15,0
2016,1763,"Black River Electric Coop, Inc - (SC)",SC,111,0
2016,1764,Black Diamond Power Co,WV,6,0
2016,1769,"Black Hills Electric Coop, Inc",SD,39,.
2016,1775,Black River Electric Coop - (MO),MO,62,0
2016,1776,City of Black River Falls,WI,14,0
2016,1780,Black Warrior Elec Member Corp,AL,93,0
2016,1818,City of Blaine - (WA),WA,4,0
2016,1857,Block Island Power Co,RI,6,0
