Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,19820,Victory Electric Coop Assn Inc,Cooperative,,KS,SWPP,.,.,.,.,.,"13,753","3,783","2,318",0,"19,854","13,753","3,783","2,318",0,"19,854",.,.,.,.,.,"13,753","3,783","2,318",0,"19,854","140,308","246,556","321,150",0,"708,014","13,753","3,783","2,318",0,"19,854",.,.,.,.,.
2020,19828,Town of Vidalia - (LA),Municipal,Y,LA,MISO,"1,833",944,7,.,"2,784",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"1,833",944,7,0,"2,784",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19840,"Valley Electric Assn, Inc",Cooperative,,CA,NEVP,12,2,30,0,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,2,30,0,44,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19840,"Valley Electric Assn, Inc",Cooperative,,NV,NEVP,"20,876","2,416",186,0,"23,478",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"20,876","2,416",186,0,"23,478",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19843,City of Villisca - (IA),Municipal,Y,IA,MISO,549,127,.,.,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,549,127,0,0,676,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19856,City of Vineland - (NJ),Municipal,,NJ,PJM,"9,994",485,.,.,"10,479",.,.,.,.,.,.,.,.,.,.,"12,450","2,675",55,.,"15,180","22,444","3,160",55,0,"25,659",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19865,City of Vinton - (IA),Municipal,Y,IA,MISO,"1,993",29,0,.,"2,022",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"1,993",29,0,0,"2,022",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19867,Village of Viola - (WI),Municipal,Y,WI,MISO,322,77,.,.,399,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,322,77,0,0,399,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19869,Vinton Public Power Authority,Political Subdivision,,LA,MISO,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,3,.,3,0,0,3,0,3,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0
2020,19876,Virginia Electric & Power Co,Investor Owned,,NC,PJM,"101,364","9,070",0,0,"110,434","4,182",765,2,0,"4,949",0,0,0,0,0,718,"8,589",125,0,"9,432","106,264","18,424",127,0,"124,815","4,811","3,701",619,0,"9,131","4,621","1,255",31,0,"5,907","2,790",0,0,0,"2,790"
2020,19876,Virginia Electric & Power Co,Investor Owned,,VA,PJM,"1,647,020","103,758",69,0,"1,750,847","635,411","70,442",97,30,"705,980",0,0,0,0,0,"10,075","90,136",859,7,"101,077","2,292,506","264,336","1,025",37,"2,557,904","583,289","1,017,973","19,461",197,"1,620,920","642,178","15,840",217,0,"658,235","68,463",0,0,0,"68,463"
2020,19882,Virginia Tech Electric Service,State,,VA,PJM,"5,299",496,0,0,"5,795",0,73,0,0,73,0,0,0,0,0,39,542,5,0,586,"5,338","1,111",5,0,"6,454",0,"71,529",0,0,"71,529",0,0,0,0,0,0,0,0,0,0
2020,19883,City of Virginia - (MN),Municipal,Y,MN,MISO,"3,897",468,.,.,"4,365",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,897",468,0,0,"4,365",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19896,City of Volga - (SD),Municipal,,SD,SWPP,990,132,39,0,"1,161",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,990,132,39,0,"1,161",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2020,19898,Volunteer Electric Coop,Cooperative,,TN,TVA,0,.,.,0,0,"98,919","20,400",13,0,"119,332",0,0,0,0,0,0,0,0,0,0,"98,919","20,400",13,0,"119,332","1,391,023","600,558","292,391",0,"2,283,972","98,919","20,400",0,0,"119,319",0,0,0,0,0
2020,19947,City of Wadena - (MN),Municipal,Y,MN,MISO,.,.,.,.,.,"2,205",378,94,.,"2,677",.,.,.,.,.,.,.,.,.,.,"2,205",378,94,0,"2,677","22,081","6,399","36,438",.,"64,918",.,.,.,.,.,.,.,.,.,.
2020,19951,City of Wadsworth - (OH),Municipal,,OH,PJM,.,.,.,.,.,"11,842","1,235",137,.,"13,214",.,.,.,.,.,.,.,.,.,.,"11,842","1,235",137,0,"13,214","111,060","77,672","73,291",.,"262,023",0,0,0,.,0,0,0,0,.,0
2020,19968,City of Wahoo - (NE),Municipal,Y,NE,SWPP,166,32,3,.,201,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,166,32,3,0,201,0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
2020,19974,Town of Wake Forest - (NC),Municipal,Y,NC,CPLE,0,0,.,.,0,"5,634","1,013",.,.,"6,647",.,.,.,.,.,.,.,.,.,.,"5,634","1,013",0,0,"6,647","68,162","80,516",.,.,"148,678",.,.,.,.,.,.,.,.,.,.
