Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2022,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"34,611.0","244,092","19,261","23,073.0","283,514","1,905","1,219.0","9,947",245,.,.,.,"58,903.0","537,553","21,411"
2022,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,"1,088.0","7,253",709,"1,283.0","9,231",179,"5,902.0","59,440",1,.,.,.,"8,273.0","75,924",889
2022,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0.0,0,0,0.0,0,0,"65,437.0","855,423",2,0.0,0,0,"65,437.0","855,423",2
2022,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0.0,0,0,0.0,0,0,"24,932.0","372,681",3,0.0,0,0,"24,932.0","372,681",3
2022,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,"21,208.0","180,795","24,889","29,087.5","333,957","3,053","12,390.8","157,063",8,0.0,0,0,"62,686.3","671,815","27,950"
2022,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"83,740.6","699,415","47,836","16,467.5","122,842","5,821",.,.,.,.,.,.,"100,208.1","822,257","53,657"
2022,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,"4,646.0","38,463","2,877","6,747.0","52,783","1,179","3,317.0","38,213",3,0.0,0,0,"14,710.0","129,459","4,059"
2022,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,"48,520.0","398,629","27,010","27,020.0","223,484","4,148",147.0,904,1,0.0,0,0,"75,687.0","623,017","31,159"
2022,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,"100,861.0","618,231","104,561","124,625.0","727,427","17,557","122,338.0","876,269",273,.,.,.,"347,824.0","2,221,927","122,391"
2022,604,City of Andalusia,A,Bundled,O,AL,Municipal,SOCO,"6,074.0","41,457","3,613","9,205.0","57,813","1,063","13,645.0","256,652",2,.,.,.,"28,924.0","355,922","4,678"
2022,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,"37,186.3","312,486","30,442","28,585.7","277,476","4,276","21,192.3","278,479",59,.,.,.,"86,964.3","868,441","34,777"
2022,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,"175,334.4","1,270,824","130,048","67,300.9","626,230","11,846","14,917.4","177,415",422,.,.,.,"257,552.7","2,074,469","142,316"
2022,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,"4,461.0","42,524","3,426","5,588.0","55,284","1,241","7,909.0","87,653",15,.,.,.,"17,958.0","185,461","4,682"
2022,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,"12,227.0","77,875","11,462","10,390.0","88,672","1,332","13,571.0","112,561",19,.,.,.,"36,188.0","279,108","12,813"
2022,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,CPLE,"29,873.9","251,133","25,332","11,919.5","101,423","1,846",.,.,.,.,.,.,"41,793.4","352,556","27,178"
2022,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,TVA,"80,669.0","629,092","42,362","32,093.0","246,175","7,307","5,888.0","79,928",7,0.0,0,0,"118,650.0","955,195","49,676"
2022,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,PJM,"814,405.0","6,252,210","460,456","381,361.0","3,712,911","80,439","373,126.0","4,770,826","1,924",0.0,0,0,"1,568,892.0","14,735,947","542,819"
2022,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,PJM,"751,225.0","4,907,186","351,800","351,926.0","3,146,193","66,869","294,300.0","3,784,298","2,213",0.0,0,0,"1,397,451.0","11,837,677","420,882"
2022,733,Appalachian Power Co,C,Delivery,O,VA,Investor Owned,PJM,0.0,0,0,445.0,"49,632",49,455.0,"294,375",6,0.0,0,0,900.0,"344,007",55
2022,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,TVA,"24,796.0","202,278","13,565","12,850.0","102,207","2,777",351.0,"3,498",2,0.0,0,0,"37,997.0","307,983","16,344"
2022,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,AZPS,"2,046,110.7","14,756,798","1,202,975","1,572,024.0","13,643,827","138,559","195,593.0","2,121,332","2,825",0.0,0,0,"3,813,727.7","30,521,957","1,344,359"
2022,814,Entergy Arkansas LLC,A,Bundled,O,AR,Investor Owned,MISO,"946,715.7","8,024,677","602,731","550,693.9","5,815,763","98,757","559,145.0","8,485,598","23,691",0.9,6,1,"2,056,555.5","22,326,044","725,180"
2022,814,Entergy Arkansas LLC,A,Bundled,O,TN,Investor Owned,MISO,3.7,32,1,3.9,24,3,1.8,6,3,0.0,0,0,9.4,62,7
2022,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,AR,Cooperative,SWPP,"98,291.3","770,820","53,096","21,816.9","185,518","4,108","21,507.7","297,466",43,0.0,0,0,"141,615.9","1,253,804","57,247"
2022,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,OK,Cooperative,SWPP,"8,064.8","61,494","4,187","3,565.6","31,308",527,0.0,0,0,0.0,0,0,"11,630.4","92,802","4,714"
2022,944,City of Athens - (AL),A,Bundled,O,AL,Municipal,TVA,"82,715.0","729,092","45,984","45,577.0","375,712","7,635","30,882.0","391,840",14,0.0,0,0,"159,174.0","1,496,644","53,633"
2022,947,Athens Utility Board,A,Bundled,O,TN,Municipal,TVA,"18,246.0","157,477","11,335","18,315.0","145,129","2,428","20,951.0","344,170",7,0.0,0,0,"57,512.0","646,776","13,770"
2022,963,Atlantic City Electric Co,A,Bundled,O,NJ,Investor Owned,PJM,"729,679.7","3,769,220","458,134","246,309.8","1,472,555","49,300","16,402.5","131,871",336,0.0,0,0,"992,392.0","5,373,646","507,770"
2022,963,Atlantic City Electric Co,C,Delivery,O,NJ,Investor Owned,PJM,"33,716.3","361,653","43,103","149,992.2","2,541,252","16,089","20,874.7","508,091",264,0.0,0,0,"204,583.2","3,410,996","59,456"
2022,970,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,"169,969.7","3,675,986","333,852","150,460.9","2,723,251","3,281","54,657.1","843,428",120,"2,651.2","22,269",1,"377,738.9","7,264,934","337,254"
2022,994,City of Auburn - (IN),A,Bundled,O,IN,Municipal,PJM,"6,950.4","65,823","6,753","3,036.2","25,452",900,"36,220.5","325,462",166,.,.,.,"46,207.1","416,737","7,819"
