Utility Characteristics,,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2022,55,City of Aberdeen - (MS),,MS,TVA,0,19,1,0,20,,Y,Y,,,,,,,,,,,,,,,,,
2022,84,A & N Electric Coop,,VA,PJM,2,5,0,0,7,Y,Y,,,,,,,,,,,,,,,,,,
2022,97,Adams Electric Coop,Y,IL,MISO,51,11,.,.,62,,,,,,,,,,,,,,,,,,,,
2022,108,Adams-Columbia Electric Coop,,WI,MISO,831,"1,053",24,.,"1,908",Y,Y,Y,,,,,,,,,,,Y,Y,,,,Y,
2022,162,Aiken Electric Coop Inc,,SC,SC,2,70,0,0,72,Y,Y,,,,,,,,,,,,,,,,,,
2022,195,Alabama Power Co,,AL,SOCO,"2,602","4,459","1,094",.,"8,155",Y,Y,Y,,,,Y,,,,,,Y,,,,,,,
2022,213,Alaska Electric Light & Power Co.,,AK,NA,42,4,.,.,46,Y,Y,,,,,,,,,,,,,,,,,,
2022,240,Albemarle Electric Member Corp,,NC,PJM,33,8,.,.,41,Y,Y,,,,,,,,,,,,,,,,,,
2022,241,Albertville Municipal Utilities Board,,AL,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2022,276,Alcorn County Elec Power Assn,,MS,TVA,0,1,4,0,5,,Y,Y,,,,,,,,,,,,,,,,,
2022,307,Algoma Utility Comm,,WI,MISO,3,27,1,0,31,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,407,Altamaha Electric Member Corp,,GA,SOCO,.,.,231,.,231,,,Y,,,,,,,,,,,,,,,,,
2022,540,BP Energy Company,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2022,554,City of Ames - (IA),,IA,MISO,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2022,571,City of Amory,,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
