,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or,,,
,,,,,,,,,parts of power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blacked out area or within,,,
,,,,,,,,,the partial failure of an,,,
,,,,,,,,,integrated electrical system.-,,,
2021,1,01/02/2021 10:28 AM,01/02/2021 10:29 AM,"0 Hours, 1 Minutes",,Pacific Gas & Electric Co,WECC,California: Butte County;,System Operations,,8,5803
,,,,,,,,,Unexpected Transmission,,,
,,,,,,,,,"loss within its area, contrary",,,
,,,,,,,,,"to design, of three or more",,,
,,,,,,,,,Bulk Electric System,,,
,,,,,,,,,Facilities caused by a,,,
,,,,,,,,,common disturbance,,,
,,,,,,,,,(excluding successful,,,
,,,,,,,,,automatic reclosing).-,,,
2021,1,01/04/2021 10:34 AM,01/04/2021 10:49 AM,"0 Hours, 15 Minutes",,FirstEnergy Corp,RF,Pennsylvania:,Transmission Interruption,,6,3825
,,,,,,,,"Texas: Anderson County,",,,,
,,,,,,,,"Angelina County, Dallas",,,,
,,,,,,,,"County, Freestone County,",,,,
,,,,,,,,"Henderson County, Houston",Loss of electric service to,,,
,,,,,,,,"County, Leon County,","more than 50,000 customers",,,
,,,,,,,,"Nacogdoches County, Smith",for 1 hour or more.-Severe,,,
2021,1,01/10/2021 10:44 PM,01/13/2021 4:00 PM,"65 Hours, 16 Minutes",Oncor Electric Delivery Company LLC,,TRE,"County, Tarrant County;",Weather,Unknown,188000,
,,,,,,,,,Loss of electric service to,,,
,,,,,,,,,"more than 50,000 customers",,,
,,,,,,,,,for 1 hour or more.-Severe,,,
,,,,,American Electric Power - (SPP Reliability,,,,Weather/Distribution,,,
2021,1,01/11/2021 5:00 AM,01/11/2021 2:22 PM,"9 Hours, 22 Minutes",,Region),SERC,Louisiana: Texas:,Interruption,Unknown,58000,
,,,,,,,,,Loss of electric service to,,,
,,,,,,,,,"more than 50,000 customers",,,
,,,,,,,,,for 1 hour or more.-Severe,,,
,,,,,,,,Washington: Snohomish,Weather/Transmission,,,
2021,1,01/12/2021 8:30 PM,.,.,". Hours, . Minutes",Snohomish County PUD No 1,WECC,County;,Interruption,200,62000,
,,,,,,,,,Loss of electric service to,,,
,,,,,,,,"Oregon: Clackamas County,","more than 50,000 customers",,,
,,,,,,,,"Multnomah County,",for 1 hour or more.-Severe,,,
2021,1,01/12/2021 8:46 PM,01/13/2021 4:00 PM,"19 Hours, 14 Minutes",,Portland General Electric Co,WECC,Washington County;,Weather,Unknown,94231,
,,,,,,,,,Loss of electric service to,,,
,,,,,,,,,"more than 50,000 customers",,,
,,,,,,,,,for 1 hour or more.-Severe,,,
,,,,,,,,,Weather/Distribution,,,
2021,1,01/12/2021 11:49 PM,01/14/2021 2:00 PM,"38 Hours, 11 Minutes","Seattle City Light, Sytem Control Center",,WECC,Washington:,Interruption,150,70000,
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or,,,
,,,,,,,,,parts of power grid remain(s),,,
,,,,,,,,"Washington: Kitsap County,",operational in an otherwise,,,
,,,,,,,,"Thurston County, King",blacked out area or within,,,
,,,,,,,,"County, Pierce County,",the partial failure of an,,,
,,,,,,,,"Skagit County, Whatcom",integrated electrical system.-,,,
2021,1,01/12/2021 11:50 PM,01/15/2021 1:00 PM,"61 Hours, 10 Minutes",,Puget Sound Energy,WECC,County;,Severe Weather,100,320000,
,,,,,,,,,Loss of electric service to,,,
,,,,,,,,,"more than 50,000 customers",,,
,,,,,,,,,for 1 hour or more.-Severe,,,
2021,1,01/13/2021 3:43 AM,01/13/2021 4:00 PM,"12 Hours, 17 Minutes",,Avista Corp,WECC,Washington: Idaho:,Weather,185,70417,
,,,,,,,,,Loss of electric service to,,,
,,,,,,,,,"more than 50,000 customers",,,
,,,,,,,,,for 1 hour or more.-Severe,,,
2021,1,01/19/2021 2:48 AM,01/20/2021 11:41 AM,"32 Hours, 53 Minutes",,Pacific Gas & Electric Co,WECC,California:,Weather,411,124888,
,,,,,,,,"California: Kern County, Los",,,,
,,,,,,,,"Angeles County, Riverside",Loss of electric service to,,,
,,,,,,,,"County, San Bernardino","more than 50,000 customers",,,
,,,,,,,,"County, Ventura County,",for 1 hour or more.-Severe,,,
