Utility Characteristics,,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2019,19687,City of Valley City,,ND,SWPP,300,628,94,0,"1,022",0.0,0.1,0.0,0.0,0.2,"3,604","7,532","1,126",0,"12,261",0.0,0.1,0.0,0.0,0.2,8,28,4,0,40,3,11,2,0,16,8,28,4,0,40,3,11,2,0,16,12.000,12.000,12.000,0.000,
2019,19728,"UNS Electric, Inc",,AZ,TEPC,"15,699",882,"3,815",0,"20,396",2.5,0.1,0.5,0.0,3.1,"274,567","9,688","47,726",0,"331,981",2.5,0.1,0.5,0.0,3.1,927,57,247,0,"1,231",736,28,120,0,884,927,57,247,0,"1,231",736,28,120,0,884,17.490,10.980,12.510,0.000,
2019,19788,City of Vermillion - (SD),,SD,SWPP,247,131,0,0,378,0.1,0.0,0.0,0.0,0.1,"4,315","1,571",0,0,"5,887",0.1,0.0,0.0,0.0,0.1,81,8,0,0,89,32,3,0,0,36,81,8,0,0,89,32,3,0,0,36,17.500,12.000,12.000,0.000,
2019,19790,Verendrye Electric Coop Inc,,ND,MISO,36,178,"2,037",0,"2,251",0.1,0.5,5.6,0.0,6.2,363,"1,781","20,366",0,"22,511",0.1,0.5,5.6,0.0,6.2,9,27,1,0,36,9,27,1,0,36,9,27,1,0,36,9,27,1,0,36,10.000,10.000,10.000,0.000,
2019,19798,City of Vernon,,CA,CISO,0,"3,234","4,985",0,"8,220",0.0,0.5,1.1,0.0,1.6,0,"35,664","54,842",0,"90,506",0.0,0.5,1.1,0.0,1.6,0,812,"1,352",0,"2,164",0,0,0,0,0,0,812,"1,352",0,"2,164",0,0,0,0,0,0.000,11.030,11.000,0.000,
2019,19806,"Victoria Electric Coop, Inc",,TX,ERCO,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,20,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.000,0.000,0.000,0.000,
2019,19813,Vernon Electric Coop,,WI,MISO,299,16,0,0,315,0.0,0.0,0.0,0.0,0.0,"4,376",235,0,0,"4,611",0.0,0.0,0.0,0.0,0.0,56,0,0,0,56,44,2,0,0,46,56,0,0,0,56,44,2,0,0,46,14.636,14.667,0.000,0.000,
2019,19843,City of Villisca - (IA),Y,IA,MISO,9,0,0,0,9,0.0,0.0,0.0,0.0,0.0,171,0,0,0,171,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,2,0,0,0,2,1,0,0,0,1,2,0,0,0,2,19.850,0.000,0.000,0.000,www.cipco.net
2019,19865,City of Vinton - (IA),,IA,MISO,20,53,0,0,73,0.1,0.0,0.0,0.0,0.1,372,"1,004",0,0,"1,376",0.1,0.0,0.0,0.0,0.1,11,6,0,0,18,2,6,0,0,9,11,6,0,0,18,2,6,0,0,9,18.270,19.040,0.000,18.830,
2019,19876,Virginia Electric & Power Co,,NC,PJM,65,"4,036",0,0,"4,101",0.0,0.8,0.0,0.0,0.8,908,"40,469",0,0,"41,378",0.0,0.8,0.0,0.0,0.8,153,506,0,0,660,52,317,0,0,369,153,506,0,0,660,52,317,0,0,369,14.000,10.026,0.000,0.000,
