Utility Characteristics,,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2019,13936,Oakdale Electric Coop,,WI,MISO,"5,546",134,0,0,"5,680",0,0,0,0,0,2.3,4.1,0.0,0.0,6.4,1.7,3.2,0.0,0.0,4.9,443,11,0,0,454,95,2,0,0,97,0
2019,13998,Ohio Edison Co,,OH,PJM,0,0,16,0,16,0,0,0,0,0,0.0,0.0,216.4,0.0,216.4,0.0,0.0,216.4,0.0,216.4,0,0,"9,964",0,"9,964",0,0,0,0,0,0
2019,14006,Ohio Power Co,,OH,PJM,0,0,25,0,25,0,0,0,0,0,0.0,0.0,486.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,14063,Oklahoma Gas & Electric Co,,AR,SWPP,0,12,0,0,12,0,0,0,0,0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,0.0,0.0,0.0,0,"3,685",0,0,"3,685",0,0,0,0,0,0
2019,14063,Oklahoma Gas & Electric Co,,OK,SWPP,"103,903","13,199",0,0,"117,102","2,121","8,082",0,0,"10,203",111.3,105.0,0.0,0.0,216.3,111.3,7.9,0.0,0.0,119.2,301,"3,513",0,0,"3,814",991,126,0,0,"1,117",0
2019,14127,Omaha Public Power District,,NE,SWPP,"48,778",25,1,0,"48,804",0,0,0,0,0,69.9,39.0,12.0,0.0,120.9,69.9,39.0,12.0,0.0,120.9,"1,135","1,233",576,0,"2,944",552,35,0,0,587,0
2019,14132,City of Onawa - (IA),,IA,MISO,485,6,0,0,491,3,0,0,0,3,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,129,0,0,0,129,0,0,0,0,0,0
2019,14154,Orange & Rockland Utils Inc,,NY,NYIS,"3,045",39,21,0,"3,105",4,32,26,0,62,3.0,13.2,19.9,0.0,36.1,2.7,13.0,8.9,0.0,25.2,81,367,242,0,690,161,52,34,0,247,0
2019,14175,"Tri-County Electric Coop, Inc (SC)",,SC,SC,"17,326",0,242,0,"17,568","1,013",0,320,0,"1,333",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2019,14178,"P K M Electric Coop, Inc",,MN,MISO,"1,705",100,0,0,"1,805",0,0,0,0,0,20.2,4.3,0.0,0.0,24.5,9.6,2.2,0.0,0.0,11.7,12,2,0,0,14,0,0,0,0,0,4
2019,14201,City of Osage - (IA),,IA,MISO,569,65,0,0,634,7,2,0,0,8,0.7,0.2,0.0,0.0,0.8,0.7,0.2,0.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0
2019,14202,"Osceola Electric Coop, Inc",,IA,SWPP,615,0,0,0,615,0,0,0,0,0,4.0,0.0,0.0,0.0,4.0,3.4,0.0,0.0,0.0,3.4,23,0,0,0,23,5,0,0,0,5,0
2019,14232,Otter Tail Power Co,,MN,MISO,"17,563","3,222",195,0,"20,980",0,0,0,0,0,18.0,22.0,15.0,0.0,55.0,18.0,22.0,15.0,0.0,55.0,24,4,0,0,28,113,106,36,0,254,18
2019,14246,City of Owatonna - (MN),,MN,MISO,"6,840",250,6,0,"7,096",78,19,13,0,110,2.1,1.4,1.6,0.0,5.1,2.1,1.2,1.3,0.0,4.6,121,60,54,0,235,0,0,0,0,0,0
2019,14267,"Otsego Electric Coop, Inc",Y,NY,NYIS,868,8,0,0,876,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0,0,21,22,0,0,0,22,0
2019,14328,Pacific Gas & Electric Co.,,CA,CISO,"154,194","112,565","1,622",0,"268,381",699,80,"3,184",0,"3,963",72.0,11.0,441.0,0.0,524.0,31.0,0.0,2.0,0.0,33.0,48,752,"30,131",0,"30,931","7,579",469,"18,796",0,"26,844",0
2019,14354,PacifiCorp,,ID,PACE,0,0,157,0,157,0,0,0,0,0,0.0,0.0,214.0,0.0,214.0,0.0,0.0,138.1,0.0,138.1,0,0,0,0,0,0,0,"3,809",0,"3,809",0
2019,14354,PacifiCorp,,OR,PACW,0,0,5,0,5,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,181,0,181,0
2019,14354,PacifiCorp,,UT,PACE,"93,151",0,40,0,"93,191",0,0,0,0,0,217.0,0.0,17.5,0.0,234.5,107.5,0.0,10.9,0.0,118.4,"3,285",0,0,0,"3,285","2,741",0,0,0,"2,741",0
2019,14398,Palmetto Electric Coop Inc,,SC,SC,"38,860",61,6,0,"38,927",2,0,0,0,2,35.1,8.3,3.5,0.0,46.8,24.5,6.8,2.7,0.0,34.0,164,0,0,0,164,920,19,2,0,940,642
2019,14426,Panhandle Rural El Member Assn,,NE,WACM,0,0,411,0,411,0,0,"6,480",0,"6,480",0.0,0.0,134.0,0.0,134.0,0.0,0.0,20.4,0.0,20.4,0,0,396,0,396,0,0,130,0,130,0
2019,14468,People's Cooperative Services,,MN,MISO,"2,120",64,5,0,"2,189",0,0,0,0,0,6.7,2.0,0.4,0.0,9.1,5.4,1.6,0.3,0.0,7.3,566,17,26,0,609,154,5,7,0,166,0
2019,14489,City of Parker - (SD),Y,SD,SWPP,392,0,0,0,392,39,0,0,0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
