Utility Characteristics,,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Short Form,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2019,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,,"5,190.0","44,764","3,895","8,956.0","85,405",721,.,.,.,.,.,.,"14,146.0","130,169","4,616"
2019,202,Town of Black Creek - (NC),A,Bundled,O,NC,Municipal,CPLE,Y,"1,145.0","8,976",645,317.0,"2,390",117,.,.,.,.,.,.,"1,462.0","11,366",762
2019,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,,"24,923.5","125,585","29,625","37,656.4","217,170","4,006",.,.,.,.,.,.,"62,579.9","342,755","33,631"
2019,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,,"20,309.5","143,208","14,793","14,572.2","121,011","2,354","8,831.2","73,577",133,.,.,.,"43,712.9","337,796","17,280"
2019,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,,"7,720.0","25,514","5,631","10,681.0","41,533","2,502",0.0,0,0,0.0,0,0,"18,401.0","67,047","8,133"
2019,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,,"21,366.4","41,117","8,065","34,298.7","77,865","3,382",0.0,0,0,0.0,0,0,"55,665.1","118,982","11,447"
2019,228,City of Albany - (MO),A,Bundled,O,MO,Municipal,SWPP,Y,"1,247.0","8,615",882,807.0,"6,536",148,.,.,.,.,.,.,"2,054.0","15,151","1,030"
2019,229,City of Albany - (IL),A,Bundled,O,IL,Municipal,MISO,Y,507.0,"3,791",437,89.0,953,17,.,.,.,.,.,.,596.0,"4,744",454
2019,230,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,,"38,596.0","358,604","31,473","59,349.0","522,911","5,610",.,.,.,.,.,.,"97,945.0","881,515","37,083"
2019,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,,"16,750.9","131,544","9,859","13,003.7","121,443","2,200","2,259.5","29,581",13,0.0,0,0,"32,014.1","282,568","12,072"
2019,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,,"24,981.0","177,135","11,955","4,166.0","34,650","1,103",621.0,"7,598",21,.,.,.,"29,768.0","219,383","13,079"
2019,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,,"11,979.0","121,847","8,065","18,067.0","174,671","2,197","17,461.0","307,704",15,0.0,0,0,"47,507.0","604,222","10,277"
2019,244,City of Albion - (ID),A,Bundled,O,ID,Municipal,BPAT,Y,197.0,"2,103",183,78.0,"1,035",35,.,.,.,.,.,.,275.0,"3,138",218
2019,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,MISO,,0.0,0,0,0.0,0,0,"148,499.9","3,457,376",1,0.0,0,0,"148,499.9","3,457,376",1
2019,266,City of Alpha - (MN),A,Bundled,O,MN,Municipal,MISO,Y,70.0,659,70,64.0,398,9,.,.,.,.,.,.,134.0,"1,057",79
2019,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,,"25,239.0","220,176","14,811","19,889.0","163,340","4,008","10,791.0","207,753",6,0.0,0,0,"55,919.0","591,269","18,825"
2019,282,Village of Arcadia - (OH),A,Bundled,O,OH,Municipal,PJM,Y,371.1,"2,814",249,116.1,844,49,178.0,"1,400",3,.,.,.,665.2,"5,058",301
2019,289,City of Alexander City,A,Bundled,O,AL,Municipal,SOCO,,"5,725.0","56,011","4,983","3,914.0","27,691","1,010","3,668.0","45,986",61,.,.,.,"13,307.0","129,688","6,054"
2019,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,,"8,055.4","77,784","8,244","3,749.0","35,906","1,692","13,333.0","168,122",208,.,.,.,"25,137.4","281,812","10,144"
2019,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,,395.0,"4,030",220,882.0,"6,351",715,"1,189.0","15,341",17,.,.,.,"2,466.0","25,722",952
2019,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,,"4,978.0","51,453","2,700","5,630.0","39,851","4,693","39,011.0","597,330",259,.,.,.,"49,619.0","688,634","7,652"
2019,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,,"29,195.0","291,666","20,034","36,932.0","384,987","3,786",465.0,"5,703",7,.,.,.,"66,592.0","682,356","23,827"
2019,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,,"10,157.0","49,253","9,540","2,200.0","13,869",548,"2,442.0","12,859",1,0.0,.,.,"14,799.0","75,981","10,089"
2019,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,,"1,385.0","11,220","1,663","1,986.4","19,434",360,527.3,"6,671",1,0.0,.,.,"3,898.7","37,325","2,024"
2019,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,SOCO,,"8,997.5","62,904","5,970","4,651.3","36,971",551,237.1,"1,764",3,.,.,.,"13,885.9","101,639","6,524"
2019,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,SWPP,,"3,992.0","28,102","3,044","3,342.0","28,188",676,"3,854.0","57,077",16,.,.,.,"11,188.0","113,367","3,736"
2019,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,MISO,,"17,353.1","118,721","9,462","1,845.5","14,674",525,.,.,.,.,.,.,"19,198.6","133,395","9,987"
2019,366,City of Allendale- (IL),A,Bundled,O,IL,Municipal,MISO,Y,272.0,"2,920",239,94.0,163,20,.,.,.,.,.,.,366.0,"3,083",259
2019,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,SWPP,,"5,079.7","39,157","4,208","4,984.0","40,050","1,049","2,949.2","28,863",9,0.0,0,0,"13,012.9","108,070","5,266"
2019,385,City of Alma - (KS),A,Bundled,O,KS,Municipal,SWPP,Y,459.7,"3,410",360,363.3,"2,791",108,709.0,"6,510",4,.,.,.,"1,532.0","12,711",472
2019,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,,"12,609.4","86,654","13,698","12,520.6","97,865","2,809","9,240.6","148,955",4,0.0,0,0,"34,370.6","333,474","16,511"
2019,405,City of Alta - (IA),A,Bundled,O,IA,Municipal,MISO,Y,"1,046.1","10,071",829,886.9,"8,709",157,0.0,0,0,0.0,0,0,"1,933.0","18,780",986
2019,406,City of Altamont - (IL),A,Bundled,O,IL,Municipal,MISO,Y,"1,428.0","11,321","1,348",347.0,"3,632",171,662.0,"7,926",24,.,.,.,"2,437.0","22,879","1,543"
2019,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,,"32,685.0","240,928","18,705","10,679.0","65,649","1,858","9,514.0","134,100",227,.,.,.,"52,878.0","440,677","20,790"
2019,408,City of Altamont - (KS),A,Bundled,O,KS,Municipal,SWPP,Y,571.0,"6,208",540,328.0,"1,306",11,.,.,.,.,.,.,899.0,"7,514",551
2019,416,City of Altus - (OK),A,Bundled,O,OK,Municipal,SWPP,,"13,097.0","89,333","7,584","6,451.0","60,979","1,164","3,554.0","46,343",2,.,.,.,"23,102.0","196,655","8,750"
2019,432,City of Alta Vista- (IA),A,Bundled,O,IA,Municipal,MISO,Y,133.1,"1,183",134,45.6,458,29,3.5,54,9,0.0,0,0,182.2,"1,695",172
2019,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,,961.0,"7,260",709,"1,003.0","8,500",181,"6,297.0","82,847",1,0.0,0,0,"8,261.0","98,607",891
2019,482,City of Alvarado - (MN),A,Bundled,O,MN,Municipal,MISO,Y,305.0,"2,739",164,154.0,"1,102",31,.,.,.,.,.,.,459.0,"3,841",195
2019,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,,0.0,0,0,0.0,0,0,"24,463.0","836,461",2,0.0,0,0,"24,463.0","836,461",2
2019,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,,0.0,0,0,0.0,0,0,"4,329.0","60,957",3,0.0,0,0,"4,329.0","60,957",3
2019,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,,"19,680.1","169,030","23,943","27,774.4","341,429","3,006","10,240.6","128,996",7,0.0,0,0,"57,695.1","639,455","26,956"
2019,560,City of Amherst- (OH),A,Bundled,O,OH,Municipal,PJM,,"6,909.0","58,494","5,586","1,985.0","15,844",612,"3,857.0","32,667",78,.,.,.,"12,751.0","107,005","6,276"
2019,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,,"74,868.9","666,875","44,909","14,760.6","119,512","5,082",0.0,0,0,0.0,0,0,"89,629.5","786,387","49,991"
2019,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,,"4,273.0","40,174","2,881","6,113.0","54,152","1,122","2,781.0","34,942",3,0.0,0,0,"13,167.0","129,268","4,006"
2019,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,,"42,659.0","391,395","25,859","24,599.0","230,483","3,856",143.0,"1,026",1,0.0,0,0,"67,401.0","622,904","29,716"
2019,588,Anadarko Public Works Authority,A,Bundled,O,OK,Municipal,SWPP,Y,"2,478.0","25,392","1,914","2,413.0","28,706",532,.,.,.,.,.,.,"4,891.0","54,098","2,446"
2019,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,,"99,321.0","584,770","102,567","131,998.0","740,875","17,415","131,553.0","911,473",297,.,.,.,"362,872.0","2,237,118","120,279"
2019,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,AMPL,,"26,832.6","115,730","24,721","131,736.0","807,698","6,413",.,.,.,.,.,.,"158,568.6","923,428","31,134"
2019,604,City of Andalusia,A,Bundled,O,AL,Municipal,AEC,,"5,625.0","43,116","3,632","8,575.0","60,488","1,007","14,093.0","275,604",2,.,.,.,"28,293.0","379,208","4,641"
2019,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,,"35,145.3","316,543","30,444","28,778.2","301,195","3,846","17,708.7","248,778",61,0.0,0,0,"81,632.2","866,516","34,351"
2019,661,Village of Andover - (NY),A,Bundled,O,NY,Municipal,NYIS,Y,194.0,"4,454",600,114.0,"2,617",10,.,.,.,.,.,.,308.0,"7,071",610
2019,669,Village of Angelica - (NY),A,Bundled,O,NY,Municipal,NYIS,Y,407.6,"6,470",644,286.7,"3,555",79,.,.,.,.,.,.,694.3,"10,025",723
2019,682,City of Anita - (IA),A,Bundled,O,IA,Municipal,MISO,Y,426.2,"4,912",488,312.3,"3,820",115,.,.,.,.,.,.,738.5,"8,732",603
2019,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,,"156,758.4","1,166,185","123,966","65,799.7","622,260","11,512","13,859.1","167,885",412,0.0,0,0,"236,417.2","1,956,330","135,890"
2019,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,,"3,884.0","45,559","3,425","4,640.0","56,738","1,213","9,635.0","98,380",15,.,.,.,"18,159.0","200,677","4,653"
2019,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,,"9,864.0","72,990","10,909","9,184.0","94,060","1,329","9,900.0","99,956",16,.,.,.,"28,948.0","267,006","12,254"
2019,694,Anza Electric Coop Inc,A,Bundled,O,CA,Cooperative,WALC,,"9,305.0","49,819","4,435","2,097.0","11,213",343,0.0,0,0,.,.,.,"11,402.0","61,032","4,778"
2019,695,City of Ansley - (NE),A,Bundled,O,NE,Municipal,SWPP,Y,366.0,"2,233",260,258.0,"1,693",82,0.0,0,0,0.0,0,0,624.0,"3,926",342
2019,700,City of Anthon - (IA),A,Bundled,O,IA,Municipal,SWPP,Y,453.0,"4,341",312,217.0,"1,982",47,0.0,0,0,.,.,.,670.0,"6,323",359
2019,701,City of Anthony - (KS),A,Bundled,O,KS,Municipal,SWPP,Y,"1,815.0","13,408","1,548","2,060.0","18,386",341,96.0,693,10,.,.,.,"3,971.0","32,487","1,899"
2019,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,CPLE,,"22,681.1","223,168","20,526","10,583.0","118,292","1,657",.,.,.,.,.,.,"33,264.1","341,460","22,183"
2019,723,City of Aplington,A,Bundled,O,IA,Municipal,MISO,Y,608.0,"4,938",482,188.0,"1,588",66,.,.,.,.,.,.,796.0,"6,526",548
2019,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,TVA,,"71,578.0","617,841","40,466","28,759.0","247,707","6,702","4,930.0","76,152",7,0.0,0,0,"105,267.0","941,700","47,175"
2019,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,PJM,,"679,655.0","6,194,040","453,321","330,404.0","3,836,385","77,763","314,750.0","4,763,605","1,950",0.0,0,0,"1,324,809.0","14,794,030","533,034"
2019,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,PJM,,"592,670.0","5,059,375","353,017","306,914.0","3,329,554","66,276","279,231.0","4,352,190","2,290",0.0,0,0,"1,178,815.0","12,741,119","421,583"
2019,733,Appalachian Power Co,C,Delivery,O,VA,Investor Owned,PJM,,0.0,0,0,442.0,"55,505",61,622.0,"430,440",9,0.0,0,0,"1,064.0","485,945",70
2019,737,Aguila Irrigation District,A,Bundled,O,AZ,Political Subdivision,AZPS,Y,.,.,.,.,.,.,"1,523.0","26,569",56,.,.,.,"1,523.0","26,569",56
2019,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,TVA,,"21,523.0","196,202","12,827","12,158.0","109,285","2,750",198.0,"4,036",1,0.0,0,0,"33,879.0","309,523","15,578"
2019,752,City of Arapahoe - (NE),A,Bundled,O,NE,Municipal,SWPP,Y,798.1,"5,166",538,631.4,"4,615",159,53.7,225,26,.,.,.,"1,483.2","10,006",723
2019,765,City of Arcadia - (WI),A,Bundled,O,WI,Municipal,MISO,Y,"1,292.4","12,029","1,326",553.2,"4,931",234,"5,209.7","70,260",61,.,.,.,"7,055.3","87,220","1,621"
2019,768,City of Arcanum - (OH),A,Bundled,O,OH,Municipal,PJM,Y,"1,981.0","16,800","1,500",239.0,"1,974",122,374.0,"3,271",27,.,.,.,"2,594.0","22,045","1,649"
2019,789,Town of Argos,A,Bundled,O,IN,Municipal,MISO,Y,828.7,"6,445",748,543.5,"4,260",99,"1,462.8","14,594",5,0.0,0,0,"2,835.0","25,299",852
2019,792,City of Argyle - (WI),A,Bundled,O,WI,Municipal,MISO,Y,306.5,"3,691",400,125.2,"1,447",91,130.8,"1,340",7,.,.,.,562.5,"6,478",498
2019,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,AZPS,,"1,793,584.0","13,189,233","1,123,829","1,360,481.0","12,440,039","132,829","179,329.0","2,215,305","3,728",.,.,.,"3,333,394.0","27,844,577","1,260,386"
2019,814,Entergy Arkansas LLC,A,Bundled,O,AR,Investor Owned,MISO,,"787,794.3","7,996,178","594,093","555,865.8","6,062,923","95,840","517,721.9","7,758,884","23,138",13.8,124,1,"1,861,395.8","21,818,109","713,072"
2019,814,Entergy Arkansas LLC,A,Bundled,O,TN,Investor Owned,MISO,,1.6,17,1,3.7,26,4,1.7,6,3,0.0,0,.,7.0,49,8
2019,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,AR,Cooperative,SWPP,,"81,942.5","774,904","51,385","17,279.5","182,044","3,938","12,794.8","242,779",39,0.0,0,0,"112,016.8","1,199,727","55,362"
2019,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,OK,Cooperative,SWPP,,"6,587.8","60,080","4,039","2,766.5","30,909",500,0.0,0,0,0.0,0,0,"9,354.3","90,989","4,539"
2019,828,City of Arlington - (MN),A,Bundled,O,MN,Municipal,MISO,,886.4,"8,093",948,907.1,"9,064",163,.,.,.,.,.,.,"1,793.5","17,157","1,111"
2019,831,City of Arlington - (SD),A,Bundled,O,SD,Municipal,SWPP,Y,770.3,"6,555",496,605.8,"3,050",90,138.2,"1,165",3,.,.,.,"1,514.3","10,770",589
2019,832,City of Arma - (KS),A,Bundled,O,KS,Municipal,SWPP,Y,"1,500.0","10,848",780,3.0,150,30,1.0,75,10,0.0,0,0,"1,504.0","11,073",820
2019,871,Village of Arnold - (NE),A,Bundled,O,NE,Municipal,SWPP,Y,488.0,"3,892",340,412.0,"2,159",150,.,.,.,.,.,.,900.0,"6,051",490
2019,887,"Arrowhead Electric Coop, Inc",A,Bundled,O,MN,Cooperative,MISO,,"6,916.2","46,535","3,856","3,321.6","28,600",434,.,.,.,.,.,.,"10,237.8","75,135","4,290"
2019,902,Town of Ashburnham - (MA),A,Bundled,O,MA,Municipal,ISNE,Y,"2,956.4","21,820","2,852",212.9,"2,052",176,"1,220.0","9,935",36,.,.,.,"4,389.3","33,807","3,064"
2019,906,Town of Ashland,A,Bundled,O,NH,Municipal,ISNE,Y,"1,465.0","9,083","1,368",786.0,"4,982",229,581.0,"4,202",4,.,.,.,"2,832.0","18,267","1,601"
2019,907,City of Ashland - (OR),A,Bundled,O,OR,Municipal,PACW,,"8,466.0","89,544","10,605","5,354.0","53,144","1,490","2,413.0","33,706",173,0.0,0,0,"16,233.0","176,394","12,268"
2019,911,City of Ashland - (KS),A,Bundled,O,KS,Municipal,SWPP,Y,475.0,"4,477",497,648.0,"8,582",206,.,.,.,.,.,.,"1,123.0","13,059",703
2019,918,City of Aspen- (CO),A,Bundled,O,CO,Municipal,PSCO,,"3,342.0","24,246","2,035","4,634.0","44,057","1,058",.,.,.,.,.,.,"7,976.0","68,303","3,093"
2019,925,"Ashley Chicot Elec Coop, Inc",A,Bundled,O,AR,Cooperative,MISO,Y,"6,435.0","55,849","4,258","2,847.0","19,501",643,64.0,554,2,.,.,.,"9,346.0","75,904","4,903"
2019,925,"Ashley Chicot Elec Coop, Inc",A,Bundled,O,LA,Cooperative,MISO,Y,189.0,"1,656",114,.,.,.,.,.,.,.,.,.,189.0,"1,656",114
2019,942,Atchison-Holt Electric Coop,A,Bundled,O,IA,Cooperative,AECI,,"1,378.0","10,054","1,003",613.0,"5,789",87,109.0,71,27,.,.,.,"2,100.0","15,914","1,117"
2019,942,Atchison-Holt Electric Coop,A,Bundled,O,MO,Cooperative,AECI,,"3,258.0","23,779","1,913","1,449.0","13,691",167,"1,520.0","23,433",58,.,.,.,"6,227.0","60,903","2,138"
2019,944,City of Athens - (AL),A,Bundled,O,AL,Municipal,TVA,,"67,625.0","668,834","41,017","37,875.0","349,457","7,156","13,055.0","226,356",12,0.0,0,0,"118,555.0","1,244,647","48,185"
2019,947,Athens Utility Board,A,Bundled,O,TN,Municipal,TVA,,"16,427.0","159,080","11,038","17,510.0","159,898","2,333","17,492.0","338,214",8,0.0,0,0,"51,429.0","657,192","13,379"
2019,963,Atlantic City Electric Co,A,Bundled,O,NJ,Investor Owned,PJM,,"622,706.1","3,527,588","440,613","172,672.7","1,211,827","45,622","14,376.9","150,536",393,0.0,0,0,"809,755.7","4,889,951","486,628"
2019,963,Atlantic City Electric Co,C,Delivery,O,NJ,Investor Owned,PJM,,"37,114.0","438,653","52,403","154,976.3","2,830,244","19,196","22,324.6","629,076",332,0.0,0,0,"214,414.9","3,897,973","71,931"
2019,965,Atlantic Municipal Utilities,A,Bundled,O,IA,Municipal,MISO,,"3,539.9","41,972","3,822","4,167.6","54,548",834,"5,362.9","86,424",2,.,.,.,"13,070.4","182,944","4,658"
2019,970,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,PJM,,0.0,0,0,715.6,"23,434",80,357.8,"27,524",14,0.0,0,0,"1,073.4","50,958",94
2019,970,Homefield Energy,B,Energy,O,IL,Retail Power Marketer,MISO,,"228,695.1","4,082,340","409,001","105,433.8","2,349,833","3,307","32,769.6","821,949",81,"1,719.6","22,450",1,"368,618.1","7,276,572","412,390"
2019,989,City of Attica - (KS),A,Bundled,O,KS,Municipal,SWPP,,350.9,"3,121",388,221.2,"2,271",101,0.0,0,0,0.0,0,0,572.1,"5,392",489
2019,993,Auburn Board of Public Works,A,Bundled,O,NE,Municipal,SWPP,,"2,420.0","26,101","1,849","2,667.0","28,197",838,290.0,"3,040",1,.,.,.,"5,377.0","57,338","2,688"
2019,994,City of Auburn - (IN),A,Bundled,O,IN,Municipal,PJM,,"5,793.7","65,382","6,533","2,848.1","26,192",938,"29,802.8","342,936",141,.,.,.,"38,444.6","434,510","7,612"
2019,995,City of Auburn - (IA),A,Bundled,O,IA,Municipal,MISO,Y,161.9,"1,453",140,53.9,476,28,.,.,.,.,.,.,215.8,"1,929",168
2019,998,City of Augusta - (KS),A,Bundled,O,KS,Municipal,SWPP,,"5,127.3","37,496","3,888","2,650.6","22,102",412,"1,001.0","8,661",27,.,.,.,"8,778.9","68,259","4,327"
2019,1000,City of Augusta - (AR),A,Bundled,O,AR,Municipal,MISO,Y,914.0,"8,161",776,425.0,"3,980",150,.,.,.,.,.,.,"1,339.0","12,141",926
2019,1002,City of Aurelia - (IA),A,Bundled,O,IA,Municipal,MISO,Y,456.0,"4,800",439,70.0,700,60,221.0,"1,900",14,.,.,.,747.0,"7,400",513
2019,1004,City of Aurora - (SD),A,Bundled,O,SD,Municipal,SWPP,Y,477.1,"4,525",451,40.6,293,26,126.7,"1,179",1,.,.,.,644.4,"5,997",478
2019,1009,City of Austin - (MN),A,Bundled,O,MN,Municipal,MISO,,"10,588.9","76,323","10,558","13,270.2","119,985","1,187","11,505.2","138,849",1,.,.,.,"35,364.3","335,157","11,746"
2019,1015,Austin Energy,A,Bundled,O,TX,Municipal,ERCO,,"509,935.7","4,702,443","446,898","562,376.6","5,977,056","52,530","186,387.8","3,016,363",114,.,.,.,"1,258,700.1","13,695,862","499,542"
