,Unnamed: 0.1,Unnamed: 0,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
0,96,2020.0,8.0,08/02/2020 7:43 PM,08/02/2020 10:27 PM,"2 Hours, 44 Minutes",,MidAmerican Energy Co,SERC,Illinois: Rock Island County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",0,0,
1,114,2020.0,8.0,08/10/2020 10:00 AM,.,.,". Hours, . Minutes",MidAmerican Energy Co,MRO,"Iowa: Dallas County, Polk County, Warren County, Madison County, Johnson County, Scott County; Illinois: Rock Island County, Henry County, Mercer County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",950,300000,
2,117,2020.0,8.0,08/10/2020 2:30 PM,.,.,". Hours, . Minutes",ComEd,SERC,"Illinois: Cook County, Will County, DuPage County, Lake County, Kane County, Grundy County, LaSalle County, DeKalb County, McHenry County, Lee County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,856000,
3,118,2020.0,8.0,08/10/2020 4:00 PM,08/13/2020 3:00 PM,"71 Hours, 0 Minutes",,Ameren Illinois Company,SERC,Illinois: Missouri:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,135000,
4,186,2020.0,10.0,10/20/2020 6:48 PM,10/20/2020 6:49 PM,,"0 Hours, 1 Minutes",GridLiance Holdco NCR11783,SERC,Illinois: Massac County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",0,0,
