,Unnamed: 0,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
0,2020,1,01/09/2020 11:07 PM,01/09/2020 11:18 PM,"0 Hours, 11 Minutes",,Entergy Transmission Control Center - South,SPP RE,Arkansas:,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.-System Operations,Unknown,Unknown,
1,2020,1,01/09/2020 11:07 PM,01/09/2020 11:19 PM,"0 Hours, 12 Minutes",,Entergy - Transmission Operations Engineering,SPP RE,Arkansas: Yell County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission Interruption",0,0,
2,2020,1,01/11/2020 2:25 AM,01/11/2020 7:56 AM,"5 Hours, 31 Minutes",,Entergy - Transmission Operations Engineering,SPP RE,Arkansas: Cross County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission Interruption",22,7541,
3,2020,1,01/11/2020 3:30 AM,01/11/2020 5:30 PM,"14 Hours, 0 Minutes",,Entergy Corp,SPP RE,Arkansas: Texas:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,68138,
4,2020,1,01/11/2020 12:50 PM,01/12/2020 1:33 PM,"24 Hours, 43 Minutes",,Southern Company,SERC,Alabama: Georgia: Mississippi:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",219,30715,
5,2020,1,01/11/2020 1:20 PM,.,.,". Hours, . Minutes",Tennessee Valley Authority,SERC,Tennessee:,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.-Severe Weather,4,Unknown,
6,2020,1,01/11/2020 11:02 PM,01/12/2020 2:01 AM,"2 Hours, 59 Minutes",,Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,66475,
7,2020,1,01/17/2020 5:28 AM,01/17/2020 10:13 AM,"4 Hours, 45 Minutes",,Pacific Gas & Electric Co,WECC,California: Humboldt County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.-Severe Weather/Transmission Interruption,87,67864,
8,2020,1,01/24/2020 4:34 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California:,Fuel supply emergencies that could impact electric power system adequacy or reliability.-Fuel Supply Deficiency,0,0,
9,,,,,,,Western Area Power Administration - Upper Great,,North Dakota: Burleigh,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-",,,
10,2020,1,01/30/2020 3:01 AM,01/30/2020 4:36 AM,"1 Hours, 35 Minutes",,Plains Region,MRO,County;,Transmission Interruption,75,0,
11,2020,2,02/06/2020 1:30 PM,02/07/2020 8:08 PM,"30 Hours, 38 Minutes",,Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Transmission Interruption",Unknown,89500,
12,2020,2,02/06/2020 2:29 PM,02/07/2020 12:44 PM,"22 Hours, 15 Minutes",,Duke Energy Progress,SERC,North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Distribution Interruption",Unknown,284256,
13,2020,2,02/07/2020 8:48 AM,.,.,". Hours, . Minutes",Dominion Energy VA,SERC,Virginia: North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,87000,
14,2020,2,02/07/2020 11:00 AM,.,.,". Hours, . Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Distribution Interruption",Unknown,52000,
15,2020,2,02/07/2020 2:42 PM,02/10/2020 9:25 AM,"66 Hours, 43 Minutes",,Grid),NPCC,New York:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,7500,
16,2020,2,02/07/2020 4:25 PM,02/08/2020 12:00 PM,"19 Hours, 35 Minutes",,ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,123359,
17,2020,2,02/09/2020 9:30 AM,02/09/2020 9:40 PM,"12 Hours, 10 Minutes",,Pacific Gas & Electric Co,WECC,"California: Alameda County, Contra Costa County, El Dorado County, Nevada County, Placer County, Sierra County, Santa Clara County, Napa County, Marin County, Santa Cruz County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",500,145000,
18,2020,2,02/11/2020 7:13 AM,02/11/2020 4:00 PM,"8 Hours, 47 Minutes",,Portland General Electric Co,WECC,Oregon: Clackamas County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",Unknown,0,
19,2020,2,02/17/2020 4:00 AM,.,.,". Hours, . Minutes",Pacific Gas & Electric Co,WECC,Northern and Central California;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",91,70000,
20,2020,3,03/01/2020 8:00 AM,.,.,". Hours, . Minutes",Somerset Operating Company,NPCC,Western NY,Fuel supply emergencies that could impact electric power system adequacy or reliability.-Fuel Supply Deficiency,675,Unknown,
21,2020,3,03/01/2020 11:27 AM,03/01/2020 9:47 PM,"10 Hours, 20 Minutes",,Entergy - Transmission Operations Engineering,SERC,Mississippi: Rankin County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",19,3136,
22,2020,3,03/12/2020 1:03 AM,03/12/2020 3:00 AM,"1 Hours, 57 Minutes",,PECO Energy Co,RF,Pennsylvania:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",40,15864,
23,2020,3,03/16/2020 12:01 PM,03/16/2020 1:10 PM,,"1 Hours, 9 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",165,110800,
24,2020,3,03/18/2020 7:09 AM,.,.,". Hours, . Minutes",Pacificorp,WECC,Utah:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Natural Disaster",237,73000,
25,2020,3,03/24/2020 2:55 AM,03/24/2020 6:50 AM,"3 Hours, 55 Minutes",,ISO New England,NPCC,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,51026,
26,2020,3,03/26/2020 9:29 PM,03/26/2020 9:47 PM,"0 Hours, 18 Minutes",,FirstEnergy Corp,RF,Ohio:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",19,11964,
27,2020,3,03/29/2020 8:27 PM,03/29/2020 11:04 PM,"2 Hours, 37 Minutes",,Entergy - Transmission Operations Engineering,SERC,Mississippi: Panola County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",4,1558,
28,2020,3,03/31/2020 11:45 AM,03/31/2020 8:00 PM,"8 Hours, 15 Minutes",,Southern Company,SERC,Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",412,57744,
29,2020,4,04/02/2020 1:37 PM,04/02/2020 2:43 PM,,"1 Hours, 6 Minutes",Nebraska Public Power District,MRO,Nebraska: York County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",5,Unknown,
30,2020,4,04/05/2020 3:46 PM,04/05/2020 5:35 PM,"1 Hours, 49 Minutes",,Pacific Gas & Electric Co,WECC,California: Stanislaus County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.-Severe Weather,7,6814,
31,2020,4,04/07/2020 11:39 PM,04/07/2020 11:46 PM,,"0 Hours, 7 Minutes",Bonneville Power Administration,WECC,Washington:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",0,0,
32,2020,4,04/08/2020 1:21 AM,04/08/2020 3:56 AM,"2 Hours, 35 Minutes",,Ohio Edison Co,WECC,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,82509,
33,2020,4,04/08/2020 9:57 PM,04/09/2020 8:59 AM,"11 Hours, 2 Minutes",,Duke Energy Midwest,RF,Ohio: Kentucky:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,78314,
34,2020,4,04/08/2020 10:03 PM,04/09/2020 7:36 AM,"9 Hours, 33 Minutes",,Duke Energy Midwest,RF,Indiana:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,93000,
35,2020,4,04/09/2020 7:25 PM,04/10/2020 3:30 AM,,"8 Hours, 5 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,95000,
36,2020,4,04/09/2020 7:40 PM,04/11/2020 10:00 PM,"50 Hours, 20 Minutes",,ISO New England,NPCC,Maine:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,340000,
37,2020,4,04/11/2020 11:24 AM,04/11/2020 11:42 AM,"0 Hours, 18 Minutes",,Pacificorp,WECC,Wyoming:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",0,0,
38,2020,4,04/12/2020 5:00 PM,04/14/2020 1:25 AM,"32 Hours, 25 Minutes",,Southern Company,SERC,Mississippi: Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",448,62828,
39,2020,4,04/12/2020 6:13 PM,04/13/2020 3:23 PM,"21 Hours, 10 Minutes",,Region),TRE,Texas:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,63289,
40,2020,4,04/12/2020 8:30 PM,04/14/2020 9:00 AM,"36 Hours, 30 Minutes",,Arkansas Electric Coop Corp,SPP RE,Arkansas:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,51000,
41,2020,4,04/12/2020 8:45 PM,.,.,". Hours, . Minutes",Entergy Corp,SPP RE,Arkansas:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,95318,
42,2020,4,04/12/2020 9:28 PM,04/15/2020 12:00 PM,"62 Hours, 32 Minutes",,Region),RF,Virginia: West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,104000,
43,2020,4,04/13/2020 12:45 AM,04/13/2020 3:00 AM,"2 Hours, 15 Minutes",,Tennessee Valley Authority,SERC,Tennessee: Hamilton County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,120000,
44,2020,4,04/13/2020 3:30 AM,04/14/2020 6:18 PM,"38 Hours, 48 Minutes",,Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,216400,
45,2020,4,04/13/2020 7:31 AM,04/13/2020 2:00 PM,"6 Hours, 29 Minutes",,Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,Unknown,
46,2020,4,04/13/2020 8:08 AM,.,.,". Hours, . Minutes",Dominion Energy South Carolina,SERC,South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,72233,
47,2020,4,04/13/2020 10:25 AM,04/13/2020 6:55 PM,"8 Hours, 30 Minutes",,Dominion Energy VA,SERC,North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,95000,
48,2020,4,04/13/2020 1:05 PM,04/14/2020 4:00 PM,"26 Hours, 55 Minutes",,ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,68476,
49,2020,4,04/20/2020 12:59 AM,04/20/2020 8:40 AM,"7 Hours, 41 Minutes",,Southern Company,SERC,Alabama: Mississippi: Georgia: Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",552,77341,
50,2020,4,04/23/2020 4:30 AM,04/23/2020 7:00 AM,"2 Hours, 30 Minutes",,Entergy Corp,SERC,Mississippi: Arkansas: Louisiana:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,55184,
51,2020,4,04/23/2020 8:00 AM,04/23/2020 11:40 PM,"15 Hours, 40 Minutes",,Southern Company,SERC,Alabama: Georgia: Mississippi: Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",375,52163,
52,2020,4,04/24/2020 9:00 PM,04/24/2020 9:33 PM,"0 Hours, 33 Minutes",,Pacific Gas & Electric Co,WECC,"California: Placer County, Nevada County;",Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.-System Operations,5,945,
53,2020,4,04/26/2020 1:38 AM,.,.,". Hours, . Minutes",Florida Power & Light,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,49999,
54,2020,4,04/28/2020 8:01 PM,04/28/2020 11:21 PM,"3 Hours, 20 Minutes",,Entergy - Transmission Operations Engineering,TRE,Texas: Jefferson County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).- Transmission Interruption",14,1,
55,2020,4,04/29/2020 5:55 AM,04/29/2020 7:00 PM,"13 Hours, 5 Minutes",,"CenterPoint Energy Houston Electric, LLC",TRE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,146660,
56,2020,4,04/29/2020 6:00 AM,04/29/2020 12:31 PM,"6 Hours, 31 Minutes",,Entergy Corp,SERC,Louisiana:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,77933,
57,2020,4,04/30/2020 3:00 PM,.,.,". Hours, . Minutes",Exelon Corporation/PECO,RF,"Pennsylvania: Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County, York County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,78007,
