,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
2020,2,02/07/2020 11:00 AM,.,.,". Hours, . Minutes",Exelon Corporation/PECO,RF,Pennsylvania:,Interruption,Unknown,52000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,Niagara Mohawk Power Corporation (dba National,,,for 1 hour or more.-Severe,,
2020,2,02/07/2020 2:42 PM,02/10/2020 9:25 AM,"66 Hours, 43 Minutes",,Grid),NPCC,New York:,Weather,Unknown,7500
,,,,,,,,Connecticut: Maine:,Loss of electric service to,,
,,,,,,,,Massachusetts: New,"more than 50,000 customers",,
,,,,,,,,Hampshire: Rhode Island:,for 1 hour or more.-Severe,,
2020,2,02/07/2020 4:25 PM,02/08/2020 12:00 PM,"19 Hours, 35 Minutes",,ISO New England,NPCC,Vermont:,Weather,Unknown,123359
,,,,,,,,"California: Alameda County,",,,
,,,,,,,,"Contra Costa County, El",,,
,,,,,,,,"Dorado County, Nevada",,,
,,,,,,,,"County, Placer County, Sierra",Loss of electric service to,,
,,,,,,,,"County, Santa Clara County,","more than 50,000 customers",,
,,,,,,,,"Napa County, Marin County,",for 1 hour or more.-Severe,,
2020,2,02/09/2020 9:30 AM,02/09/2020 9:40 PM,"12 Hours, 10 Minutes",,Pacific Gas & Electric Co,WECC,Santa Cruz County;,Weather,500,145000
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,2,02/11/2020 7:13 AM,02/11/2020 4:00 PM,"8 Hours, 47 Minutes",,Portland General Electric Co,WECC,Oregon: Clackamas County;,Transmission Interruption,Unknown,0
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,Northern and Central,for 1 hour or more.-Severe,,
2020,2,02/17/2020 4:00 AM,.,.,". Hours, . Minutes",Pacific Gas & Electric Co,WECC,California;,Weather,91,70000
,,,,,,,,,Fuel supply emergencies that,,
,,,,,,,,,could impact electric power,,
,,,,,,,,,system adequacy or,,
,,,,,,,,,reliability.-Fuel Supply,,
2020,3,03/01/2020 8:00 AM,.,.,". Hours, . Minutes",Somerset Operating Company,NPCC,Western NY,Deficiency,675,Unknown
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,3,03/01/2020 11:27 AM,03/01/2020 9:47 PM,"10 Hours, 20 Minutes",,Entergy - Transmission Operations Engineering,SERC,Mississippi: Rankin County;,Transmission Interruption,19,3136
"Table B.2 Major Disturbances and Unusual Occurrences, 2020",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,3,03/12/2020 1:03 AM,03/12/2020 3:00 AM,"1 Hours, 57 Minutes",,PECO Energy Co,RF,Pennsylvania:,Transmission Interruption,40,15864
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,3,03/16/2020 12:01 PM,03/16/2020 1:10 PM,,"1 Hours, 9 Minutes",Pacific Gas & Electric Co,WECC,California:,Weather,165,110800
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Natural,,
2020,3,03/18/2020 7:09 AM,.,.,". Hours, . Minutes",Pacificorp,WECC,Utah:,Disaster,237,73000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,Connecticut: Massachusetts:,"more than 50,000 customers",,
,,,,,,,,Maine: New Hampshire:,for 1 hour or more.-Severe,,
2020,3,03/24/2020 2:55 AM,03/24/2020 6:50 AM,"3 Hours, 55 Minutes",,ISO New England,NPCC,Rhode Island: Vermont:,Weather,Unknown,51026
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,3,03/26/2020 9:29 PM,03/26/2020 9:47 PM,"0 Hours, 18 Minutes",,FirstEnergy Corp,RF,Ohio:,Transmission Interruption,19,11964
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,3,03/29/2020 8:27 PM,03/29/2020 11:04 PM,"2 Hours, 37 Minutes",,Entergy - Transmission Operations Engineering,SERC,Mississippi: Panola County;,Transmission Interruption,4,1558
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,3,03/31/2020 11:45 AM,03/31/2020 8:00 PM,"8 Hours, 15 Minutes",,Southern Company,SERC,Alabama: Georgia:,Weather,412,57744
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,4,04/02/2020 1:37 PM,04/02/2020 2:43 PM,,"1 Hours, 6 Minutes",Nebraska Public Power District,MRO,Nebraska: York County;,Transmission Interruption,5,Unknown
,,,,,,,,,Electrical System Separation,,
,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,of power grid remain(s),,
,,,,,,,,,operational in an otherwise,,
,,,,,,,,,blacked out area or within the,,
,,,,,,,,,partial failure of an integrated,,
,,,,,,,,,electrical system.-Severe,,
2020,4,04/05/2020 3:46 PM,04/05/2020 5:35 PM,"1 Hours, 49 Minutes",,Pacific Gas & Electric Co,WECC,California: Stanislaus County;,Weather,7,6814
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,4,04/07/2020 11:39 PM,04/07/2020 11:46 PM,,"0 Hours, 7 Minutes",Bonneville Power Administration,WECC,Washington:,Transmission Interruption,0,0
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/08/2020 1:21 AM,04/08/2020 3:56 AM,"2 Hours, 35 Minutes",,Ohio Edison Co,WECC,Ohio:,Weather,Unknown,82509
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/08/2020 9:57 PM,04/09/2020 8:59 AM,"11 Hours, 2 Minutes",,Duke Energy Midwest,RF,Ohio: Kentucky:,Weather,Unknown,78314
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/08/2020 10:03 PM,04/09/2020 7:36 AM,"9 Hours, 33 Minutes",,Duke Energy Midwest,RF,Indiana:,Weather,Unknown,93000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/09/2020 7:25 PM,04/10/2020 3:30 AM,,"8 Hours, 5 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,Weather,Unknown,95000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/09/2020 7:40 PM,04/11/2020 10:00 PM,"50 Hours, 20 Minutes",,ISO New England,NPCC,Maine:,Weather,Unknown,340000
,,,,,,,,,Unexpected Transmission,,
,,,,,,,,,"loss within its area, contrary",,
,,,,,,,,,"to design, of three or more",,
,,,,,,,,,Bulk Electric System,,
,,,,,,,,,Facilities caused by a,,
,,,,,,,,,common disturbance,,
,,,,,,,,,(excluding successful,,
,,,,,,,,,automatic reclosing).-,,
2020,4,04/11/2020 11:24 AM,04/11/2020 11:42 AM,"0 Hours, 18 Minutes",,Pacificorp,WECC,Wyoming:,Transmission Interruption,0,0
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,Mississippi: Alabama:,for 1 hour or more.-Severe,,
2020,4,04/12/2020 5:00 PM,04/14/2020 1:25 AM,"32 Hours, 25 Minutes",,Southern Company,SERC,Georgia:,Weather,448,62828
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,American Electric Power - (SPP Reliability,,,for 1 hour or more.-Severe,,
2020,4,04/12/2020 6:13 PM,04/13/2020 3:23 PM,"21 Hours, 10 Minutes",,Region),TRE,Texas:,Weather,Unknown,63289
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/12/2020 8:30 PM,04/14/2020 9:00 AM,"36 Hours, 30 Minutes",,Arkansas Electric Coop Corp,SPP RE,Arkansas:,Weather,Unknown,51000
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,,,,for 1 hour or more.-Severe,,
2020,4,04/12/2020 8:45 PM,.,.,". Hours, . Minutes",Entergy Corp,SPP RE,Arkansas:,Weather,Unknown,95318
,,,,,,,,,Loss of electric service to,,
,,,,,,,,,"more than 50,000 customers",,
,,,,,,American Electric Power - (RFC Reliability,,,for 1 hour or more.-Severe,,
2020,4,04/12/2020 9:28 PM,04/15/2020 12:00 PM,"62 Hours, 32 Minutes",,Region),RF,Virginia: West Virginia:,Weather,Unknown,104000
,,,,,,,,,Loss of electric service to,,
