,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
0,April,04/01/2020,21:43:00,04/01/2020,22:18:00,Illinois: Williamson County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
1,August,08/02/2020,19:43:00,08/02/2020,22:27:00,Illinois: Rock Island County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2,August,08/10/2020,16:00:00,08/13/2020,15:00:00,Illinois: Missouri:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,135000
3,August,08/10/2020,14:30:00,Unknown,Unknown,"Illinois: Cook County, Will County, DuPage County, Lake County, Kane County, Grundy County, LaSalle County, DeKalb County, McHenry County, Lee County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,856000
4,August,08/10/2020,10:00:00,Unknown,Unknown,"Iowa: Dallas County, Polk County, Warren County, Madison County, Johnson County, Scott County; Illinois: Rock Island County, Henry County, Mercer County;",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,950,300000
5,October,10/20/2020,18:48:00,10/20/2020,18:49:00,Illinois: Massac County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
6,December,12/14/2020,01:30:00,Unknown,Unknown,New Jersey: Pennsylvania: Maryland: Illinois: Delaware: District of Columbia:,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,0,0
