"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM"
"99849799999","2019-03-12T17:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","100,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0088,1","+9999,9","99999,9","SYN046FSTI2 46/// /1002 10088 91700 555 11002 22002="
"99849799999","2019-03-12T19:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","180,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0092,1","+9999,9","99999,9","SYN046FSTI2 46/// /1816 10092 91900 555 11016 22018="
"99849799999","2019-03-12T20:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","220,1,N,0124,1","99999,9,9,N","999999,9,9,9","+0090,1","+9999,9","99999,9","SYN046FSTI2 46/// /2224 10090 92000 555 11024 22027="
"99849799999","2019-03-12T22:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0113,1","99999,9,9,N","999999,9,9,9","+0069,1","+9999,9","99999,9","SYN046FSTI2 46/// /1522 10069 92200 555 11022 22024="
"99849799999","2019-03-12T23:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","170,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0068,1","+9999,9","99999,9","SYN046FSTI2 46/// /1719 10068 92300 555 11019 22021="
"99849799999","2019-03-13T00:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","160,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0049,1","+9999,9","99999,9","SYN046FSTI2 46/// /1613 10049 90000 555 11013 22015="
"99849799999","2019-03-13T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0048,1","+9999,9","99999,9","SYN046FSTI2 46/// /1515 10048 90100 555 11015 22016="
"99849799999","2019-03-13T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","150,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0052,1","+9999,9","99999,9","SYN046FSTI2 46/// /1515 10052 90200 555 11015 22016="
"99849799999","2019-03-13T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","180,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0075,1","+9999,9","99999,9","SYN046FSTI2 46/// /1812 10075 90300 555 11013 22014="
"99849799999","2019-03-13T04:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","170,1,N,0129,1","99999,9,9,N","999999,9,9,9","+0077,1","+9999,9","99999,9","SYN046FSTI2 46/// /1725 10077 90400 555 11025 22027="
