Utility Characteristics,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2017,392,Alpena Power Co,MI,Investor Owned,RFC,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,
2017,407,Altamaha Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,Y,,,,Y,,,,,,Y
2017,416,City of Altus - (OK),OK,Municipal,SPP,,,,,,,Y,,,,,,Y,,,,,N,,Y,,,N,N,,
2017,471,Amana Society Service Co,IA,Investor Owned,MRO,,,Y,,,,,,,,,,,Y,,,Y,,,Y,,,,Y,,
2017,540,BP Energy Company,TX,Retail Power Marketer,TRE,Y,,,,,,,,,,,,,,,,,,,,,Y,Y,,,
2017,554,City of Ames - (IA),IA,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,Y,Y,,N,,,Y,Y
2017,560,City of Amherst- (OH),OH,Municipal,RFC,,,,,Y,,,,,,,,,Y,,,,N,Y,Y,,,,,,
2017,562,Amicalola Electric Member Corp,GA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,571,City of Amory,MS,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,577,City of Alcoa Utilities,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,590,City of Anaheim - (CA),CA,Municipal,WECC,,,,,,,,Y,Y,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y
2017,599,Anchorage Municipal Light and Power,AK,Municipal,AK,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,Y
2017,604,City of Andalusia,AL,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,N,
2017,636,City of Anderson - (IN),IN,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,,,Y,,,,N,,
