Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2017,59371,12 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,149,2276,1,0,0,0,0,0,0,149,2276,1
2017,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0,0,0,0,0,0,581,4819,1,0,0,0,581,4819,1
2017,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0,0,0,0,0,0,306,2547,1,0,0,0,306,2547,1
2017,59365,24 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,1427,5259,4,0,0,0,0,0,0,1427,5259,4
2017,59485,"265 Pleasant Solar NG, LLC",59254,NuGen Capital Management,MA,ISNE,0,0,0,226,1372,1,0,0,0,0,0,0,226,1372,1
2017,61518,301 Chestnut Solar NG,61125,"301 Chestnut Solar NG, LLC",MA,ISNE,0,0,0,143,1847,1,0,0,0,0,0,0,143,1847,1
2017,61224,"350 Clark Solar, NG, LLC",60857,"350 Clark Solar NG, LLC",NJ,PJM,0,0,0,349,1143,1,0,0,0,0,0,0,349,1143,1
2017,59370,4 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,89,1930,1,0,0,0,0,0,0,89,1930,1
2017,61237,"433 Purchase Solar NG, LLC",60858,"433 Purchase Solar NG, LLC",MA,ISNE,0,0,0,450,3662,1,0,0,0,0,0,0,450,3662,1
2017,57640,500 Virginia Solar,56971,"500 Virginia Solar, LP",PA,PJM,0,0,0,95,1174,1,0,0,0,0,0,0,95,1174,1
2017,59046,651 Chase Solar NG,58879,651 Chase Solar NG LLC,MA,ISNE,0,0,0,737,4034,1,0,0,0,0,0,0,737,4034,1
2017,58798,"AC Criminal Courts Complex SPE2, LLC",58661,"Sustainable Power Group, LLC",NJ,PJM,0,0,0,208,1907,1,0,0,0,0,0,0,208,1907,1
2017,57845,AC Landfill Energy LLC,57173,AC Landfill Energy LLC,NJ,PJM,0,0,0,0,0,0,217,2362,1,0,0,0,217,2362,1
2017,60802,ACCC Mays Landing,56997,Marina Energy LLC,NJ,PJM,0,0,0,171,1985,1,0,0,0,0,0,0,171,1985,1
2017,60986,AIS Solar Project,57081,"WGL Energy Systems, Inc",MA,ISNE,0,0,0,250,3621,1,0,0,0,0,0,0,250,3621,1
2017,60085,AVS Lancaster 1,60947,Tesla Inc.,CA,CISO,0,0,0,165,8472,1,0,0,0,0,0,0,165,8472,1
2017,59543,Acton Solar Landfill,59286,Heliovaas LLC,MA,ISNE,0,0,0,194,1941,1,0,0,0,0,0,0,194,1941,1
2017,58632,Actus Lend Lease DMAFB,60947,Tesla Inc.,AZ,TEPC,0,0,0,495,4402,1,0,0,0,0,0,0,495,4402,1
2017,60772,Adams Ave MS and HS,56997,Marina Energy LLC,NJ,PJM,0,0,0,462,5085,1,0,0,0,0,0,0,462,5085,1
2017,59788,"Advance Stores Company, Inc",60947,Tesla Inc.,CT,ISNE,0,0,0,108,1308,1,0,0,0,0,0,0,108,1308,1
2017,57697,Aerojet I,60281,"Altus Power America Management, LLC",CA,CISO,0,0,0,1068,3710,1,0,0,0,0,0,0,1068,3710,1
2017,58357,Amazon,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,228,5659,1,0,0,0,0,0,0,228,5659,1
2017,61377,Amazon - Patterson PV,61012,AES Distributed Energy,CA,BANC,0,0,0,882,3540,1,0,0,0,0,0,0,882,3540,1
2017,60684,Amphitheater High School Solar,60404,"Constellation Solar Arizona 2, LLC",AZ,TEPC,0,0,0,231,2290,1,0,0,0,0,0,0,231,2290,1
2017,59331,Anheuser-Busch #2,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0,0,0,0,0,0,266,3439,1,0,0,0,266,3439,1
2017,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0,0,0,136,1991,1,0,0,0,0,0,0,136,1991,1
2017,60662,Archdiocese of Baltimore J,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,276,3591,1,0,0,0,0,0,0,276,3591,1
2017,60663,Archdiocese of Baltimore L,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,279,3627,1,0,0,0,0,0,0,279,3627,1
2017,57765,Arizona Western College PV,58863,Main Street Power,AZ,AZPS,0,0,0,2117,9020,1,0,0,0,0,0,0,2117,9020,1
2017,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0,0,0,0,0,0,3310,151991,1,0,0,0,3310,151991,1
2017,56900,Atlantic City Convention Center,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0,0,0,454,2990,1,0,0,0,0,0,0,454,2990,1
2017,58360,Atlantic Coast Freezers Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0,0,0,228,3261,1,0,0,0,0,0,0,228,3261,1
2017,57847,BC Landfill Energy LLC,57175,BC Landfill Energy LLC,NJ,PJM,0,0,0,0,0,0,0,8935,1,0,0,0,0,8935,1
2017,60227,BJ's Wholesale Club Inc Dist Center,60947,Tesla Inc.,NJ,PJM,0,0,0,153,2299,1,0,0,0,0,0,0,153,2299,1
2017,60116,"BJ's Wholesale Club, Inc- Uxbridge",60947,Tesla Inc.,MA,ISNE,0,0,0,19,388,1,0,0,0,0,0,0,19,388,1
2017,61893,BNB Camden Solar,61508,BNB Camden Solar LLC,NJ,PJM,0,0,0,.,197,1,0,0,0,0,0,0,0,197,1
2017,60067,BWC Swan Pond River,59805,"BWC Swan Pond River, LLC",MA,ISNE,0,0,0,361,2808,2,0,0,0,0,0,0,361,2808,2
2017,61069,"BWC Wading River One, Two, Three CSG",60692,Ameresco BWC Wading River LLC,MA,ISNE,23,205,156,20,201,3,0,0,0,0,0,0,43,406,159
2017,60664,Baltimore City B,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,263,3258,1,0,0,0,0,0,0,263,3258,1
2017,60665,Baltimore City D,60396,Constellation New Energy Inc.,MD,PJM,0,0,0,256,3304,1,0,0,0,0,0,0,256,3304,1
