|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2022,689,Connexus Energy,MN,Cooperative,79.864,0.534,149.558,26.996,0.294,91.823,73.748,0.498,148.088,"142,196",12.5,Y,.,.,.,.,.,.,.,,,.,
2022,691,City of Anoka,MN,Municipal,53.740,0.470,114.340,35.570,0.310,114.742,53.740,0.470,114.340,"12,813",12.5,N,.,.,.,.,.,.,.,,,.,
2022,719,Town of Apex- (NC),NC,Municipal,207.707,1.170,177.527,41.934,0.536,78.235,207.707,1.170,177.527,"31,464",.,Y,.,.,.,.,.,.,.,,,.,
2022,727,Appalachian Electric Coop,TN,Cooperative,418.130,4.700,88.964,250.010,2.930,85.328,332.920,3.680,90.467,"48,973",13.0,Y,.,.,.,.,.,.,.,,,.,
2022,733,Appalachian Power Co,VA,Investor Owned,867.700,2.211,392.447,470.600,1.797,261.881,842.000,2.074,405.979,"543,890",35.0,Y,.,.,.,.,.,.,.,,,.,
2022,733,Appalachian Power Co,WV,Investor Owned,"1,220.100",3.134,389.311,738.900,2.647,279.146,"1,147.700",2.853,402.278,"420,494",35.0,Y,.,.,.,.,.,.,.,,,.,
2022,803,Arizona Public Service Co,AZ,Investor Owned,138.130,1.040,132.817,84.050,0.890,94.438,106.160,1.010,105.109,"1,345,376",69.0,N,.,.,.,.,.,.,.,,,.,
2022,814,Entergy Arkansas LLC,AR,Investor Owned,633.400,2.302,275.152,393.600,2.026,194.274,617.400,2.241,275.502,"736,227",34.5,Y,.,.,.,.,.,.,.,,,.,
2022,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,265.290,2.230,118.964,237.450,2.150,110.442,255.500,2.148,118.948,"57,294",14.4,Y,.,.,.,.,.,.,.,,,.,
2022,817,Arkansas Valley Elec Coop Corp,OK,Cooperative,102.690,1.200,85.575,75.000,0.940,79.787,88.600,1.060,83.585,"4,671",7.2,Y,.,.,.,.,.,.,.,,,.,
2022,963,Atlantic City Electric Co,NJ,Investor Owned,51.000,0.650,78.462,51.000,0.650,78.462,51.000,0.650,78.462,"565,482",69.0,Y,.,.,.,.,.,.,.,,,.,
2022,1009,City of Austin - (MN),MN,Municipal,12.599,0.195,64.610,.,.,.,.,.,.,"11,853",13.8,N,.,.,.,.,.,.,.,,,.,
2022,1015,Austin Energy,TX,Municipal,85.120,0.960,88.667,67.690,0.870,77.805,80.270,0.880,91.216,"526,186",35.0,Y,.,.,.,.,.,.,.,,,.,
2022,1050,City of Azusa,CA,Municipal,.,.,.,46.591,0.568,82.026,.,.,.,"16,967",12.5,N,.,.,.,.,.,.,.,,,.,
2022,1149,Baldwin County El Member Corp,AL,Cooperative,273.898,3.373,81.203,264.996,3.327,79.650,272.465,3.317,82.142,"84,536",12.5,Y,.,.,.,.,.,.,.,,,.,
