Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2022,34,City of Abbeville - (SC),Municipal,Y,SC,DUK,"3,026",463,0,.,"3,489",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,026",463,0,0,"3,489",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,55,City of Aberdeen - (MS),Municipal,,MS,TVA,0,0,0,0,0,0,19,1,0,20,0,0,0,0,0,"2,588",692,1,0,"3,281","2,588",711,2,0,"3,301",0,781,"64,799",0,"65,580",0,0,0,0,0,0,0,0,0,0
2022,84,A & N Electric Coop,Cooperative,,MD,PJM,0,0,0,0,0,261,42,0,0,303,0,0,0,0,0,0,0,0,0,0,261,42,0,0,303,"2,337",607,0,0,"2,944",261,42,0,0,303,0,0,0,0,0
2022,84,A & N Electric Coop,Cooperative,,VA,PJM,5,51,0,0,56,"32,410","4,135",6,0,"36,551",0,0,0,0,0,0,0,0,0,0,"32,415","4,186",6,0,"36,607","376,793","173,224","161,135",0,"711,152","32,415","4,186",6,0,"36,607",0,0,0,0,0
2022,87,City of Ada - (MN),Municipal,Y,MN,MISO,870,190,60,.,"1,120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,870,190,60,0,"1,120",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,97,Adams Electric Coop,Cooperative,Y,IL,MISO,.,.,.,.,.,"11,751",228,.,.,"11,979",.,.,.,.,.,.,.,.,.,.,"11,751",228,0,0,"11,979","121,162","55,600",.,.,"176,762",.,.,.,.,.,.,.,.,.,.
2022,108,Adams-Columbia Electric Coop,Cooperative,,WI,MISO,.,.,.,.,0,"35,333","2,497",982,.,"38,812",.,.,.,.,.,.,.,.,.,.,"35,333","2,497",982,0,"38,812","279,312","85,682","254,133",.,"619,127","35,333","2,497",982,.,"38,812",.,.,.,.,.
2022,118,"Adams Rural Electric Coop, Inc",Cooperative,Y,OH,PJM,.,.,.,.,.,"7,255",415,3,.,"7,673",.,.,.,.,.,.,.,.,.,.,"7,255",415,3,0,"7,673","95,157","10,125","12,954",.,"118,236",.,.,.,.,.,.,.,.,.,.
2022,122,Village of Arcade - (NY),Municipal,Y,NY,NYIS,"3,728",484,15,.,"4,227",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"3,728",484,15,0,"4,227",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,123,City of Adel- (GA),Municipal,Y,GA,SOCO,.,.,.,.,.,"2,243",598,12,.,"2,853",.,.,.,.,.,.,.,.,.,.,"2,243",598,12,0,"2,853","29,938","396,145","119,532",.,"545,615",.,.,.,.,.,.,.,.,.,.
2022,149,City of Afton- (IA),Municipal,Y,IA,MISO,440,70,.,.,510,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,440,70,0,0,510,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,150,Adrian Public Utilities Comm,Municipal,Y,MN,MISO,.,.,.,.,0,546,90,42,.,678,.,.,.,.,.,.,.,.,.,.,546,90,42,0,678,"6,936","5,225",775,.,"12,936",.,.,.,.,.,.,.,.,.,.
