Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2022,2212,"Broad River Electric Coop, Inc",NC,1,1
2022,2212,"Broad River Electric Coop, Inc",SC,53,53
2022,2247,City of Bristol - (TN),TN,63,52
2022,2248,Bristol Virginia Utilities,VA,36,0
2022,2273,Brodhead Water & Lighting Comm,WI,10,0
2022,2285,City of Brookings - (SD),SD,43,.
2022,2394,Burke-Divide Electric Coop Inc,ND,44,.
2022,2409,Brownsville Public Utilities Board,TX,62,0
2022,2411,City of Brownsville,TN,13,0
2022,2442,City of Bryan - (TX),TX,99,0
2022,2487,City of Buford,GA,12,12
2022,2502,"Buckeye Rural Elec Coop, Inc",OH,53,0
2022,2507,City of Burbank Water and Power,CA,107,0
2022,2548,City of Burlington Electric - (VT),VT,16,16
2022,2651,Butler Rural Electric Coop Inc - (OH),OH,49,0
2022,2652,Butler County Rural Elec Coop - (IA),IA,86,34
2022,2678,C & L Electric Coop Corp,AR,58,.
2022,2774,CMS Electric Coop Inc,KS,40,40
2022,2812,City of Calhoun - (GA),GA,22,17
2022,2849,Central Electric Power Assn - (MS),MS,86,0
2022,2903,Canoochee Electric Member Corp,GA,44,23
2022,2911,"Canadian Valley Elec Coop, Inc",OK,73,73
2022,2960,"Caney Fork Electric Coop, Inc",TN,26,0
2022,2985,"Capital Electric Coop, Inc",ND,90,90
2022,3046,Duke Energy Progress - (NC),NC,"1,151","1,151"
2022,3046,Duke Energy Progress - (NC),SC,174,174
2022,3075,Carroll County - (TN),TN,22,0
2022,3081,Carroll Electric Member Corp - (GA),GA,89,81
2022,3093,Carroll Electric Coop Corp - (AR),AR,168,.
2022,3093,Carroll Electric Coop Corp - (AR),MO,19,.
2022,3107,Carteret-Craven El Member Corp,NC,66,.
2022,3108,City of Cartersville - (GA),GA,28,0
2022,3113,City of Carthage - (MO),MO,17,16
2022,3203,Cedar Falls Utilities,IA,26,26
2022,3205,Cedar-Knox Public Power Dist,NE,64,.
2022,3208,Cedarburg Light & Water Comm,WI,10,10
2022,3216,City of Celina - (OH),OH,14,3
2022,3222,Central Alabama Electric Coop,AL,75,75
2022,3226,"Central Rural Electric Cooperative, Inc",OK,66,66
2022,3236,"Central Electric Coop, Inc - (SD)",SD,72,.
2022,3240,Central Electric Coop Inc - (OR),OR,108,.
2022,3245,"Central Florida Elec Coop, Inc",FL,54,39
2022,3248,Central Georgia El Member Corp,GA,80,80
2022,3249,Central Hudson Gas & Elec Corp,NY,272,0
2022,3250,Central Electric Membership Corp. - (NC),NC,30,.
2022,3264,Central Lincoln People's Ut Dt,OR,237,6
2022,3265,Cleco Power LLC,LA,789,0
2022,3266,Central Maine Power Co,ME,488,0
2022,3268,Central Missouri Elec Coop Inc,MO,44,0
2022,3273,"Central New Mexico El Coop, Inc",NM,35,.
2022,3278,AEP Texas Central Company,TX,993,0
2022,3282,"Central Texas Elec Coop, Inc",TX,74,.
2022,3287,"Central Valley Elec Coop, Inc",NM,99,99
2022,3291,Central Virginia Electric Coop,VA,85,0
2022,3295,City of Centralia - (WA),WA,36,36
2022,3329,Borough of Chambersburg,PA,34,6
2022,3355,City of Chanute,KS,7,7
2022,3400,City of Chaska - (MN),MN,22,0
2022,3408,City of Chattanooga - (TN),GA,1,0
2022,3408,City of Chattanooga - (TN),TN,296,287
2022,3413,PUD No 1 of Chelan County,WA,126,.
2022,3426,Cherokee Electric Coop,AL,28,0
2022,3436,Cherryland Electric Coop Inc,MI,54,0
2022,3461,Cheyenne Light Fuel & Power,WY,60,0
2022,3470,Cherokee County Elec Coop Assn,TX,35,.
2022,3475,City of Chickamauga,GA,1,0
2022,3477,City of Chicopee - (MA),MA,16,16
2022,3478,Cimarron Electric Coop,OK,72,41
2022,3502,"Choctawhatche Elec Coop, Inc",FL,82,73
2022,3503,"Choptank Electric Cooperative, Inc",MD,118,118
2022,3522,Chugach Electric Assn Inc,AK,160,155
2022,3527,Choctaw Electric Coop Inc,OK,55,55
2022,3542,Duke Energy Ohio Inc,OH,787,519
2022,3597,Citizens Electric Co - (PA),PA,9,9
2022,3600,Citizens Electric Corporation - (MO),MO,106,0
2022,3641,"Claiborne Electric Coop, Inc",LA,66,0
2022,3644,PUD No 1 of Clallam County,WA,72,15
2022,3647,City of Claremore,OK,24,.
2022,3660,PUD No 1 of Clark County - (WA),WA,203,19
2022,3687,Clark Energy Coop Inc - (KY),KY,77,.
2022,3704,City of Clarksville - (TN),TN,78,78
2022,3705,Clarksville Connected Utilities,AR,24,14
2022,3712,Clay County Electric Coop Corp,AR,32,0
2022,3712,Clay County Electric Coop Corp,MO,1,0
2022,3755,Cleveland Electric Illum Co,OH,"1,088",998
2022,3757,"Clay Electric Cooperative, Inc",FL,180,0
2022,3758,City of Cleveland - (TN),TN,58,58
2022,3762,City of Cleveland - (OH),OH,276,.
2022,3812,City of Clinton - (TN),TN,47,47
2022,3824,Clyde Light & Power,OH,4,.
2022,3828,Cloverland Electric Co-op,MI,98,0
2022,3841,Coast Electric Power Assn,MS,124,0
2022,3843,Coastal Electric Member Corp,GA,38,38
2022,3855,Columbia Power System,TN,28,0
2022,3892,City of Coffeyville - (KS),KS,24,0
2022,3915,Coldwater Board of Public Util,MI,33,33
2022,3916,Cobb Electric Membership Corp,GA,199,192
2022,3931,Coles-Moultrie Electric Coop,IL,50,0
2022,3939,City of College Park - (GA),GA,27,0
2022,3940,City of College Station - (TX),TX,59,0
2022,3989,City of Colorado Springs - (CO),CO,236,189
2022,4003,City of Colton - (CA),CA,30,.
2022,4041,"Columbia Rural Elec Assn, Inc",OR,2,0
2022,4041,"Columbia Rural Elec Assn, Inc",WA,33,0
2022,4045,City of Columbia - (MO),MO,62,62
2022,4063,Co-Mo Electric Coop Inc,MO,69,69
2022,4065,City of Columbus - (OH),OH,61,0
2022,4068,City of Columbus - (MS),MS,30,0
2022,4073,City of Columbus - (WI),WI,13,0
2022,4110,Commonwealth Edison Co,IL,"5,618","1,832"
2022,4146,Concho Valley Elec Coop Inc,TX,56,0
2022,4150,City of Concord - (NC),NC,73,73
2022,4153,"Concordia Electric Coop, Inc",LA,28,28
2022,4160,Callaway Electric Cooperative,MO,37,.
2022,4176,Connecticut Light & Power Co,CT,"1,016",0
2022,4226,Consolidated Edison Co-NY Inc,NY,"2,208",.
2022,4237,Consolidated Electric Coop,MO,44,0
2022,4247,Consolidated Water Power Co,WI,28,28
2022,4254,Consumers Energy Co,MI,"2,369",174
2022,4262,Cooke County Elec Coop Assn,TX,56,0
2022,4265,Continental Divide El Coop Inc,NM,31,.
2022,4280,Conway Corporation,AR,44,0
2022,4294,City of Cookeville - (TN),TN,24,0
