Data Year,BA ID,BA Code,State,Balancing Authority Name
2022,317,YAD,NC,"Alcoa Power Generating, Inc. - Yadkin Division"
2022,317,YAD,TN,"Alcoa Power Generating, Inc. - Yadkin Division"
2022,599,AMPL,AK,Anchorage Municipal Light & Power
2022,803,AZPS,AZ,Arizona Public Service Company
2022,803,AZPS,NM,Arizona Public Service Company
2022,56812,DEAA,AZ,"Arlington Valley, LLC - AVBA"
2022,924,AECI,AR,"Associated Electric Cooperative, Inc."
2022,924,AECI,IA,"Associated Electric Cooperative, Inc."
2022,924,AECI,MO,"Associated Electric Cooperative, Inc."
2022,924,AECI,OK,"Associated Electric Cooperative, Inc."
2022,15399,AVRN,OR,Avangrid Renewables LLC
2022,20169,AVA,ID,Avista Corporation
2022,20169,AVA,MT,Avista Corporation
2022,20169,AVA,WA,Avista Corporation
2022,65289,BANC,CA,Balancing Authority of Northern California
2022,1738,BPAT,ID,Bonneville Power Administration
2022,1738,BPAT,MT,Bonneville Power Administration
2022,1738,BPAT,NV,Bonneville Power Administration
2022,1738,BPAT,OR,Bonneville Power Administration
2022,1738,BPAT,UT,Bonneville Power Administration
2022,1738,BPAT,WA,Bonneville Power Administration
2022,1738,BPAT,WY,Bonneville Power Administration
2022,2775,CISO,AZ,California Independent System Operator
2022,2775,CISO,CA,California Independent System Operator
2022,2775,CISO,NV,California Independent System Operator
2022,3522,CEA,AK,Chugach Electric Assn Inc
2022,8795,HST,FL,City of Homestead
2022,18429,TPWR,WA,"City of Tacoma, Department of Public Utilities, Light Division"
2022,18445,TAL,FL,City of Tallahassee
2022,17539,SCEG,GA,Dominion Energy South Carolina
2022,17539,SCEG,SC,Dominion Energy South Carolina
2022,5416,DUK,GA,Duke Energy Carolinas
2022,5416,DUK,NC,Duke Energy Carolinas
2022,5416,DUK,SC,Duke Energy Carolinas
2022,6455,FPC,FL,Duke Energy Florida Inc
2022,3046,CPLE,NC,Duke Energy Progress East
2022,3046,CPLE,SC,Duke Energy Progress East
2022,58786,CPLW,NC,Duke Energy Progress West
2022,5701,EPE,NM,El Paso Electric Company
2022,5701,EPE,TX,El Paso Electric Company
2022,5723,ERCO,NM,"Electric Reliability Council of Texas, Inc."
2022,5723,ERCO,TX,"Electric Reliability Council of Texas, Inc."
2022,65277,FMPP,FL,Florida Municipal Power Pool
2022,6452,FPL,FL,Florida Power & Light Company
2022,6909,GVL,FL,Gainesville Regional Utilities
2022,64898,GLHB,IL,GridLiance
2022,64898,GLHB,KY,GridLiance
2022,58790,GRID,WA,"Gridforce Energy Management, LLC"
2022,56545,GRIS,NM,Gridforce South
2022,56090,GRIF,AZ,"Griffith Energy, LLC"
2022,19547,HECO,HI,Hawaiian Electric Co Inc
2022,13434,ISNE,CT,ISO New England Inc.
2022,13434,ISNE,MA,ISO New England Inc.
2022,13434,ISNE,ME,ISO New England Inc.
2022,13434,ISNE,NH,ISO New England Inc.
2022,13434,ISNE,NY,ISO New England Inc.
2022,13434,ISNE,RI,ISO New England Inc.
2022,13434,ISNE,VT,ISO New England Inc.
2022,9191,IPCO,ID,Idaho Power Company
2022,9191,IPCO,MT,Idaho Power Company
2022,9191,IPCO,OR,Idaho Power Company
2022,9216,IID,CA,Imperial Irrigation District
2022,9216,IID,NV,Imperial Irrigation District
2022,9617,JEA,FL,JEA
2022,11208,LDWP,CA,Los Angeles Department of Water and Power
2022,11208,LDWP,UT,Los Angeles Department of Water and Power
2022,11249,LGEE,KY,Louisville Gas and Electric Company and Kentucky Utilities Company
2022,11249,LGEE,TN,Louisville Gas and Electric Company and Kentucky Utilities Company
2022,11249,LGEE,VA,Louisville Gas and Electric Company and Kentucky Utilities Company
2022,56669,MISO,AR,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,IA,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,IL,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,IN,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,KS,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,KY,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,LA,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,MI,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,MN,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,MO,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,MS,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,ND,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,OK,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,SD,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,TN,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,TX,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56669,MISO,WI,"Midcontinent Independent Transmission System Operator, Inc.."
2022,56365,GWA,MT,"NaturEner Power Watch, LLC (GWA)"
2022,58791,WWA,MT,"NaturEner Wind Watch, LLC"
2022,13407,NEVP,CA,Nevada Power Company
2022,13407,NEVP,NV,Nevada Power Company
2022,13407,NEVP,UT,Nevada Power Company
2022,1,NBSO,ME,New Brunswick System Operator
2022,32790,HGMA,AZ,"New Harquahala Generating Company, LLC - HGBA"
2022,13501,NYIS,NJ,New York Independent System Operator
