Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
November,11/13/2017,02:00:00,11/15/2017,08:17:00,"Washington: Island County, King County, Kitsap County, Thurston County, Skagit County, Whatcom County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,236100
November,11/16/2017,15:05:00,11/16/2017,15:06:00,Oregon: Tillamook County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
November,11/24/2017,17:06:00,11/26/2017,17:22:00,Nevada: Clark County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
December,12/04/2017,21:53:00,Unknown,Unknown,California:,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Severe Weather/Transmission Interruption,540,263000
December,12/05/2017,06:30:00,12/06/2017,10:00:00,"Michigan: Oscoda County, Isabella County, Roscommon County, Ogemaw County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,117500
December,12/05/2017,06:50:00,12/05/2017,09:00:00,Louisiana:,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
December,12/07/2017,20:00:00,12/08/2017,17:00:00,Texas: Bexar County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,88000
December,12/08/2017,09:30:00,12/08/2017,22:30:00,Louisiana: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,79000
December,12/08/2017,10:00:00,12/10/2017,20:50:00,Alabama: Georgia: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,865,301872
December,12/10/2017,01:25:00,12/10/2017,02:30:00,"California: Ventura County, Santa Barbara County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,110,51323
December,12/12/2017,02:22:00,12/12/2017,02:25:00,New York: Saratoga County;,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,3,1208
December,12/13/2017,09:55:00,12/13/2017,14:45:00,New York: Suffolk County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
December,12/13/2017,08:50:00,Unknown,Unknown,Connecticut: New Haven County[13];,NPCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0
December,12/18/2017,13:00:00,12/18/2017,17:00:00,Mississippi:,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
December,12/19/2017,08:40:00,12/19/2017,10:36:00,Florida: Alachua County;,FRCC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
December,12/29/2017,06:15:00,12/29/2017,11:44:00,Texas: Calhoun County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,Unknown,Unknown
December,12/29/2017,07:00:00,Unknown,Unknown,New York: Tompkins County;,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,210,Unknown
December,12/31/2017,23:54:00,01/01/2018,14:14:00,Colorado:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
