Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
July,07/07/2017,03:30:00,07/08/2017,19:30:00,"Michigan: Kent County, Ottawa County, Muskegon County, Barry County, Oceana County, Eaton County",RFC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,160000
July,07/08/2017,18:52:00,07/09/2017,08:00:00,California: Los Angeles County,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Transmission Interruption,645,176867
July,07/11/2017,10:00:00,07/11/2017,12:00:00,Minnesota,MRO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
July,07/12/2017,12:25:00,07/15/2017,09:00:00,Tennessee,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
July,07/12/2017,12:25:00,Unknown,Unknown,Tennessee: Shelby County,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,Unknown,Unknown
July,07/18/2017,04:03:00,Unknown,Unknown,Missouri,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,Unknown,700
July,07/18/2017,16:23:00,07/18/2017,18:39:00,Nevada,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Severe Weather,0,0
July,07/20/2017,01:00:00,07/20/2017,09:46:00,Utah: Beaver County,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
July,07/22/2017,22:00:00,07/23/2017,12:00:00,"Missouri: Clay County, Jackson County, Lafayette County, Platte County; Kansas: Johnson County, Miami County, Wyandotte County",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,112540
July,07/22/2017,22:00:00,Unknown,Unknown,Missouri,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,131000
July,07/22/2017,22:00:00,Unknown,Unknown,Missouri,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,115000
July,07/23/2017,04:00:00,Unknown,Unknown,Missouri: Illinois,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,82000
July,07/27/2017,06:00:00,07/27/2017,11:29:00,California: Butte County,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0
August,08/05/2017,13:20:00,08/05/2017,14:20:00,California: Humboldt County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
August,08/21/2017,23:41:00,08/22/2017,00:21:00,California: Plumas County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,1,2
August,08/25/2017,18:30:00,09/05/2017,17:00:00,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,330000
August,08/25/2017,18:17:00,09/02/2017,17:00:00,"Texas: Matagorda County, Nueces County, Aransas County, Refugio County, San Patricio County, Calhoun County, Victoria County, Jackson County, Live Oak County, Jim Wells County, Bee County, Lavaca County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,220400
August,08/26/2017,06:26:00,09/08/2017,,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,1076868
August,08/26/2017,00:39:00,08/26/2017,00:52:00,Texas:,TRE,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,Unknown,Unknown
August,08/27/2017,05:10:00,09/08/2017,,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,1076868
August,08/30/2017,02:15:00,Unknown,Unknown,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,78500
August,08/31/2017,14:49:00,08/31/2017,17:14:00,California: Los Angeles County;,WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy,Severe Weather,100,0
September,09/01/2017,15:41:00,09/01/2017,20:30:00,California:,WECC,Load shedding of 100 Megawatts or more implemented under emergency operational policy,Severe Weather,337,0
