,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
0,2017,1,01/08/2017,9:07 AM,01/13/2017,2:30 PM,"125 Hours, 23 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,106000,
1,2017,1,01/08/2017 11:59 PM,,,.,".. Hours,",. Minutes,California Department of Water Resources,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability- California:,Fuel Supply Deficiency,0,0
2,2017,1,01/10/2017,7:30 PM,01/13/2017,2:30 PM,"67 Hours,0 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,87000,
3,2017,1,01/15/2017,6:35 AM,01/15/2017,7:44 AM,"1 Hours,9 Minutes",Los Angeles Department of Water & Power,WECC,California: Los Angeles County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Transmission Disruption",176,126000,
4,2017,1,01/15/2017,9:27 AM,01/17/2017,1:58 AM,"40 Hours, 31 Minutes",Oklahoma Municipal Power Authority,SPP,Oklahoma: Harper County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,1,788,
5,2017,1,01/18/2017,6:05 PM,01/19/2017 12:05 AM,,"6 Hours,0 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,75000,
6,2017,1,01/22/2017,4:15 AM,01/24/2017,2:00 PM,"57 Hours, 45 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",97,64000,
7,2017,1,01/22/2017,6:00 AM,,.,".. Hours,",. Minutes,California Department of Water Resources,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability- California:,Fuel Supply Deficiency,0,0
8,2017,1,01/22/2017,4:00 PM,01/23/2017,3:26 AM,"11 Hours, 26 Minutes",Southern Company,SERC,Alabama: Georgia: Mississippi: Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",100,29965,
9,2017,2,02/02/2017,1:04 AM,02/02/2017,5:00 AM,"3 Hours, 56 Minutes",Public Service Company of New Mexico,WECC,"New Mexico: Bernalillo County, Santa Fe County;",Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- Transmission Interruption,396,149223,
10,2017,2,02/02/2017,1:11 AM,,.,".. Hours,",. Minutes,Peak Reliability,WECC,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident- New Mexico: Bernalillo County;,Transmission Interruption,400,Unknown
11,2017,2,02/13/2017,1:00 PM,02/15/2017,1:35 PM,"48 Hours, 35 Minutes",North Carolina Mun Power Agny #1,SERC,North Carolina: Union County;,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems-Vandalism,0,0,
12,2017,2,02/17/2017,8:09 AM,02/22/2017,7:30 PM,"131 Hours, 21 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",254,169250,
13,2017,2,02/17/2017,1:00 PM,02/17/2017,1:15 PM,"0 Hours, 15 Minutes",Nevada Power Company d/b/a NV Energy,WECC,Nevada: Clark County;,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems-Vandalism,0,0,
14,2017,2,02/17/2017,3:00 PM,02/20/2017 11:00 AM,,"68 Hours,0 Minutes",LADWP,WECC,California: Los Angeles County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,111591,
15,2017,3,03/01/2017,8:30 AM,03/01/2017,2:00 PM,"5 Hours, 30 Minutes",Tennessee Valley Authority,SERC,Tennessee: Kentucky:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,58000,
16,2017,3,03/01/2017 11:49 AM,,03/02/2017,9:30 PM,"33 Hours, 41 Minutes",American Electric Power,RFC,Kentucky: West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,98575,
17,2017,3,03/02/2017 12:20 PM,,03/02/2017 11:45 PM,,"11 Hours, 25 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,54316,
18,2017,3,03/06/2017,8:00 PM,03/07/2017,1:00 AM,"5 Hours,0 Minutes",Kansas City Power & Light Co,SERC,"Missouri: Jackson County, Platte County, Cass County, Lafayette County, Chariton County, Carroll County, Clay County, Johnson County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,97734,
19,2017,3,03/08/2017,9:30 AM,03/11/2017,5:00 AM,"67 Hours, 30 Minutes",Consumers Energy Co,RFC,"Michigan: Jackson County, Calhoun County, Ingham County, Hillsdale County, Washtenaw County, Kent County, Ottawa County, Midland County, Saginaw County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,343000,
20,2017,3,03/08/2017 11:30 AM,,03/08/2017,7:52 PM,"8 Hours, 22 Minutes",Cleveland Electric Illum Co,RFC,Ohio,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,71012,
21,2017,3,03/08/2017 12:00 PM,,03/11/2017 11:31 AM,,"71 Hours, 31 Minutes",Detroit Edison Co,RFC,Michigan,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,800000,
22,2017,3,03/08/2017,1:30 PM,03/08/2017,4:30 PM,"3 Hours,0 Minutes",Grid),NPCC,New York,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather/Transmission Interruption",Unknown,106869,
23,2017,3,03/08/2017,3:33 PM,,.,".. Hours,",. Minutes,Rochester Gas & Electric Corp,NPCC,"Loss of electric service to more than 50,000 customers for 1 New York",hour or more-Severe Weather,Unknown,50000
24,2017,3,03/14/2017 12:32 PM,,,.,".. Hours,",. Minutes,ISO New England,Connecticut: Massachusetts: Rhode Island: New Hampshire: NPCC,"Loss of electric service to more than 50,000 customers for 1 Maine: Vermont:",hour or more-Severe Weather,Unknown,69647
25,2017,3,03/21/2017,8:00 PM,03/22/2017,9:15 AM,"13 Hours, 15 Minutes",Southern Company,SERC,Georgia,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",857,257000,
26,2017,3,03/29/2017,3:30 AM,03/31/2017,6:00 AM,"50 Hours, 30 Minutes",Oncor Electric Delivery Company LLC,TRE,Texas,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,175000,
27,2017,4,04/03/2017 11:00 AM,,04/03/2017,8:00 PM,"9 Hours,0 Minutes",Southern Company,SERC,"Alabama, Georgia","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",290,86330,
28,2017,4,04/06/2017,7:00 PM,,.,".. Hours,",. Minutes,Pacific Gas & Electric Co,WECC,"Loss of electric service to more than 50,000 customers for 1 California",hour or more-Severe Weather,Unknown,100000
29,2017,4,04/07/2017,4:33 AM,04/07/2017,8:20 AM,"3 Hours, 47 Minutes",Pacificorp,WECC,Oregon,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",100,64852,
30,2017,4,04/07/2017,8:15 AM,04/08/2017 12:14 AM,,"15 Hours, 59 Minutes",Portland General Electric Co,WECC,"Oregon: Multnomah County, Washington County, Marion County, Clackamas County","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,153867,
31,2017,4,04/24/2017,5:32 AM,04/24/2017,6:33 AM,"1 Hours,1 Minutes",Duke Energy Carolinas,SERC,North Carolina: Mecklenburg County,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",240,74698,
32,2017,4,04/30/2017,1:00 AM,04/30/2017,5:45 PM,"16 Hours, 45 Minutes",Entergy Corp,SERC,"Arkansas, Louisiana, Mississippi","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,145174,
33,2017,5,05/01/2017 11:14 PM,,05/01/2017 11:34 PM,,"0 Hours, 20 Minutes",Pennsylvania Electric Co,RFC,Ohio,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,92390,
34,2017,5,05/03/2017,6:58 PM,05/03/2017,9:15 PM,"2 Hours, 17 Minutes",Southern California Edison Co,WECC,California,Load shedding of 100 Megawatts or more implemented under emergency operational policy-Generation Inadequacy,572,0,
35,2017,5,05/03/2017,7:05 PM,05/03/2017,9:00 PM,"1 Hours, 55 Minutes",California ISO,WECC,California,Load shedding of 100 Megawatts or more implemented under emergency operational policy-Generation Inadequacy,878,Unknown,
36,2017,5,05/04/2017,5:00 AM,05/04/2017 10:00 PM,,"17 Hours,0 Minutes",Southern Company,SERC,Alabama: Georgia,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",200,60377,
37,2017,5,05/07/2017,5:15 AM,,.,".. Hours,",. Minutes,California Department of Water Resources,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability- California: Fresno County,Fuel Supply Deficiency,0,0
38,2017,5,05/07/2017 11:30 PM,,05/08/2017,5:00 AM,"5 Hours, 30 Minutes",Owensboro Municipal Utilities,SERC,Kentucky: Daviess County,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system- Generation Inadequacy,80,0,
39,2017,5,05/19/2017,5:30 AM,,.,".. Hours,",. Minutes,Ameren Missouri,SERC,"Loss of electric service to more than 50,000 customers for 1 Missouri: St. Louis County",hour or more-Severe Weather,Unknown,70696
40,2017,5,05/27/2017 11:00 PM,,,.,".. Hours,",. Minutes,Tennessee Valley Authority,"Tennessee: Shelby County, Putnam County, Knox County, Davidson County, Hamilton County; Alabama: Madison SERC","Loss of electric service to more than 50,000 customers for 1 County",hour or more-Severe Weather,Unknown,116000
41,2017,5,05/27/2017 11:10 PM,,,.,".. Hours,",. Minutes,Memphis Light Gas and Water Division,SERC,"Loss of electric service to more than 50,000 customers for 1 Tennessee: Shelby County",hour or more-Severe Weather,391,188000
42,2017,5,05/28/2017,7:30 PM,05/29/2017 10:00 PM,,"26 Hours, 30 Minutes",American Electric Power - (SPP Reliability Region),TRE,Texas: Louisiana,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,103000,
